,smiles,actual,predict
0,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,-6.9951143
1,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19,-3.4741662
2,C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15,-1.7709676
3,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,-2.753292
4,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,-2.9252915
5,CCCCCCCCCC(=O)OC,-4.69,-3.9267554
6,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,-6.51,-6.9188676
7,N(=Nc1ccccc1)c2ccccc2,-4.45,-3.521488
8,CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749,-3.8669064
9,CC(C)C1CCC(C)CC1O ,-2.53,-2.3872836
10,Nc1ccccc1Cl,-1.52,-1.7351917
11,CCCCBr,-2.37,-3.398947
12,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.68,-2.6183321
13,CCCC(C)O,-0.29,-0.5988458
14,Clc1ccc(I)cc1,-4.03,-3.8915696
15,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.32,-3.2908566
16,CC(Cl)Cl,-1.29,-1.253781
17,Cc1cc2ccccc2cc1C,-4.72,-5.1565356
18,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-4.16,-4.1596036
19,CC(C)C(C)(C)C,-4.36,-4.63155
20,CC1=CC(=O)CC(C)(C)C1 ,-1.06,-1.539796
21,CCCCc1ccccc1,-4.06,-2.4425726
22,CC(C)CC(C)C,-4.26,-4.618988
23,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754,-4.2907724
24,CCc1cccc2ccccc12,-4.17,-4.230363
25,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,-4.0815697
26,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,-2.8157704
27,CCCCCCl,-2.73,-2.8258228
28,CCCCSP(=O)(SCCCC)SCCCC,-5.14,-2.301463
29,CBr,-0.79,-1.2244105
30,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925,-3.6933606
31,CC(C)CCO,-0.51,-0.4003408
32,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8,-4.2426033
33,CCCCCCBr,-3.81,-4.139403
34,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,-4.9945555
35,CC(C)O,0.43,0.45153815
36,O=N(=O)c1ccccc1N(=O)=O,-3.1,-3.002621
37,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,-6.1587663
38,C#C,0.29,-0.3078362
39,CCCc1ccccc1,-3.37,-3.0849092
40,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,-3.2700927
41,CCOC(=O)CC,-0.66,-0.25358665
42,CCCCO,0.0,-0.46001652
43,COc1ccccc1O ,-1.96,-1.6634904
44,CN(C)C(=S)SSC(=S)N(C)C ,-3.9,-4.022331
45,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,-4.6256676
46,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78,-5.9885607
47,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09,-3.4529061
48,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,-3.85728
49,CCCCOCCO,-0.42,-1.7851397
50,Nc1cc[nH]c(=O)n1 ,-1.155,-1.4889966
51,CNN,1.34,-0.76378936
52,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,-3.7914088
53,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,-5.658763
54,C/C=C/C=O,0.32,-1.5151631
55,CNc1ccccc1,-1.28,-1.6392796
56,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,-4.473803
