,smiles,actual,predict
0,CCCC=O,15.6,15.695264
1,CC\C(C)=N\O,14.7,16.55811
2,C1CCC(CC1)C2CCCCC2,17.0,17.392794
3,FC(F)(Cl)C(F)(F)Cl,12.6,14.129837
4,Cc1ccc(C)c(C)c1C,18.8,18.171453
5,COO,15.0,16.06225
6,C[N+]([O-])=O,15.8,15.236089
7,Cc1cnccn1,18.3,17.970789
8,CCCCCOC(=O)CC,15.8,16.123466
9,Oc1ccccc1O,20.0,18.224924
10,CC(=O)C=C,15.6,15.600728
11,CNC(C)Cc1ccc2OCOc2c1,18.0,18.200548
12,ClC[CH]=[C]=[CH2],16.6,16.332397
13,CCCCC(CC)COCC(CC)CCCC,15.9,15.6811495
14,CCCCCCCC\C=C/CCCCCCCC(=O)OCCCC,16.3,16.414934
15,O=C1OC=CO1,17.3,18.977184
16,COC(=O)CC(C)=O,16.4,16.653028
17,ClCCCCl,18.0,16.768055
18,[nH]1cccc1,19.2,19.866909
19,CCCCC1CCCC1,16.4,16.775892
20,O(c1ccccc1)c2ccccc2,19.4,19.867887
21,COC(=O)c1ccc(C)cc1,19.0,19.002897
22,CCS,15.7,16.367687
23,Clc1cc(Cl)c(Cl)cc1Cl,21.2,20.34699
24,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,11.7,12.839917
25,Clc1ccc(cc1)C#N,19.5,19.291933
26,CC(Cl)(Cl)C(Cl)Cl,17.9,17.826286
27,Sc1ccccc1,20.0,18.961308
28,Cl\C=C(/Cl)C=C,17.0,17.534048
29,COCCO,16.0,16.07656
30,CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,19.0,18.587593
31,OCC1COCO1.OC2COCOC2,18.4,19.36895
32,Brc1ccccc1,19.2,19.228788
33,[SiH3]C(Cl)(Cl)Cl,16.5,19.288527
34,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,15.1,15.712195
35,ClC(Cl)C(Cl)(Cl)Cl,18.2,18.373243
36,CCC(C)Cl,15.8,15.569915
37,COC(C)CCOC(C)=O,15.3,15.834366
38,CCOC(=O)CC#N,16.7,16.476175
39,CC(C)[S](=O)C(C)C,17.0,17.379124
40,Cn1cnc2nc(Cl)nc(Cl)c12,20.5,20.355562
41,CON=C(C)C,14.7,15.205947
42,COC(C)(C)CCOC(C)=O,15.3,15.886467
43,C1CS1,19.3,17.24452
44,CCCCCCCC\C=C/CCCCCCCCO,16.5,16.083998
45,CCCCCCCC\C=C/CCCCCCCC(O)=O,16.0,16.741264
46,CC(=O)CC(C)=O,16.1,16.58695
47,CCOC(=O)C(=C)C#N,15.2,16.05843
48,COCCOC(C)=O,15.9,16.214869
49,Sc1ccc(Cl)cc1,20.8,19.93423
50,[nH]1nnc2ccccc12,18.7,20.3534
51,OCc1ccc(Cl)cc1,19.6,19.521873
52,CCOCCO,15.9,16.69921
53,CCOC(C)OCC,15.0,15.150321
54,ClCCc1ccccc1,19.3,17.807117
55,ClC#C,16.2,16.09878
56,CCCCOCC.OCCO,15.3,15.555615
57,C[N+]1([O-])CCOCC1,19.0,17.615416
58,C1N2CN3CN1CN(C2)C3,19.4,18.928518
59,CC(=C)C(C)=O,15.9,15.695649
60,CCCCCC=O,15.8,15.679686
61,FCC=C,14.9,16.800388
62,NC1CCCCC1,17.2,17.901634
63,CCCCC(C)=O,15.3,16.218035
64,CCCC(C)CO,15.8,15.960671
65,Cl[SiH](Cl)Cl,14.2,17.736053
66,Brc1sccc1,20.1,19.518763
67,OC(=O)CCCCCCCCC(O)=O,17.1,17.071672
68,C1CCCCCC1,17.1,17.15427
69,CCOC(N)=O,16.8,17.27637
70,CCC(=O)c1ccc(F)cc1,19.6,18.811132
71,OC(=O)C(F)(F)F,15.6,16.50957
72,OC(=O)CCC=C,16.7,17.058367
73,ClCCCl,18.0,17.400896
74,C1OC1C2CO2,18.3,16.73788
75,CN1CCCC1c2cccnc2,18.5,18.967936
76,FC(Cl)Cl,15.8,16.97919
77,CCCCOC(=O)/C=C/C(=O)OCCCC,16.7,16.569492
78,CCOCCOCCO,16.1,16.836514
79,ClC(=C)C(Cl)=C,17.1,17.49854
80,Cc1cc(C)c(C)c(C)c1,18.6,18.476559
81,CN[C@@H](C)[C@H](O)c1ccccc1,18.0,17.806501
82,COc1ccc(Cl)cc1,19.6,19.630049
83,[O-][N+](=O)c1ccc(F)c(F)c1F,19.5,19.698935
84,c1ccccc1,18.4,19.568605
85,OCc1occc1,17.4,18.00722
86,CCC(Cl)Cl,16.1,16.861227
87,CC(C)S,16.3,16.052984
88,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,19.5,18.9124
89,CCCCCOCCCCC,15.6,16.108917
90,C1COC1,16.7,17.308632
91,COC(=O)CC#N,16.9,16.433096
92,Clc1ccc(cc1)C(Cl)(Cl)Cl,20.3,19.142181
93,CC=C(C)C,14.7,14.282201
94,O=[S]1(=O)CCCC1,17.8,18.696175
95,CO,14.7,15.139712
96,[nH]1cnc2ccccc12,20.6,20.358213
97,NC1(CC1)C(O)=O,17.0,18.644848
98,COc1cc(\C=C\C(O)=O)ccc1O,19.0,19.060968
99,FC(F)=C(F)C(F)=C(F)F,13.8,16.444427
100,CCOCC.OCC(O)CO.OC(O)=O,16.8,16.606152
101,O=Cc1ccccc1,19.4,19.368551
102,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,19.5,20.328594
103,C1CCSC1,18.6,18.097828
104,COCO,16.0,16.302713
105,NC(=O)CN1CCCC1=O,17.5,18.108732
106,ClC#N,15.6,16.037989
107,COC=CC=C,15.5,15.362638
108,BrC=CBr,17.0,18.347525
109,CCCCCCCCO[P](=O)(OCCCCCCCC)OCCCCCCCC,16.2,16.282087
110,CC(C)CC(C)O,15.4,15.735168
111,COC1CCCCO1,17.2,17.898188
112,CCN=[CH+],15.6,16.520676
113,ClCC#C,16.7,16.582258
114,COC(Cl)Cl,17.1,16.867945
115,OCC1CCC(CO)O1,17.9,18.128912
116,OC(=O)c1ccc(cc1)C(O)=O,20.0,20.070635
117,CC(C)CC(C)OC(C)=O,15.2,16.207254
118,CCC=COC,15.1,15.576606
119,CCCCCCCCCCCCCCCCCC(O)=O,16.3,15.930961
120,CC1CCCO1,16.9,16.952675
121,[O-][N+](=O)C=C,16.3,17.086882
122,ClC(Cl)(Cl)C=O,17.2,17.477829
123,O=[S]=O,15.8,17.303333
124,BrCCBr,19.2,18.271132
125,C=COCCOCCOC=C,16.0,15.735666
126,O=C1CCC(=O)O1,18.6,17.719067
127,Oc1c(Cl)cc(Cl)cc1Cl,20.3,20.359734
128,CCSC=C,16.4,16.235506
129,CC(=O)Nc1ccccc1,20.6,18.13527
130,CCCCOC=C,15.2,15.532941
131,C(OCc1ccccc1)c2ccccc2,19.6,19.508028
132,COC(=O)c1ccccc1C(=O)OC,18.6,17.933384
133,CC(Cl)CCl,17.3,17.067411
134,CC(=O)OCC=C,15.7,16.164946
135,Brc1cccc2ccccc12,20.6,20.308865
136,CCC(O)=O,14.7,15.855847
137,s1cnc2ccccc12,20.6,20.365408
138,CC(C)[C@@H]1CC[C@@H](C)CC1=O,17.0,16.564394
139,CC1CCCCC1O,17.1,16.462894
140,ClC1(Cl)CCCC(Cl)(Cl)C1=O,19.5,18.07908
141,CS,16.6,16.281876
142,NNc1ccccc1,20.4,18.53477
143,CCSCC,16.8,16.02905
144,CNN,16.2,16.326687
145,CCCCCC(C)O,15.7,16.05387
146,CC(C)OC(C)C,15.1,14.846134
147,S=C=S,19.9,18.364151
148,CC(C)CC(O)CC(C)C,14.9,15.722919
149,C=CC[N+]#[C-],16.1,16.150112
150,NC(=O)C=C,15.8,17.473486
151,CCCCCCCCC(C)O,15.8,16.072515
152,CC1CCCC(O)C1,17.2,17.533997
153,Oc1ccccc1Cl,19.0,19.166449
154,CCCCOB(OCCCC)OCCCC,16.7,15.440357
155,CC(C)CCO,15.8,15.2742405
156,COc1cc(/C=C/CO)ccc1O,19.0,19.044746
157,CC=CC(C)=O,16.2,15.658467
158,CC(C)(C)CO,15.6,15.174518
159,C=C1CO1,16.5,16.601511
160,ClC(Cl)=C,16.4,16.675058
161,CC(C)(C)O,15.2,15.362978
162,CC(=O)OC=CC=C,16.1,16.01525
163,CC(OCC=C)OCC=C,15.4,15.754451
164,Cc1ccc(Br)cc1,19.3,19.35279
165,NC(=O)c1ccccc1,21.2,19.430847
166,CCCCC(=O)COC,15.3,16.008062
167,CCCCC(CC)COC(C)=O,15.8,16.025537
168,Brc1ccccc1Br,20.7,20.26547
169,CCN(CC)CCO,15.7,16.246256
170,FC(Cl)(Cl)Cl,15.3,16.959738
171,ClCCl,17.0,16.875622
172,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,19.0,17.878483
173,CCCCOC(=O)C1CC=CCC1C,16.1,17.197372
174,FC(F)=C,15.0,14.030026
175,OCCOCCOC=C,16.3,16.43858
176,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,16.6,16.506483
177,CCCCN,16.2,14.938896
178,ClCC(=O)c1ccccc1,20.0,19.247883
179,C=CCCC#N,16.3,17.265545
180,C=COC=C,14.8,15.47187
181,Clc1cccc2ccccc12,20.5,20.133854
182,OC(=O)C=Cc1ccc(O)cc1,19.1,19.287846
183,ClC(Cl)C(Cl)Cl,18.8,18.478544
184,CCCCCC(=O)CC,16.2,16.033052
185,CCCCSC=C,16.0,16.366434
186,CCC(Cl)[N+]([O-])=O,16.8,17.342953
187,CCCCOC=O,15.7,15.700711
188,Oc1ccc(O)cc1,21.0,18.68396
189,O=C1OC(=O)c2ccccc12,20.0,20.288193
190,Cc1[nH]c(C)cc1,18.3,18.692991
191,c1ccc2ccccc2c1,19.2,20.357927
192,CC(C)CC(O)=O,16.4,15.950029
193,Cc1cccc(O)c1,18.5,18.595121
194,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,12.9,13.586832
195,CC(N)=S,17.5,18.444992
196,OCCCCCCO,15.7,16.761166
