,smiles,actual,predict
0,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,2.9,4.342307
1,CCCCCCCOC(C)=O,5.5,5.7581186
2,[Br],0.0,13.107594
3,[nH]1ccc2ccccc12,6.5,11.034091
4,CN(C)C(C)=O,9.4,8.215216
5,ClC(=O)C(Cl)=O,7.5,8.744694
6,CSC=C,6.0,5.57576
7,COC(C)COC(C)CO,11.2,12.851571
8,C=Cc1ccc(C=C)cc1,7.0,3.840106
9,C[Si](C)(C)C=C,2.5,3.854929
10,CC(Cl)=CCCl,2.7,3.2739651
11,CCCC,0.0,1.4885945
12,CC(C)COCC(C)O,9.8,11.643326
13,CCCCCCCCCCCCCCCCCC,0.0,-0.51330656
14,CCC[N+]([O-])=O,5.5,4.455023
15,O=C1C(=O)c2ccccc2c3ccccc13,4.8,3.8474698
16,CC(=O)OCCCl,8.8,7.1816535
17,CCCCC(CC)CO,11.8,14.440101
18,CCCCOCC(C)O,9.2,12.26339
19,OCC1CO1,17.9,16.789455
20,CC(N)Cc1ccccc1,6.3,10.614371
21,CCOCCOCCOC(C)=O,9.2,7.5047574
22,COCOC,8.6,8.224182
23,CNC=O,15.9,11.233886
24,CC(=O)OC=C,5.9,7.356695
25,ClC(Cl)(Cl)c1ccccc1,3.2,1.7756886
26,CCC(C)OC(C)CC,3.3,3.5624802
27,ClCC=C,2.3,2.768228
28,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,3.1,4.158483
29,C1CCSCC1,8.9,4.6354027
30,OCC=Cc1ccccc1,13.0,11.380735
31,CC=O,7.9,9.701182
32,[O-][N+](=O)c1ccc(Cl)cc1,3.9,5.2632785
33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,3.5968783
34,ClCCC#N,6.1,5.4793396
35,Cc1ccccc1C=C,3.8,4.7957616
36,CCCC(=O)CCC,4.9,4.237036
37,OCCCl,17.2,14.453169
38,COCCOCCOC,6.5,9.33974
39,CCOc1ccc(cc1)C(C)=O,6.4,6.4241657
40,Cc1ccc(cc1N=C=O)N=C=O,6.1,10.057997
41,CCCCCC(CC)(CC)OC(=O)c1ccccc1C([O-])=O,3.1,5.4870963
42,CCCCOC(=O)CC(C)=O,7.3,7.27526
43,CCOC(=O)c1ccccc1C(=O)OCC,4.5,4.597354
44,CCNC=O,14.0,10.6751995
45,CCC1COC(=O)O1,3.0,4.616891
46,FC(F)(Cl)C(F)(Cl)Cl,0.0,-0.23193559
