,smiles,actual,predict
0,CCCC=O,10.1,10.140338
1,CC\C(C)=N\O,4.9,11.945638
2,C1CCC(CC1)C2CCCCC2,0.0,-0.13562116
3,FC(F)(Cl)C(F)(F)Cl,1.8,0.8268141
4,Cc1ccc(C)c(C)c1C,0.5,1.7796247
5,COO,15.0,9.519297
6,C[N+]([O-])=O,18.8,16.41336
7,Cc1cnccn1,12.3,4.2335
8,CCCCCOC(=O)CC,5.2,4.0673738
9,Oc1ccccc1O,11.3,8.889731
10,CC(=O)C=C,12.5,10.408998
11,CNC(C)Cc1ccc2OCOc2c1,5.1,6.659017
12,ClC[CH]=[C]=[CH2],8.0,6.771545
13,CCCCC(CC)COCC(CC)CCCC,2.6,1.2243782
14,CCCCCCCC\C=C/CCCCCCCC(=O)OCCCC,3.7,3.3232498
15,O=C1OC=CO1,18.1,13.386507
16,COC(=O)CC(C)=O,8.6,8.4145975
17,ClCCCCl,8.2,7.380531
18,[nH]1cccc1,11.0,9.067971
19,CCCCC1CCCC1,0.0,0.5970894
20,O(c1ccccc1)c2ccccc2,3.4,6.327726
21,COC(=O)c1ccc(C)cc1,6.5,6.5206494
22,CCS,6.5,6.0250955
23,Clc1cc(Cl)c(Cl)cc1Cl,10.7,2.8201559
24,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.4,3.5950394
25,Clc1ccc(cc1)C#N,8.0,15.183405
26,CC(Cl)(Cl)C(Cl)Cl,6.7,5.0259295
27,Sc1ccccc1,4.5,4.203926
28,Cl\C=C(/Cl)C=C,10.7,9.811128
29,COCCO,8.2,7.130533
30,CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,11.2,8.889068
31,OCC1COCO1.OC2COCOC2,10.6,7.554221
32,Brc1ccccc1,5.5,5.44311
33,[SiH3]C(Cl)(Cl)Cl,6.6,4.1780176
34,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,6.1,5.61813
35,ClC(Cl)C(Cl)(Cl)Cl,3.2,3.8871236
36,CCC(C)Cl,7.6,7.7311587
37,COC(C)CCOC(C)=O,4.1,4.7230506
38,CCOC(=O)CC#N,7.9,12.843722
39,CC(C)[S](=O)C(C)C,11.5,11.844852
40,Cn1cnc2nc(Cl)nc(Cl)c12,11.7,9.878937
41,CON=C(C)C,4.6,4.376545
42,COC(C)(C)CCOC(C)=O,3.8,5.7094603
43,C1CS1,9.0,7.262801
44,CCCCCCCC\C=C/CCCCCCCCO,2.6,3.0247822
45,CCCCCCCC\C=C/CCCCCCCC(O)=O,2.8,4.0356016
46,CC(=O)CC(C)=O,10.0,7.135821
47,CCOC(=O)C(=C)C#N,10.3,12.80483
48,COCCOC(C)=O,5.5,8.249519
49,Sc1ccc(Cl)cc1,8.6,5.073472
50,[nH]1nnc2ccccc12,15.6,10.026593
51,OCc1ccc(Cl)cc1,7.5,6.8387527
52,CCOCCO,7.2,7.234208
53,CCOC(C)OCC,3.4,5.046551
54,ClCCc1ccccc1,6.3,4.8749466
55,ClC#C,2.1,6.808927
56,CCCCOCC.OCCO,4.9,5.235822
57,C[N+]1([O-])CCOCC1,16.1,13.483201
58,C1N2CN3CN1CN(C2)C3,7.0,8.781718
