,smiles,exp,predict
0,BrCCBr,-1.68,-1.9484919
1,COc1ccccc1OCC(O)COC(N)=O,-0.985,-2.0772848
2,Oc1ccccn1,1.02,0.53001636
3,Clc1ccc(cc1Cl)c2ccccc2 ,-6.39,-6.1008244
4,N#Cc1ccccc1,-1.0,-2.0671053
5,O=C1CCCN1,1.07,-0.1265052
6,CCCN(=O)=O,-0.8,-0.8383249
7,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63,-5.307191
8,CC=C,-1.08,-1.5965831
9,CCc1ccccc1C,-3.21,-3.6578486
10,Cc1ccc(O)cc1C,-1.38,-1.7452122
11,CCC=C,-1.94,-2.3991385
12,COc1ccccc1N(=O)=O,-1.96,-2.5445564
13,CCCCl,-1.47,-2.3666704
14,Fc1ccccc1,-1.8,-1.7627159
15,c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-7.8,-8.373915
16,CC(C)C(C)C(C)C,-4.8,-5.3981905
17,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907,-5.3112855
18,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C ,-5.24,-6.8028407
19,CCOC=O,0.15,0.37942168
20,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82,-3.8672516
21,CN(C)C(=O)Nc1ccccc1,-1.6,-2.171652
22,Oc1cc(Cl)cc(Cl)c1Cl,-2.67,-3.246227
23,C1Cc2cccc3cccc1c23,-4.63,-5.611294
24,CSc1nc(nc(n1)N(C)C)N(C)C,-2.676,-3.2778764
25,CCCCCC(=O)OC,-1.87,-2.3020856
26,Nc1nc(O)nc2nc[nH]c12 ,-3.401,-3.3711686
27,Cc1cccc(C)c1,-2.82,-3.36349
28,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,-4.7353563
29,Clc1ccc(Cl)c(Cl)c1Cl,-4.57,-5.3676333
30,O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148,-1.8166965
31,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8,-8.010621
32,CCCCC(CC)C=O,-2.13,-2.5470343
33,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099,-4.6753635
34,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,-2.153013
35,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,-8.290057
36,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658,-2.0201123
37,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981,-3.2734203
38,c1ccc2c(c1)cnc3ccccc23 ,-2.78,-5.0976515
39,CCCCC(=O)OC,-1.34,-1.5424938
40,Nc1nc[nH]n1,0.522,-0.5257029
41,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,-4.8075767
42,Clc1ccc(cc1)c2ccccc2Cl ,-5.25,-6.3014646
43,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1,-4.462029
44,CCCCCCCCCC(=O)OCC,-4.1,-5.5544944
