,smiles,exp,predict
0,[O-][N+](=O)c1ccc(F)cc1F,19.4,19.871677
1,OC(=O)\C=C/c1ccccc1,19.1,19.076769
2,CC1CCCCC1,16.0,16.724926
3,CC(O)=S,17.0,17.171007
4,CC(O)=O.CC(O)=O.OCCCCCCO,15.3,16.345509
5,CCNCC,14.9,16.135223
6,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,17.0,18.09411
7,C[S](C)=O,18.4,17.813786
8,CCSC#N,15.4,17.38988
9,CSC,16.1,16.037802
10,OC(F)(C(F)F)C(F)(F)F,17.2,12.990216
11,COCCOC,15.4,15.633906
12,COC(=O)c1ccccc1,18.9,19.356392
13,FC(F)(F)c1ccc(Cl)c(Cl)c1,20.0,18.677166
14,Cl\C=C\Br,17.2,16.926472
15,OC(=O)C(O)=O,17.0,17.56078
16,C1COCCN1,18.0,17.201973
17,CCCCCC(=O)OCC,15.5,15.579861
18,Clc1ccccc1,19.0,17.990068
19,CN(C)[P](=O)(N(C)C)N(C)C,18.5,16.427952
20,COC(=O)CCCCC(=O)OC,16.3,16.221096
21,O=C1N[S](=O)(=O)c2ccccc12,21.1,19.836914
22,CCCCCCO,15.9,15.849308
23,CC(Br)=C,16.1,16.813772
24,COc1ccccc1OC,19.2,18.77243
25,COc1c(Cl)cc(Cl)cc1Cl,21.0,18.99678
26,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,17.0,16.798786
27,OCC#C,16.1,16.304642
28,ClC(Cl)(Cl)C#N,16.4,17.135878
29,FC(F)F,14.4,12.532444
30,COCC(C)OC(C)=O,15.6,15.722779
31,CCOC#CC,15.9,15.569215
32,CO[P](=O)(OC)OC,15.7,16.022953
33,CCO[P](=O)(OCC)OCC,16.7,15.584016
34,OCCOCCO,16.6,16.763872
35,CC1=CC(=O)CC(C)(C)C1,17.0,17.370344
36,C1CC=CC1,16.7,17.014656
37,Cc1occc1,17.3,16.697966
38,OCCCCl,17.5,16.801622
39,Oc1ccccc1C=O,19.0,19.892921
40,Cc1ccccc1Br,19.3,19.618977
41,ClCC(Cl)=C,16.2,15.833622
42,ClC(Cl)=O,16.4,16.255396
43,CC1(C)C2CCC(C2)C1=C,16.4,17.539242
44,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,16.2,15.873787
