,smiles,exp,predict
0,CCCC=O,15.6,15.792385
1,CC\C(C)=N\O,14.7,16.715403
2,C1CCC(CC1)C2CCCCC2,17.0,17.048594
3,FC(F)(Cl)C(F)(F)Cl,12.6,13.979202
4,Cc1ccc(C)c(C)c1C,18.8,19.776999
5,COO,15.0,15.120671
6,C[N+]([O-])=O,15.8,15.389393
7,Cc1cnccn1,18.3,19.77417
8,CCCCCOC(=O)CC,15.8,15.974813
9,Oc1ccccc1O,20.0,19.650862
10,CC(=O)C=C,15.6,15.976162
11,CNC(C)Cc1ccc2OCOc2c1,18.0,18.566914
12,ClC[CH]=[C]=[CH2],16.6,15.956002
13,CCCCC(CC)COCC(CC)CCCC,15.9,16.260193
14,CCCCCCCC\C=C/CCCCCCCC(=O)OCCCC,16.3,16.569138
15,O=C1OC=CO1,17.3,17.881948
16,COC(=O)CC(C)=O,16.4,16.23871
17,ClCCCCl,18.0,15.933355
18,[nH]1cccc1,19.2,19.375212
19,CCCCC1CCCC1,16.4,16.563747
20,O(c1ccccc1)c2ccccc2,19.4,19.774313
21,COC(=O)c1ccc(C)cc1,19.0,18.88494
22,CCS,15.7,16.425549
23,Clc1cc(Cl)c(Cl)cc1Cl,21.2,19.647406
24,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,11.7,14.067308
25,Clc1ccc(cc1)C#N,19.5,18.860863
26,CC(Cl)(Cl)C(Cl)Cl,17.9,16.620316
27,Sc1ccccc1,20.0,19.808384
28,Cl\C=C(/Cl)C=C,17.0,16.5784
29,COCCO,16.0,15.838875
30,CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,19.0,17.963049
31,OCC1COCO1.OC2COCOC2,18.4,17.885256
32,Brc1ccccc1,19.2,19.727528
33,[SiH3]C(Cl)(Cl)Cl,16.5,17.615934
34,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,15.1,16.814325
35,ClC(Cl)C(Cl)(Cl)Cl,18.2,16.420324
36,CCC(C)Cl,15.8,16.122929
37,COC(C)CCOC(C)=O,15.3,15.880212
38,CCOC(=O)CC#N,16.7,16.391962
39,CC(C)[S](=O)C(C)C,17.0,16.780048
40,Cn1cnc2nc(Cl)nc(Cl)c12,20.5,18.771477
41,CON=C(C)C,14.7,16.143475
42,COC(C)(C)CCOC(C)=O,15.3,15.981326
43,C1CS1,19.3,18.386684
44,CCCCCCCC\C=C/CCCCCCCCO,16.5,16.105238
45,CCCCCCCC\C=C/CCCCCCCC(O)=O,16.0,16.507988
46,CC(=O)CC(C)=O,16.1,16.550564
47,CCOC(=O)C(=C)C#N,15.2,16.232977
48,COCCOC(C)=O,15.9,16.168434
49,Sc1ccc(Cl)cc1,20.8,19.83683
50,[nH]1nnc2ccccc12,18.7,19.683073
51,OCc1ccc(Cl)cc1,19.6,19.754885
52,CCOCCO,15.9,15.902971
53,CCOC(C)OCC,15.0,15.487844
54,ClCCc1ccccc1,19.3,17.567816
55,ClC#C,16.2,15.303845
56,CCCCOCC.OCCO,15.3,16.037266
57,C[N+]1([O-])CCOCC1,19.0,16.799316
58,C1N2CN3CN1CN(C2)C3,19.4,18.675117
59,CC(=C)C(C)=O,15.9,16.355957
60,CCCCCC=O,15.8,15.957793
61,FCC=C,14.9,14.2443905
62,NC1CCCCC1,17.2,17.641861
63,CCCCC(C)=O,15.3,16.220032
64,CCCC(C)CO,15.8,16.106
65,Cl[SiH](Cl)Cl,14.2,16.737707
66,Brc1sccc1,20.1,19.806395
67,OC(=O)CCCCCCCCC(O)=O,17.1,17.072863
68,C1CCCCCC1,17.1,16.806635
69,CCOC(N)=O,16.8,16.645742
70,CCC(=O)c1ccc(F)cc1,19.6,18.908125
71,OC(=O)C(F)(F)F,15.6,16.574448
72,OC(=O)CCC=C,16.7,17.475176
73,ClCCCl,18.0,15.720367
74,C1OC1C2CO2,18.3,16.886744
75,CN1CCCC1c2cccnc2,18.5,19.59917
76,FC(Cl)Cl,15.8,14.439313
77,CCCCOC(=O)/C=C/C(=O)OCCCC,16.7,16.415163
78,CCOCCOCCO,16.1,16.15324
79,ClC(=C)C(Cl)=C,17.1,16.396923
80,Cc1cc(C)c(C)c(C)c1,18.6,19.621264
81,CN[C@@H](C)[C@H](O)c1ccccc1,18.0,18.411497
82,COc1ccc(Cl)cc1,19.6,19.34862
83,[O-][N+](=O)c1ccc(F)c(F)c1F,19.5,19.541655
84,c1ccccc1,18.4,17.812065
85,OCc1occc1,17.4,18.668808
86,CCC(Cl)Cl,16.1,16.122929
87,CC(C)S,16.3,16.60594
88,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,19.5,19.608692
89,CCCCCOCCCCC,15.6,16.157537
90,C1COC1,16.7,17.42867
91,COC(=O)CC#N,16.9,16.270906
92,Clc1ccc(cc1)C(Cl)(Cl)Cl,20.3,17.815994
93,CC=C(C)C,14.7,16.76444
94,O=[S]1(=O)CCCC1,17.8,18.911428
95,CO,14.7,15.32232
96,[nH]1cnc2ccccc12,20.6,19.829054
97,NC1(CC1)C(O)=O,17.0,17.437807
98,COc1cc(\C=C\C(O)=O)ccc1O,19.0,19.373547
99,FC(F)=C(F)C(F)=C(F)F,13.8,15.248703
100,CCOCC.OCC(O)CO.OC(O)=O,16.8,16.649084
101,O=Cc1ccccc1,19.4,19.60251
102,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,19.5,19.796583
103,C1CCSC1,18.6,18.787043
104,COCO,16.0,15.64801
105,NC(=O)CN1CCCC1=O,17.5,19.413465
106,ClC#N,15.6,15.795385
107,COC=CC=C,15.5,15.489447
108,BrC=CBr,17.0,18.14911
109,CCCCCCCCO[P](=O)(OCCCCCCCC)OCCCCCCCC,16.2,16.065815
110,CC(C)CC(C)O,15.4,15.777963
111,COC1CCCCO1,17.2,16.749775
112,CCN=[CH+],15.6,15.924476
113,ClCC#C,16.7,15.573257
114,COC(Cl)Cl,17.1,15.834267
115,OCC1CCC(CO)O1,17.9,18.530554
116,OC(=O)c1ccc(cc1)C(O)=O,20.0,19.803148
117,CC(C)CC(C)OC(C)=O,15.2,15.893652
118,CCC=COC,15.1,15.77956
119,CCCCCCCCCCCCCCCCCC(O)=O,16.3,16.05945
120,CC1CCCO1,16.9,16.95886
121,[O-][N+](=O)C=C,16.3,16.74382
