,smiles,exp,predict
0,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,2.9,2.1970623
1,CCCCCCCOC(C)=O,5.5,5.229483
2,[Br],0.0,5.306212
3,[nH]1ccc2ccccc12,6.5,9.086022
4,CN(C)C(C)=O,9.4,8.997093
5,ClC(=O)C(Cl)=O,7.5,6.0997024
6,CSC=C,6.0,5.46525
7,COC(C)COC(C)CO,11.2,12.988072
8,C=Cc1ccc(C=C)cc1,7.0,3.5225503
9,C[Si](C)(C)C=C,2.5,1.4730332
10,CC(Cl)=CCCl,2.7,3.1240582
11,CCCC,0.0,1.7779816
12,CC(C)COCC(C)O,9.8,10.850066
13,CCCCCCCCCCCCCCCCCC,0.0,-0.92645025
14,CCC[N+]([O-])=O,5.5,4.508332
15,O=C1C(=O)c2ccccc2c3ccccc13,4.8,4.833171
16,CC(=O)OCCCl,8.8,5.930842
17,CCCCC(CC)CO,11.8,10.974772
18,CCCCOCC(C)O,9.2,10.145805
19,OCC1CO1,17.9,16.424389
20,CC(N)Cc1ccccc1,6.3,7.987165
21,CCOCCOCCOC(C)=O,9.2,9.241334
22,COCOC,8.6,7.848026
23,CNC=O,15.9,18.926949
24,CC(=O)OC=C,5.9,6.320501
25,ClC(Cl)(Cl)c1ccccc1,3.2,0.73198545
26,CCC(C)OC(C)CC,3.3,3.2547026
27,ClCC=C,2.3,2.8988454
28,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,3.1,3.6399176
29,C1CCSCC1,8.9,4.6353364
30,OCC=Cc1ccccc1,13.0,13.335556
31,CC=O,7.9,10.22413
32,[O-][N+](=O)c1ccc(Cl)cc1,3.9,4.189469
33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,-1.2275434
34,ClCCC#N,6.1,3.1983635
35,Cc1ccccc1C=C,3.8,3.201688
36,CCCC(=O)CCC,4.9,3.4329715
37,OCCCl,17.2,18.824135
38,COCCOCCOC,6.5,7.1202054
39,CCOc1ccc(cc1)C(C)=O,6.4,6.111262
40,Cc1ccc(cc1N=C=O)N=C=O,6.1,1.4809978
41,CCCCCC(CC)(CC)OC(=O)c1ccccc1C([O-])=O,3.1,3.316486
42,CCCCOC(=O)CC(C)=O,7.3,6.3274264
43,CCOC(=O)c1ccccc1C(=O)OCC,4.5,4.3394995
44,CCNC=O,14.0,15.750278
45,CCC1COC(=O)O1,3.0,1.7038543
46,FC(F)(Cl)C(F)(Cl)Cl,0.0,-1.1935577
47,CC(=C)C#N,5.4,3.7758603
48,CCCBr,4.8,4.4532037
49,CC(F)(F)F,0.0,4.3806286
50,CC(C)O[P](F)(=O)OC(C)C,5.9,3.912304
51,OCc1ccccc1,13.7,13.275657
52,CCCCOCCOC(C)=O,6.8,7.619688
53,C[SiH3],0.0,6.0309153
54,CCI,6.0,4.939627
55,ClC(Cl)(Cl)Cl,0.0,0.59109163
56,CCC(C)=O,5.1,4.2647524
57,N#CCCC#N,7.9,5.792108
