,smiles,exp,predict
0,[O-][N+](=O)c1ccc(F)cc1F,3.7,3.85998
1,OC(=O)\C=C/c1ccccc1,10.6,8.66901
2,CC1CCCCC1,1.0,0.37545228
3,CC(O)=S,8.9,17.878136
4,CC(O)=O.CC(O)=O.OCCCCCCO,7.2,10.972197
5,CCNCC,6.1,6.379717
6,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,32.8,16.53255
7,C[S](C)=O,10.2,6.0169644
8,CCSC#N,5.4,2.5134158
9,CSC,7.4,3.77989
10,OC(F)(C(F)F)C(F)(F)F,14.7,5.8425207
11,COCCOC,6.0,7.39136
12,COC(=O)c1ccccc1,4.7,4.037346
13,FC(F)(F)c1ccc(Cl)c(Cl)c1,2.4,1.7389274
14,Cl\C=C\Br,2.3,4.5744395
15,OC(=O)C(O)=O,26.0,17.190361
16,C1COCCN1,11.0,6.155308
17,CCCCCC(=O)OCC,5.9,4.3145533
18,Clc1ccccc1,2.0,1.1711541
19,CN(C)[P](=O)(N(C)C)N(C)C,8.7,9.425325
20,COC(=O)CCCCC(=O)OC,8.5,7.6467896
21,O=C1N[S](=O)(=O)c2ccccc12,9.8,8.231392
22,CCCCCCO,12.5,13.822224
23,CC(Br)=C,4.9,4.047813
24,COc1ccccc1OC,9.4,6.585919
25,COc1c(Cl)cc(Cl)cc1Cl,7.0,3.6536608
26,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,3.6,3.3937204
27,OCC#C,18.8,19.461802
28,ClC(Cl)(Cl)C#N,6.1,4.2822704
29,FC(F)F,6.3,2.3882225
30,COCC(C)OC(C)=O,9.8,8.204068
31,CCOC#CC,5.4,6.3740654
32,CO[P](=O)(OC)OC,10.2,7.255457
33,CCO[P](=O)(OCC)OCC,9.2,4.560199
34,OCCOCCO,19.0,19.306877
35,CC1=CC(=O)CC(C)(C)C1,5.0,4.562764
36,C1CC=CC1,1.7,2.5563822
37,Cc1occc1,7.4,7.40927
38,OCCCCl,14.7,16.380625
39,Oc1ccccc1C=O,12.0,13.15945
40,Cc1ccccc1Br,4.2,3.6302104
41,ClCC(Cl)=C,3.0,1.6155225
42,ClC(Cl)=O,5.3,4.309891
43,CC1(C)C2CCC(C2)C1=C,3.1,2.3177645
44,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,8.4,3.1916096
45,CCc1ccc(O)cc1,12.6,14.087577
46,OCC(F)(F)F,16.4,11.899831
47,C=CCN=[N+]=[N-],13.4,6.22418
48,Sc1cc(Cl)c(Cl)cc1Cl,9.1,9.143212
49,C1CSC1,9.4,5.2832255
50,CC1OC(C)OC(C)O1,6.0,6.156935
51,COC(=O)C=C,9.4,6.2330823
52,CCCOC=C,5.2,5.0134835
53,CCCCCCCCO,11.2,12.512652
54,CC(C)CO,15.9,16.585468
55,CCCCC(=O)CCCC,4.4,3.2123234
56,CCOCl,6.5,5.3359365
57,CCOC(=O)C=C,5.5,5.693333
58,C1C=CC=C1,2.0,5.0542297
59,ClC(Cl)C#N,6.4,4.444013
60,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.1,5.698451
61,CCCCCCC=C,2.4,1.1891564
62,IC=C,7.3,5.103177
63,[nH]1cnc2ncncc12,14.2,16.013363
64,OCCSCCO,19.8,17.061787
65,CCCCCC(O)=O,11.5,9.299177
66,[Cl],0.0,2.649885
67,Oc1cc(Cl)ccc1Cl,12.1,13.205898
68,CCCCCCCC\C=C/CCCCCCCC(=O)OCC,4.0,3.4362125
69,CC(O)CCO,20.9,20.4081
70,N#C/C=C/C#N,7.8,4.151095
71,ClCC(Cl)(Cl)Cl,4.2,1.2196482
72,CCCC#N,5.1,3.5013678
73,CC\C(=C/C)C=O,5.5,6.009758
74,Cn1ccnc1,11.2,11.565444
75,CC(C)(C)OCCOC(C)(C)C,8.2,3.825323
76,OCC=CCl,16.5,16.762918
77,CCSSCC,5.7,5.1283965
78,CCCCC1CCCCC1,0.6,-0.5283129
