,smiles,exp,predict
0,C=CCNCC=C,4.5,6.6229444
1,O[P](O)(O)=O,18.6,18.855188
2,CC=CCl,6.9,-0.48485395
3,CCOC(Cl)=CCl,10.5,4.948894
4,[CH2]=[C]=[CH2],3.0,2.3329725
5,CCCOCCO,8.7,6.347746
6,Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,12.3,8.525618
7,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,6.2,5.486006
8,CCCCc1ccccc1C,0.1,-1.6880593
9,CC(=O)c1sccc1,12.2,9.955311
10,O=C1CCCCC1=O,10.3,15.269
11,CCCC(F)(F)C(F)(F)C(O)(F)F,4.4,5.6495085
12,[O-][N+](=O)OCCO[N+]([O-])=O,18.0,13.975832
13,CC=CC=C,2.5,3.0410345
14,Oc1cc2[nH]ccc2cc1O,8.8,10.137941
15,[O-][N+](=O)c1cccc(Cl)c1Cl,12.6,7.353305
16,CC1CO1,8.6,8.512002
17,FC(F)(F)c1cccc(c1)C(F)(F)F,6.8,7.0458508
18,CCC=C,1.3,7.626594
19,O=C1CCO1,18.2,15.479178
20,CCCCCCCC=C,1.0,0.38763362
21,OO,12.2,16.488403
22,CCCOC(=O)C(C)=C,6.6,6.13195
23,OCC(Cl)=C,10.2,9.026615
24,CCCCOCCOCCOC(C)=O,4.1,4.9469438
25,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,10.3,6.7747884
26,C1CCNCC1,4.5,5.4187064
27,[nH]1ccnn1,8.8,14.2759285
28,COC(C)(C)C,4.3,9.983547
29,COCCOCCO,7.8,8.2955475
30,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,5.6235976
31,CC(C)COC(=O)CCCCC(=O)OCC(C)C,2.5,2.5316355
32,CCN1CCCC1=O,12.0,11.309759
33,CCO[S](=O)(=O)OCC,12.7,12.595382
34,C1CCC(CC1)c2ccccc2,0.0,-1.5470558
35,CCCCC(O)CC,5.4,6.6794863
36,ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.0,4.320285
37,CCOC(=O)c1ccccc1,6.2,8.977566
38,CC#CC,3.4,1.5100813
39,[O-][N+](=O)CCl,13.5,16.62161
40,Cc1cc(C)cc(C)c1,0.6,9.059322
41,C[n+]1ccc(cc1)c2cc[n+](C)cc2,8.8,8.560801
42,FC(=C)C=C,5.8,7.6602693
43,O=CC1CO1,13.4,15.669385
44,CSc1ccccc1,4.8,3.7452831
45,Cc1ccc(N)c(C)c1,5.2,4.563139
46,CC(C)OC(C)=O,4.5,2.9846907
47,CCCCCCCCCCCCCCCCCC(=O)OCCCC,3.7,3.1390579
48,OCCCO,13.5,10.798203
49,FC(F)(F)Br,2.4,8.334253
50,CCOCCC=O,8.8,9.907213
51,CCOC(C)=O,5.3,10.0901375
52,Cc1cccc2ccccc12,0.8,3.142608
53,CCOC(=O)C=Cc1ccccc1,8.2,4.25373
54,COC#C,8.1,4.9131975
55,C/C=C/C#N,18.8,10.720093
56,CCCCOC(=O)C=C,6.2,4.95039
57,CC(C)=C,2.0,8.149882
58,ClC(=C)C=C,5.4,1.7162542
59,CC(Cl)=O,11.2,7.5767465
60,Cc1ccc(Cl)c(O)c1,7.7,5.373699
61,CCCS,5.8,6.4907713
62,O=C(OCc1ccccc1)c2ccccc2,5.1,5.2041187
63,CC12CCC(CC1)C(C)(C)O2,4.6,3.4558496
64,CCCCC(CC)COC(=O)C=C,4.3,3.0874445
65,CCCO,6.8,8.188202
66,CCCCC=O,9.4,10.177666
67,COC(=O)CCC(=O)OC,7.7,7.513542
68,CCCCCC=C,1.1,1.1951237
69,CCOC,4.7,9.7550335
70,ClC1C(Cl)(Cl)C1(Cl)Cl,10.5,2.6035511
71,CCOCC,2.9,5.794408
72,COc1ccc(N)cc1,6.5,8.201686
73,CN(C)C(=S)N(C)C,6.0,9.221542
74,N#CSC#N,13.5,5.513019
75,C=O,14.4,8.979889
76,CC1CCCCC1=O,7.8,13.291393
77,COc1cc(C=O)ccc1O,9.8,9.616484
78,C=COC=O,6.5,6.759691
79,C=CCOCC=C,4.4,7.041445
80,CC(=O)CCl,9.6,9.597204
81,CCC(C)=C,1.8,9.203943
82,FC(F)Cl,6.3,1.5094512
83,OCCOc1ccccc1,5.7,9.800094
84,CCOc1ccccc1,4.5,4.927908
85,COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,6.5,3.6119745
86,CSSC,7.8,7.4598985
87,OCCCCCCCCCO,7.0,7.1838
88,C=CC1CO1,7.7,8.284754
89,COC1OCCO1,8.4,7.889988
90,CCCCCC,0.0,7.236532
91,COCBr,8.5,5.628927
92,CC(=C)C(O)=O,2.8,6.246865
93,CN1CCCC1=O,12.3,12.278897
94,CCCCNCCCC,3.0,1.201425
95,CCO,8.8,10.7271
96,OCCc1ccccc1,5.6,7.6112185
97,C1CCc2ccccc2C1,2.0,0.10050589
98,CCCCCCCCCCCCC=C,0.5,-0.0132812355
99,Clc1ccc(Cl)c(Cl)c1,4.2,1.4233806
100,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.0,8.079768
101,O=CCCC=O,9.8,14.471132
102,Cl[S](Cl)=O,6.4,17.96854
103,CC(C)[N+]([O-])=O,12.1,13.476345
104,OC(=O)c1ccccc1O,9.0,7.6178937
105,C=C1CC(=O)O1,14.5,13.74235
106,CCSC,5.9,4.6133633
107,CC1(C)C2CC3C(C2)C13C,0.0,1.1117278
108,C1CN1,11.0,9.159536
109,CCCCCC(=O)OC(C)C=C,2.7,4.627367
110,CN(C)N,5.9,9.002904
111,FC=C,7.0,5.031555
112,CC(O)=O.OCC(O)CO.OC(O)=O,14.7,18.917984
113,CCCCCCCO,5.3,5.2806563
114,CCC(C)CO,5.1,5.049621
115,C1CCOC1,5.7,6.6648216
116,COC(C)CCO,5.4,7.499419
117,CC,0.0,6.5239396
118,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,4.824567
119,CF,10.6,9.679277
120,CCc1ccc(CC)cc1,0.0,7.277179
121,CCCCC(CC)COC=C,3.4,2.2021604
122,CCCCCCOCCO,5.0,4.5212035
123,CCSC,4.8,4.6133633
124,C=CCC#N,14.3,12.562603
125,CC(F)=O,14.0,7.4915113
126,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,4.7,4.4828477
127,CCCCCCCCCCCC,0.0,-1.083569
128,CCC(=O)OCCC(C)C,5.2,4.9895625
129,CCOC(=O)CC(C)=O,7.3,7.733474
130,C1CC[C@@H]2CCCC[C@H]2C1,0.0,0.0040332507
131,COCC(C)O,6.3,9.456956
132,CC(Cl)(Cl)[N+]([O-])=O,12.1,12.086476
133,CCCC(OCC)OCC,4.9,5.3276625
134,S=C1CCCO1,6.9,5.32984
135,CC#C,3.8,1.9673721
136,OCC1CCCO1,8.2,7.3742495
137,CCCCOCCOCCCC,4.5,3.9297583
138,COC1CCCC1,4.3,3.315749
139,IC(=C)C=C,2.5,5.7730007
140,COC(C)OC,4.9,9.866167
141,ClC=CCl,8.0,-0.48485395
142,N#CC1CC1,16.2,10.996294
143,CCOC(=O)CC,6.1,8.176909
144,CCSCCCl,5.0,6.282221
145,o1cccc1,1.8,3.258413
146,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,7.2,7.4881563
147,OCCOC(=O)C=C,13.2,6.6467676
148,O=[S]1(=O)CCCO1,16.0,19.13023
149,COC(C)(C)CCO,6.3,7.2625217
150,C1COCO1,6.6,6.9634395
151,CC1(C)CO1,4.8,7.8505983
152,ClCCCCCl,7.7,7.236532
153,ClC(Cl)C=O,9.1,10.295911
154,ClC1CC1,7.2,0.8385878
155,Cc1ccc(Cl)cc1[N+]([O-])=O,11.8,9.356741
156,CCOCCOC(=O)C=C,5.1,5.854432
157,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,14.6,15.180699
158,CC1=CCC2CC1C2(C)C,1.8,0.09635093
159,CCCO[N+]([O-])=O,11.3,11.601427
160,ClC(Cl)(Cl)Br,8.1,5.8078737
161,C1CCOCC1,6.3,5.237655
162,O=C1OCCO1,21.7,18.79807
163,ClCCOCCCl,9.0,2.823994
164,CC1OCCO1,4.8,4.432474
165,CC(C)OCCO,8.2,6.6523523
166,CC(=O)OC(C)(C)C,3.7,6.305318
167,N(c1ccccc1)c2ccccc2,3.3,4.1215553
168,CCCCOCCCC,3.4,3.1849926
169,C#Cc1ccccc1,2.8,4.0122313
170,[O-][N+](=O)c1cc(F)ccc1F,7.2,10.978447
171,CN(C)Cl,7.8,3.4331768
172,CCC#N,14.3,13.318625
173,CCCOC(=O)CC,5.6,5.560952
174,CC(C)=CCl,7.1,11.361031
175,CC(Br)Br,8.4,6.029454
176,OCC(O)C1OC(=C(O)C1=O)O,11.7,15.570219
177,CCCCOC(=O)CCC,2.9,4.836391
178,CCCCS,5.3,5.4479074
179,CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC,3.8,2.9342563
180,[O-][N+](=O)c1ccc(Br)cc1C(F)(F)F,6.0,8.544585
181,CCOC(=O)CC(=O)OCC,7.7,6.898851
182,OCCO.O[S](O)=O,15.9,17.098427
183,CCN,5.6,6.3278728
184,Clc1ccccc1C=C,4.7,-0.7521351
185,CN=C=O,11.5,12.072187
186,OC(=O)C(Cl)=C,9.4,6.568738
187,C\C=C(/C)C=O,12.9,11.687298
188,Nc1ccc(Cl)cc1Cl,6.2,7.3867793
189,CCCCCO,5.9,6.1280236
190,CCCOCCOCCO,7.2,7.1035776
191,CC1(C)C2CCC1C(=C)C2,1.5,0.8955325
192,OC1CCOC1,9.4,10.033733
193,FC(F)(F)c1cc(Cl)ccc1Cl,4.7,4.864543
194,CCCCOCCOCCO,5.0,6.112295
195,CCC(=O)C=C,11.3,11.3654785
196,CC1CN1,8.4,8.262716
