,smiles,exp,predict
0,CCCC=O,10.1,11.971865
1,CC\C(C)=N\O,4.9,6.1105986
2,C1CCC(CC1)C2CCCCC2,0.0,-0.75539684
3,FC(F)(Cl)C(F)(F)Cl,1.8,-0.63221735
4,Cc1ccc(C)c(C)c1C,0.5,3.4959776
5,COO,15.0,8.722087
6,C[N+]([O-])=O,18.8,15.45697
7,Cc1cnccn1,12.3,9.826345
8,CCCCCOC(=O)CC,5.2,2.5307143
9,Oc1ccccc1O,11.3,8.993018
10,CC(=O)C=C,12.5,13.0182905
11,CNC(C)Cc1ccc2OCOc2c1,5.1,4.9846034
12,ClC[CH]=[C]=[CH2],8.0,2.2847626
13,CCCCC(CC)COCC(CC)CCCC,2.6,1.2981081
14,CCCCCCCC\C=C/CCCCCCCC(=O)OCCCC,3.7,3.308485
15,O=C1OC=CO1,18.1,18.272917
16,COC(=O)CC(C)=O,8.6,8.884236
17,ClCCCCl,8.2,6.4740925
18,[nH]1cccc1,11.0,5.0923963
19,CCCCC1CCCC1,0.0,0.63253385
20,O(c1ccccc1)c2ccccc2,3.4,3.840501
21,COC(=O)c1ccc(C)cc1,6.5,7.821466
22,CCS,6.5,5.8563685
23,Clc1cc(Cl)c(Cl)cc1Cl,10.7,-0.27690727
24,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.4,2.1752608
25,Clc1ccc(cc1)C#N,8.0,17.266682
26,CC(Cl)(Cl)C(Cl)Cl,6.7,2.5173428
27,Sc1ccccc1,4.5,3.7922049
28,Cl\C=C(/Cl)C=C,10.7,9.068372
29,COCCO,8.2,8.854649
30,CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,11.2,8.289392
31,OCC1COCO1.OC2COCOC2,10.6,8.680295
32,Brc1ccccc1,5.5,6.586139
33,[SiH3]C(Cl)(Cl)Cl,6.6,8.942804
34,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,6.1,4.7593045
35,ClC(Cl)C(Cl)(Cl)Cl,3.2,-0.11613467
36,CCC(C)Cl,7.6,5.316037
37,COC(C)CCOC(C)=O,4.1,4.8542385
38,CCOC(=O)CC#N,7.9,12.419576
39,CC(C)[S](=O)C(C)C,11.5,11.513846
40,Cn1cnc2nc(Cl)nc(Cl)c12,11.7,6.922625
41,CON=C(C)C,4.6,3.7499297
42,COC(C)(C)CCOC(C)=O,3.8,5.172807
43,C1CS1,9.0,7.4196873
44,CCCCCCCC\C=C/CCCCCCCCO,2.6,3.8560207
