,smiles,actual,predict
0,NC(=O)c1cccnc1 ,0.61,-0.2883629
1,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083,-3.7245698
2,Cc1ccnc(C)c1,0.38,-0.17787546
3,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99,-2.4318404
4,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.18,-5.7629566
5,C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,-4.799,-4.3052764
6,c1(O)c(C)ccc(C(C)C)c1,-2.08,-2.5946639
7,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,-4.469137
8,OC1CCCCCCC1,-1.29,-0.37017527
9,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484,-3.2092745
10,CCCCOC=O,-1.37,-0.5923058
11,ClCCCl,-1.06,-1.6666536
12,c1ccc(cc1)c2ccccc2,-4.345,-4.8917923
13,CCCC(C)(O)CC,-0.98,-0.75885373
14,COc1ccc(cc1)N(=O)=O,-2.41,-2.535243
15,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88,-4.8531103
16,C=CCCC=C,-2.68,-2.17654
17,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.38,-4.0755377
18,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68,-8.055805
19,Cc1ccc(C)cc1,-2.77,-3.0300696
20,CCCCC(CC)CO,-2.11,-1.888671
21,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36,-2.6539018
22,O=c1[nH]cnc2[nH]ncc12 ,-2.266,-2.857422
23,CCC(C)(C)CC,-4.23,-3.8393114
24,CCC(C)C(=O)C,-0.67,-0.068268314
25,CN(C)C(=O)N(C)C ,0.94,-1.1740623
26,O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,-2.9557736
27,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,-2.4714892
28,CCCCC(=O)CCCC,-2.58,-2.567958
29,CC(C)(C)CCO,-0.5,-1.189301
30,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,-3.0899649
31,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,-9.327221
32,CCCCCCCCCCCCCC,-7.96,-7.5304527
33,CC(C)c1ccc(C)cc1,-3.77,-4.1713147
34,CCCCCCCC#C,-4.24,-4.5226755
35,CNC(=O)ON=C(CSC)C(C)(C)C ,-1.62,-1.3168235
36,Clc1ccc2ccccc2c1,-4.14,-4.3704443
37,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,-3.1467931
38,O=C1NC(=O)C(=O)N1 ,-0.4,-0.89423996
39,N(Nc1ccccc1)c2ccccc2 ,-2.92,-4.3385487
40,O=C1NC(=O)C(=O)C(=O)N1 ,-1.25,-1.226457
41,CCCCOCCCC,-1.85,-3.1028118
42,C/C1CCC(\C)CC1,-4.47,-3.5564268
43,Oc1ccc(Br)cc1,-1.09,-0.8331315
44,Nc1ccc(cc1)N(=O)=O,-2.37,-1.6841599
45,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,-4.585642
46,CC2=CC(=O)c1ccccc1C2=O ,-3.03,-2.9714491
47,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.411,-4.5001354
48,Nc1cccc2ccccc12,-1.92,-2.802773
49,CCCCCl,-2.03,-2.61522
50,N(c1ccccc1)c2ccccc2,-3.504,-4.3746686
51,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,-4.736309
52,Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461,-2.9711442
53,CC(C)CCOC=O,-1.52,-1.7216438
54,CCCC(O)C=C,-0.59,-0.55988735
55,CCCCC=C,-3.23,-3.6882465
56,CCCCCCO,-1.24,-1.4645866
57,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67,-5.9092627
58,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982,-2.2337663
59,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,-5.8791156
60,CC(=O)Nc1ccc(Cl)cc1,-2.843,-2.1000473
61,COc1ccc(C=O)cc1,-1.49,-1.779485
62,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,-3.5727623
63,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332,-8.551248
64,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,-3.538571
65,CC(C)c1ccc(C)cc1O,-2.22,-2.6160216
66,CCOP(=S)(OCC)SCSCC,-4.11,-4.0688286
67,C1CCc2ccccc2C1,-4.37,-3.706691
68,CCOc1ccc(NC(=O)C)cc1,-2.35,-2.3650773
69,c1ccsc1,-1.33,-0.1064947
70,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,-6.8930073
71,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.27,-6.8320065
72,BrC(Br)Br,-1.91,-2.0187886
73,Brc1ccc(I)cc1,-4.56,-4.361056
74,CCCCC(=O)C,-0.8,-0.7025706
75,C=C,-0.4,-0.24084993
