,smiles,actual,predict
0,SC#N,16.8,16.580278
1,CC1CCCC1,16.0,16.744991
2,CCCCC(CC)CNCC(CC)CCCC,15.6,16.126049
3,CCCCCCCCCC,15.7,15.747732
4,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,17.8,18.508404
5,COC(=O)C(Cl)=C,15.9,17.674994
6,OCCC#N,17.2,16.00538
7,CC(=C)C1CCC(=CC1)C,17.2,17.323828
8,CC(=O)c1ccccc1,18.8,18.599472
9,C=CC#C,16.0,15.76723
10,CCc1ccccc1,17.8,17.981192
11,CCCCCCCCCc1ccccc1O,16.5,17.857452
12,C[CH]=[C]=[CH2],15.0,15.497889
13,CC1COC(=O)O1,20.0,17.654255
14,Cc1c[nH]c2ccccc12,20.0,20.035442
15,CC(=C)C(=O)OCC=C,15.2,15.884135
16,CCOCCOCC,15.4,16.546564
17,OC(c1ccccc1)C(=O)c2ccccc2,19.9,19.669802
18,Sc1ccccc1Cl,20.2,19.547062
19,C[P](F)(F)=O,14.0,15.585698
20,FC(Cl)=C,16.0,16.006943
21,BrC(Br)C(Br)Br,21.0,18.202576
22,CN,14.4,15.372602
23,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,16.8,16.224298
24,NCCO,17.0,16.083271
25,Cc1ccon1,19.4,18.056572
26,CCOCCOC(C)=O,15.9,16.2339
27,COC(=O)C(C)=C,15.8,15.717002
28,CO[S](=O)(=O)c1ccc(C)cc1,19.6,19.249712
29,Cc1ccc(cc1)[N+]([O-])=O,19.5,19.99171
30,Cc1ccccc1C,17.8,17.983356
31,o1ccc2ccccc12,18.7,20.157555
32,O=C1OCC=C1,19.0,19.028402
33,Cc1c(C)c(C)c(C)c(C)c1C,19.2,18.149084
34,CCOCCCl,16.3,16.82098
35,O=C1c2ccccc2C(=O)c3ccccc13,20.3,20.093529
36,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,16.5,16.726135
37,CC(=C)C(Cl)=O,17.1,15.987744
38,CCOC(=O)C(C)=C,15.8,15.802123
39,OC(=O)C(Cl)(Cl)Cl,18.3,18.481394
40,CCOC(C)OCC(C)O,15.4,15.894856
41,CCCCOC(=O)C(C)=C,15.4,15.708259
42,[O-][N+](=O)c1ccc(Br)cc1,20.9,19.999025
43,CC(O)COC(C)(C)C,15.3,15.886967
44,CCCCCCCC(O)=O,15.7,15.90917
45,CCCCC(O)=O,15.0,16.015423
46,OC(CCl)CCl,17.5,18.066177
47,C=[N+]=[N-],14.7,15.868211
48,CCC(C)O,15.8,15.974399
49,CCCCCCCCCO,16.0,15.512722
50,Clc1ccc(C=O)cc1,19.9,19.341726
51,CC1=CNC(=O)NC1=O,19.0,19.109722
52,[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,15.5,15.822427
53,CC(=O)Oc1ccccc1,19.8,18.407217
54,O=CN1CCCCCC1,18.5,17.936731
55,Cc1c(Cl)cccc1[N+]([O-])=O,20.3,19.799793
56,CCCCCCCCCCCCCCCCCCCC,16.5,16.775581
57,CCCl,15.7,16.45785
58,CCCCCCCCC,15.7,15.2417555
59,CCOC#C,15.4,15.872386
60,CCCCOC(=O)C(C)O,15.8,16.03214
61,CC(=C)C(=O)OCc1ccccc1,16.8,16.554958
62,CCCCCCCCCCCCCCCC(=O)OC(C)C,16.2,15.835584
