,smiles,actual,predict
0,C=CCNCC=C,6.7,5.342297
1,O[P](O)(O)=O,28.4,21.493649
2,CC=CCl,2.2,5.5877166
3,CCOC(Cl)=CCl,6.0,5.289696
4,[CH2]=[C]=[CH2],6.8,7.215105
5,CCCOCCO,13.5,10.366005
6,Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,4.5,8.410076
7,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,2.6,2.5983286
8,CCCCc1ccccc1C,1.0,1.7711911
9,CC(=O)c1sccc1,9.3,9.638364
10,O=C1CCCCC1=O,8.0,5.511802
11,CCCC(F)(F)C(F)(F)C(O)(F)F,9.9,2.4859755
12,[O-][N+](=O)OCCO[N+]([O-])=O,6.0,8.665235
13,CC=CC=C,4.0,3.1818912
14,Oc1cc2[nH]ccc2cc1O,17.9,15.277237
15,[O-][N+](=O)c1cccc(Cl)c1Cl,4.4,4.3027124
16,CC1CO1,6.7,8.903438
17,FC(F)(F)c1cccc(c1)C(F)(F)F,0.0,1.8115597
18,CCC=C,3.9,2.688004
19,O=C1CCO1,9.0,10.374708
20,CCCCCCCC=C,2.2,2.6901054
21,OO,42.7,21.82237
22,CCCOC(=O)C(C)=C,7.0,6.363564
23,OCC(Cl)=C,16.4,15.965641
24,CCCCOCCOCCOC(C)=O,8.2,5.6685977
25,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,5.2,4.221868
26,C1CCNCC1,8.2,8.029294
27,[nH]1ccnn1,15.0,12.170263
28,COC(C)(C)C,5.0,3.008748
29,COCCOCCO,12.6,15.550882
30,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,0.22775792
31,CC(C)COC(=O)CCCCC(=O)OCC(C)C,6.2,7.6811137
32,CCN1CCCC1=O,7.0,8.394245
33,CCO[S](=O)(=O)OCC,5.1,6.5513678
34,C1CCC(CC1)c2ccccc2,1.0,0.6151084
35,CCCCC(O)CC,11.7,10.486758
36,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.0,1.4719417
37,CCOC(=O)c1ccccc1,6.0,5.130238
38,CC#CC,7.6,4.564832
39,[O-][N+](=O)CCl,5.5,5.6274037
40,Cc1cc(C)cc(C)c1,0.6,2.3624997
41,C[n+]1ccc(cc1)c2cc[n+](C)cc2,5.9,5.2317104
42,FC(=C)C=C,1.0,5.08203
43,O=CC1CO1,9.8,10.556362
44,CSc1ccccc1,4.7,4.759708
45,Cc1ccc(N)c(C)c1,8.7,3.5693417
46,CC(C)OC(C)=O,8.2,8.935865
47,CCCCCCCCCCCCCCCCCC(=O)OCCCC,3.5,3.7138479
48,OCCCO,23.2,7.5587444
49,FC(F)(F)Br,0.0,0.46906045
50,CCOCCC=O,7.4,10.338827
51,CCOC(C)=O,7.2,8.1563015
52,Cc1cccc2ccccc12,4.7,2.841142
53,CCOC(=O)C=Cc1ccccc1,4.1,5.6665025
54,COC#C,6.5,6.741812
55,C/C=C/C#N,5.5,6.646224
56,CCCCOC(=O)C=C,4.9,5.860838
57,CC(C)=C,1.5,3.0321095
58,ClC(=C)C=C,2.1,4.0846224
59,CC(Cl)=O,5.8,5.877564
60,Cc1ccc(Cl)c(O)c1,13.1,13.243614
61,CCCS,5.7,7.717809
62,O=C(OCc1ccccc1)c2ccccc2,5.2,4.485864
63,CC12CCC(CC1)C(C)(C)O2,3.4,8.732492
64,CCCCC(CC)COC(=O)C=C,3.0,5.7542315
65,CCCO,17.4,5.4539084
66,CCCCC=O,5.8,5.580856
67,COC(=O)CCC(=O)OC,8.8,9.426663
68,CCCCCC=C,2.6,2.631387
69,CCOC,6.0,6.020394
70,ClC1C(Cl)(Cl)C1(Cl)Cl,3.7,3.0433815
71,CCOCC,4.6,3.106126
72,COc1ccc(N)cc1,11.3,10.133057
73,CN(C)C(=S)N(C)C,10.5,10.116352
74,N#CSC#N,0.0,9.000145
75,C=O,15.4,9.253503
76,CC1CCCCC1=O,4.7,4.914345
77,COc1cc(C=O)ccc1O,11.2,15.958664
78,C=COC=O,9.7,8.118626
79,C=CCOCC=C,5.3,5.0125203
80,CC(=O)CCl,5.5,6.123017
81,CCC(C)=C,1.3,2.4068515
82,FC(F)Cl,5.7,5.188047
83,OCCOc1ccccc1,14.3,5.999533
84,CCOc1ccccc1,4.0,4.759193
85,COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,8.4,10.539246
86,CSSC,6.5,9.761527
87,OCCCCCCCCCO,15.1,16.144873
88,C=CC1CO1,7.4,6.826407
89,COC1OCCO1,7.7,7.2678647
90,CCCCCC,0.0,-0.2308185
91,COCBr,7.0,7.583893
92,CC(=C)C(O)=O,12.0,11.94407
93,CN1CCCC1=O,7.2,12.659114
94,CCCCNCCCC,4.3,3.7113843
95,CCO,19.4,9.451082
96,OCCc1ccccc1,11.2,3.8419063
97,C1CCc2ccccc2C1,2.9,3.273027
98,CCCCCCCCCCCCC=C,1.9,1.8711312
99,Clc1ccc(Cl)c(Cl)c1,3.2,2.762893
100,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.0,0.35024515
101,O=CCCC=O,10.5,12.3450985
102,Cl[S](Cl)=O,6.1,8.531755
103,CC(C)[N+]([O-])=O,4.1,5.378258
104,OC(=O)c1ccccc1O,13.7,16.215466
105,C=C1CC(=O)O1,7.8,13.7777405
106,CCSC,5.3,5.908054
107,CC1(C)C2CC3C(C2)C13C,0.0,2.8820436
108,C1CN1,9.8,8.964644
109,CCCCCC(=O)OC(C)C=C,5.8,5.282908
110,CN(C)N,11.0,8.144135
111,FC=C,1.0,4.930574
112,CC(O)=O.OCC(O)CO.OC(O)=O,9.2,12.3614435
113,CCCCCCCO,11.7,4.793528
114,CCC(C)CO,14.3,15.39501
