,smiles,actual,predict
0,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,6.6,5.439155
1,CCCCCCCOC(C)=O,2.9,4.0268936
2,[Br],14.9,10.256405
3,[nH]1ccc2ccccc12,7.5,13.562237
4,CN(C)C(C)=O,11.5,11.888259
5,ClC(=O)C(Cl)=O,3.8,8.44337
6,CSC=C,4.9,5.0891447
7,COC(C)COC(C)CO,5.7,7.236271
8,C=Cc1ccc(C=C)cc1,1.0,2.8915343
9,C[Si](C)(C)C=C,1.0,4.3220544
10,CC(Cl)=CCCl,7.8,8.840302
11,CCCC,0.0,0.59577215
12,CC(C)COCC(C)O,4.7,5.886505
13,CCCCCCCCCCCCCCCCCC,0.0,-0.27903983
14,CCC[N+]([O-])=O,12.3,14.30272
15,O=C1C(=O)c2ccccc2c3ccccc13,17.1,9.065933
16,CC(=O)OCCCl,9.6,9.496655
17,CCCCC(CC)CO,3.3,4.827868
18,CCCCOCC(C)O,4.5,5.3346004
19,OCC1CO1,9.0,10.51793
20,CC(N)Cc1ccccc1,4.3,6.470278
21,CCOCCOCCOC(C)=O,5.1,3.8221447
22,COCOC,1.8,2.0080943
23,CNC=O,18.8,13.089441
24,CC(=O)OC=C,7.2,5.877028
25,ClC(Cl)(Cl)c1ccccc1,3.2,8.537587
26,CCC(C)OC(C)CC,3.5,3.0823777
27,ClCC=C,6.2,7.127498
28,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,11.4,12.753092
29,C1CCSCC1,6.3,4.8650455
30,OCC=Cc1ccccc1,6.0,5.6910596
31,CC=O,12.5,13.489907
32,[O-][N+](=O)c1ccc(Cl)cc1,8.9,10.4242735
33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.1,6.8717794
34,ClCCC#N,15.9,11.065888
35,Cc1ccccc1C=C,1.0,1.2345122
36,CCCC(=O)CCC,7.6,4.1307325
37,OCCCl,8.8,7.664209
38,COCCOCCOC,6.1,5.245128
39,CCOc1ccc(cc1)C(C)=O,10.3,11.939931
40,Cc1ccc(cc1N=C=O)N=C=O,7.9,13.163719
41,CCCCCC(CC)(CC)OC(=O)c1ccccc1C([O-])=O,7.0,6.685434
42,CCCCOC(=O)CC(C)=O,5.8,6.5837073
43,CCOC(=O)c1ccccc1C(=O)OCC,9.6,9.016301
44,CCNC=O,10.0,10.756643
45,CCC1COC(=O)O1,9.8,15.432124
46,FC(F)(Cl)C(F)(Cl)Cl,1.6,1.76729
47,CC(=C)C#N,9.5,13.494287
48,CCCBr,7.9,7.7929845
49,CC(F)(F)F,10.0,5.7233615
50,CC(C)O[P](F)(=O)OC(C)C,10.2,10.850722
51,OCc1ccccc1,6.3,5.4482546
52,CCCCOCCOC(C)=O,7.5,3.576656
53,C[SiH3],3.3,6.148094
54,CCI,7.0,5.9470797
55,ClC(Cl)(Cl)Cl,8.3,0.4213168
56,CCC(C)=O,9.0,7.6009564
57,N#CCCC#N,17.0,13.693145
58,C1Oc2ccccc2O1,6.7,9.521014
59,IC(=C)C=C,5.6,2.5413046
60,CCCCCCCCOC(C)=O,2.9,3.7823696
61,CC(=O)Nc1ccc(O)cc1,10.5,11.46877
62,CCCCCCC(C)O,4.9,5.784614
63,ClC(=O)C=C,11.6,9.487501
64,C,0.0,3.741425
65,OC(=O)CS,13.5,9.291024
66,CCCCN1CCCC1=O,9.9,10.103731
67,COC(CC(OC)OC)OC,7.1,6.132852
68,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,5.9,6.309919
69,ClCCCCCCl,7.8,7.3466487
70,Oc1c(Br)cc(Br)cc1Br,10.2,6.01327
71,ClCC=O,14.0,10.891572
72,CCBr,8.4,4.001455
73,CC(C)OCC=C,4.1,2.9028533
74,CC(C)C(C)O,5.2,4.5687084
75,OCCN1CCCC1=O,9.2,10.281325
76,C[S](=O)(=O)C=C,19.6,17.217146
77,OCC(O)CO.OC(O)=O,25.5,13.663718
78,FC(F)=C(F)Cl,6.3,2.2461245
79,BrC#N,15.2,12.340171
80,OCCN(CCO)CCO,7.6,6.250432
81,COC(C)(C)C.OCCOCCO,7.2,6.3088613
82,C=C,2.0,3.5393147
83,CCC=O,11.1,11.397764
84,ICC=C,6.4,6.131914
85,o1ncc2ccccc12,11.5,6.4047503
86,Nc1cccc(Cl)c1,7.3,7.429361
87,CC1CCCC(=O)C1,7.7,9.81581
88,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,2.5,5.766411
89,CC(=O)CC(=O)OCC=C,6.9,5.522115
90,CCC,0.0,1.3211851
91,CC(=O)OCc1ccccc1,5.7,5.152967
92,COc1ccccc1O,7.0,12.079886
93,Nc1ccncc1,16.1,8.798217
94,s1ccnc1,18.8,5.418933
95,C=CCOC=C,6.5,4.0157833
96,CCC(C)C,0.0,1.5884508
97,Nc1cccc(c1)[N+]([O-])=O,17.7,12.179082
98,C[C@@H]1CCc2c(C)coc2C1,4.6,5.76845
99,CN(C)C(=O)N(C)C,8.2,7.06988
100,CC1=CC(=O)OC1=O,17.0,18.300098
101,CC=C,1.6,1.9824169
102,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,8.2,7.2356596
103,CNC(C)=O,17.0,6.4186234
104,ClC(Cl)(Cl)C(=O)C(Cl)(Cl)Cl,3.0,5.6928964
105,C(c1ccccc1)c2ccccc2,1.0,1.0319148
106,O=C(C#N)C#N,6.3,14.581541
107,C1CCCCCCCCCCC1,0.0,5.8664117
108,[nH]1cccn1,10.4,9.80765
109,CC(C)COC=O,6.5,6.9674516
110,NCCCCNCCCN,11.2,6.6013265
111,C=CN1CCCC1=O,9.3,12.566017
112,CC(Cl)=C(Cl)Cl,15.7,7.803375
113,CC(C)COC=C,4.1,4.5886574
114,CCCCCCOCC.OCCO,4.1,4.8374615
115,OCCOCCOCCO,12.5,6.7330894
116,COC(C)=O,7.2,5.3135724
117,BrCCC=C,6.0,6.111651
118,CC(=O)c1ccc(cc1)C(F)(F)F,6.1,7.1883416
119,C1C=Cc2ccccc12,2.6,2.9894466
120,BrC(Br)=C,4.8,5.613018
121,Clc1ccc(C=O)c(Cl)c1,8.8,7.651087
122,BrCBr,6.4,6.79954
123,CC=CC,1.3,0.0072170952
124,COCCOC=C,6.7,6.0134
