,0,1,2,3,4,5,6
0,4,4,4,FC(F)(Cl)C(F)(Cl)Cl,4,-3.04,-2.479525
1,11,11,11,Clc1cccc(Cl)c1Cl,11,-4.0,-4.4652815
2,15,15,15,Cc1cc(C)c(C)cc1C,15,-4.59,-3.1630821
3,18,18,18,Cc1ccc(C)c(C)c1,18,-3.31,-3.0828264
4,19,19,19,Oc1ccccc1O,19,0.62,-1.4128273
5,22,22,22,Clc1ccccc1Cl,22,-3.05,-3.6827035
6,24,24,24,CC(Cl)CCl,24,-1.6,-1.4376475
7,38,38,38,ClCCCCl,38,-1.62,-2.078721
8,42,42,42,O=N(=O)c1cccc(c1)N(=O)=O,42,-2.29,-2.5603719
9,46,46,46,Clc1ccc(Cl)cc1,46,-3.27,-3.9349282
10,50,50,50,O=N(=O)c1ccc(cc1)N(=O)=O,50,-3.39,-2.4905992
11,57,57,57,Nc2cccc3nc1ccccc1cc23 ,57,-4.22,-3.2252839
12,61,61,61,CCCCCCBr,61,-3.81,-4.3475304
13,68,68,68,CCC#C,68,-1.24,-1.130181
14,74,74,74,Clc1cccc2ccccc12,74,-3.93,-4.4577975
15,75,75,75,CCCCCCl,75,-2.73,-3.428896
16,89,89,89,CCCCI,89,-2.96,-2.843528
17,93,93,93,CC1=CCCCC1,93,-3.27,-3.0763836
18,99,99,99,Nc1cccc2ccccc12,99,-1.92,-2.6274333
19,102,102,102,CCCCCCCCCO,102,-3.01,-4.867559
20,105,105,105,CCCCCCCCCCCCCCCCCCO,105,-8.4,-6.8085737
21,114,114,114,CCCO,114,0.62,-0.602674
22,116,116,116,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,116,-11.6,-5.88611
23,117,117,117,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,117,-9.16,-7.557164
24,124,124,124,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,124,-7.68,-6.684221
25,126,126,126,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,126,-7.43,-7.0315256
26,142,142,142,Clc1ccccc1c2ccccc2Cl ,142,-5.27,-6.0386467
27,149,149,149,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,149,-3.15,-2.769796
28,153,153,153,Oc1ccc(Cl)c(Cl)c1Cl,153,-2.67,-4.4890065
29,154,154,154,CC(C)C(C)C(C)C,154,-4.8,-3.2831364
30,167,167,167,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,167,-6.25,-6.299512
31,175,175,175,CC(C)C(O)C(C)C,175,-1.22,-0.12207005
32,176,176,176,CC(C)C(=O)C(C)C,176,-1.3,-0.5756469
33,179,179,179,Cc1ccnc(C)c1,179,0.38,-1.425482
34,188,188,188,Clc1cccc(Cl)c1c2ccccc2 ,188,-5.21,-6.447138
35,195,195,195,CCC(=O)C,195,0.52,-0.90142596
36,203,203,203,Oc1ccccc1Cl,203,-1.06,-1.8788338
37,217,217,217,CCCCCC(=O)C,217,-1.45,-1.433234
38,222,222,222,CC(C)I,222,-2.09,-2.290049
39,236,236,236,CCC(C)CO,236,-0.47,-0.91532147
40,245,245,245,CC(=C)C,245,-2.33,-1.3577718
41,257,257,257,CC(C)O,257,0.43,-0.0814952
42,263,263,263,CCC(C)(C)CC,263,-4.23,-1.2774707
43,264,264,264,O=N(=O)c1cc(Cl)c(Cl)cc1,264,-3.2,-3.270687
44,268,268,268,Clc1ccc(cc1Cl)c2ccccc2 ,268,-6.39,-6.3784666
45,271,271,271,Cc1cncc(C)c1,271,0.38,-2.3937747
46,272,272,272,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,272,-5.071,-6.103671
47,278,278,278,CCC(O)(CC)CC,278,-0.85,-0.43517634
48,284,284,284,CCC#CCC,284,-1.99,-1.5711051
49,304,304,304,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,304,-4.678,-6.3369637
50,313,313,313,CCCC(O)CCC,313,-1.4,-0.74210656
51,320,320,320,CC(C)CC(=O)C,320,-0.74,-1.1432909
52,324,324,324,CC(=O)Nc1ccc(cc1)N(=O)=O,324,-2.692,-2.0687215
53,335,335,335,O=C1NC(=O)NC(=O)C1(C)CC=C,335,-1.16,-1.770346
54,340,340,340,Fc1c[nH]c(=O)[nH]c1=O ,340,-1.077,-1.6220871
55,341,341,341,Oc1cccc2ncccc12 ,341,-2.54,-1.7899659
56,349,349,349,Cc1cc2c3ccccc3ccc2c4ccccc14,349,-6.57,-6.364488
57,353,353,353,Oc1cccc2cccnc12 ,353,-2.42,-0.92268485
58,356,356,356,Cc1c2ccccc2cc3ccccc13,356,-5.89,-6.4037423
59,366,366,366,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,366,-3.59,-3.0584064
60,368,368,368,C=CC=O,368,0.57,-1.6463174
61,369,369,369,C=CC#N,369,0.15,-1.0555388
62,375,375,375,NC(=O)NC1NC(=O)NC1=O ,375,-1.6,-1.7370858
63,383,383,383,CNC(=O)Oc1ccc(N(C)C)c(C)c1,383,-2.36,-2.7845676
64,393,393,393,COc1ccc(C=CC)cc1,393,-3.13,-3.6541038
65,395,395,395,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,395,-4.432,-3.7762203
66,396,396,396,COc1ccccc1,396,-1.85,-2.0530894
67,399,399,399,Cc1cc(=O)n(c2ccccc2)n1C,399,0.715,-2.456032
68,407,407,407,ClCC#CCOC(=O)Nc1cccc(Cl)c1,407,-4.37,-4.2043114
69,412,412,412,c1c(NC(=O)c2ccccc2(I))cccc1,412,-4.21,-3.9405227
70,416,416,416,NC(=O)c1ccccc1,416,-0.96,-1.4016817
71,417,417,417,c1ccccc1,417,-1.64,-0.9845775
72,426,426,426,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,426,-8.49,-7.296377
73,431,431,431,O=C(c1ccccc1)c2ccccc2,431,-3.12,-3.1621792
74,434,434,434,c2ccc1ocnc1c2,434,-1.16,-2.5695693
75,443,443,443,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,443,-2.523,-2.190134
76,444,444,444,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,444,-4.445,-3.0573084
77,446,446,446,ClCBr,446,-0.89,-1.2007422
78,454,454,454,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,454,-4.16,-3.018912
79,456,456,456,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,456,-4.24,-2.9786088
80,468,468,468,CCCCc1ccccc1,468,-4.06,-4.341846
81,470,470,470,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,470,-0.876,-1.9356962
82,473,473,473,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,473,-5.4,-6.061135
83,483,483,483,CC(=C)C1CC=C(C)C(=O)C1,483,-2.06,-3.9506567
84,487,487,487,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,487,-3.924,-4.154615
85,489,489,489,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,489,-6.86,-5.9133134
86,498,498,498,ClC=C,498,-1.75,-1.7665082
87,500,500,500,ClC(Cl)(Cl)N(=O)=O,500,-2.0,-1.6458383
88,512,512,512,c1ccc2c(c1)ccc3c4ccccc4ccc23,512,-8.057,-5.4088206
89,521,521,521,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,521,-3.11,-3.4599445
90,537,537,537,C1CCC=CC1,537,-2.59,-2.3277721
91,544,544,544,C1CC=CC1,544,-2.1,-2.4526207
92,547,547,547,CN(C)C(=O)NC1CCCCCCC1,547,-2.218,-3.3050733
93,559,559,559,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,559,-8.402,-5.9054174
94,574,574,574,BrCBr,574,-1.17,-1.532167
95,576,576,576,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,576,-3.896,-3.9361165
