,0,1,2,3,4,5,6
0,0,0,0,ClCC(Cl)(Cl)Cl,0,-2.18,-2.337448
1,5,5,5,CC(Cl)Cl,5,-1.29,-1.7879534
2,7,7,7,CCOC(C)OCC,7,-0.43,-1.7066643
3,9,9,9,C1CCc2ccccc2C1,9,-4.37,-3.0558758
4,28,28,28,O=N(=O)c1ccccc1N(=O)=O,28,-3.1,-1.9533062
5,41,41,41,Cc1cc(C)c2ccccc2c1,41,-4.29,-5.182691
6,43,43,43,Oc1ccc(O)cc1,43,-0.17,-0.99521536
7,62,62,62,Brc1cccc2ccccc12,62,-4.35,-4.798802
8,69,69,69,ClCCBr,69,-1.32,-1.1951258
9,73,73,73,CCCCCCCl,73,-3.12,-3.9635446
10,77,77,77,CCCCCCCCCCO,77,-3.63,-4.2700768
11,79,79,79,CCCCCCCCCCCCO,79,-4.8,-5.9295173
12,81,81,81,CCCCCCCO,81,-1.81,-2.2211711
13,82,82,82,CCCCCC=C,82,-3.73,-3.966615
14,84,84,84,CCCCCCCCCCCCCCCCO,84,-7.0,-7.3433776
15,90,90,90,CCCCCCCI,90,-4.81,-4.948977
16,97,97,97,Cn1ccc(=O)[nH]c1=O,97,-0.807,-2.5279408
17,104,104,104,CCCCCCCC#C,104,-4.24,-4.2667985
18,108,108,108,CCCCCCC#C,108,-3.66,-4.2667985
19,118,118,118,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,118,-8.01,-6.037143
20,125,125,125,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,125,-7.21,-9.31933
21,131,131,131,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,131,-8.71,-4.3456597
22,132,132,132,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,132,-6.57,-7.4053574
23,133,133,133,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,133,-7.32,-5.6956606
24,135,135,135,CC(C)CCC(C)(C)C,135,-5.05,-3.9912655
25,144,144,144,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,144,-7.66,-8.246322
26,145,145,145,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,145,-7.39,-9.501807
27,148,148,148,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,148,-7.25,-5.767914
28,155,155,155,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,155,-3.37,-3.4710743
29,163,163,163,Cc1cc2ccccc2cc1C,163,-4.72,-4.3405175
30,164,164,164,CCC(C)C(C)C,164,-4.28,-3.3920531
31,169,169,169,Clc1ccc(cc1)c2c(Cl)cccc2Cl ,169,-6.14,-5.658495
32,172,172,172,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,172,-3.22,-2.7299674
33,173,173,173,Oc1ccc(Cl)cc1Cl,173,-1.55,-2.6709688
34,177,177,177,CC(C)CC(C)C,177,-4.26,-2.3940728
35,181,181,181,Clc1ccc(cc1)c2ccccc2Cl ,181,-5.28,-5.3440423
36,185,185,185,Cc1cccc(C)c1O,185,-1.29,-1.907789
37,193,193,193,CC(C)Br,193,-1.59,-1.7487009
38,196,196,196,CC=CC=O,196,0.32,0.2926747
39,211,211,211,CCCC=C(CC)C=O,211,-2.46,-1.8140658
40,212,212,212,CCC(CC)C=O,212,-1.52,-0.7351292
41,214,214,214,CCc1ccc2ccccc2c1,214,-4.29,-5.8652544
42,223,223,223,CC(C)c1ccccc1C,223,-3.76,-2.7188807
43,227,227,227,CCC(=C)C,227,-2.73,-1.9054104
44,228,228,228,CCCC(=C)C,228,-3.03,-2.709753
45,234,234,234,CCC(C)(C)O,234,0.15,-0.8363827
46,238,238,238,Cc1ccc2ccccc2c1,238,-3.77,-5.425692
47,239,239,239,CCCC(C)C,239,-3.74,-2.8174133
48,250,250,250,CCCCCCCC(C)O,250,-2.74,-3.120203
49,251,251,251,CCCCCCCC(=O)C,251,-2.58,-3.1010408
50,266,266,266,Cc1ccc(O)cc1C,266,-1.38,-1.9120275
51,281,281,281,CCCC(O)CC,281,-0.8,-0.6977674
52,285,285,285,CC(C)C=C,285,-2.73,-1.7763795
53,300,300,300,CCCCCC(O)CC,300,-1.98,-1.7342407
54,302,302,302,CCC(O)CC,302,-0.24,-0.3088388
55,310,310,310,Oc1ccc(Cl)cc1,310,-0.7,-2.3210852
56,311,311,311,Cc1ccc(Cl)cc1,311,-3.08,-3.822479
57,314,314,314,CCCC(=O)CCC,314,-1.3,-1.4885199
58,316,316,316,Oc1ccncc1,316,1.02,0.10256316
59,326,326,326,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,326,-2.253,-1.9050032
60,329,329,329,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,329,-2.766,-1.7524135
61,338,338,338,O=C1NC(=O)NC(=O)C1(CC)C(C)C,338,-2.148,-2.039962
62,350,350,350,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,350,-7.02,-8.085434
63,357,357,357,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,357,-6.237,-3.629672
64,360,360,360,COP(=O)(NC(C)=O)SC ,360,0.54,-0.20242205
