,0,1,2,3,4,5,6
0,4,4,4,ClC(Cl)C(Cl)Cl,4,18.8,17.809639
1,11,11,11,CC(OCC=C)OCC=C,11,15.4,15.000509
2,15,15,15,CC(=O)C(Cl)Cl,15,17.1,16.876623
3,18,18,18,CCC(Cl)Cl,18,16.1,16.634565
4,22,22,22,CC(F)F,22,14.9,15.257022
5,24,24,24,COC(C)OC,24,15.1,15.36639
6,28,28,28,[nH]1nnc2ccccc12,28,18.7,20.101564
7,41,41,41,CC(Cl)=CCl,41,17.0,16.254936
8,42,42,42,FC(F)(Cl)C(F)(F)Cl,42,12.6,14.901509
9,46,46,46,COc1ccccc1OC,46,19.2,18.7886
10,52,52,52,C1OCOCO1,52,18.7,17.017626
11,57,57,57,Cl/C=C/C=C,57,15.6,16.047298
12,61,61,61,Fc1c(Cl)cccc1Cl,61,19.4,20.112478
13,68,68,68,OCCCCO.OC(=O)C=C.OC(=O)C=C,68,16.8,16.349474
14,73,73,73,C1COCCO1,73,17.5,16.31695
15,74,74,74,C1COCCO1,74,17.1,16.31695
16,75,75,75,C1CSCCO1,75,19.0,18.517305
17,85,85,85,CCCCS,85,16.3,16.049232
18,89,89,89,CCCCCCl,89,16.0,16.743786
19,93,93,93,CCC(Cl)[N+]([O-])=O,93,16.8,16.910368
20,99,99,99,CCCCCl,99,16.2,16.324823
21,102,102,102,CC=CCl,102,15.3,16.165697
22,105,105,105,CCOC(C)OCC(C)O,105,15.4,15.42522
23,108,108,108,CCCCCC=C,108,15.0,15.011735
24,114,114,114,Cn1ccnc1,114,19.7,17.37856
25,116,116,116,COC(C)=C,116,14.8,15.418222
26,117,117,117,Oc1cccc2ccccc12,117,19.7,19.718412
27,126,126,126,CCCO,126,16.0,15.674393
28,132,132,132,ClC1(Cl)CCCC(Cl)(Cl)C1=O,132,19.5,17.726925
29,153,153,153,[O-][N+](=O)c1ccc(F)cc1F,153,19.4,19.730066
30,164,164,164,Oc1c(Cl)cccc1Cl,164,20.1,19.691021
31,167,167,167,Cc1cccc(C)c1O,167,19.1,18.862019
32,169,169,169,CC(=O)c1sccc1,169,19.1,18.694134
33,173,173,173,CCC(C)Br,173,16.3,17.805101
34,176,176,176,CCC(C)O,176,15.8,15.445772
35,179,179,179,COCC=CC,179,15.2,15.393376
36,185,185,185,Cc1ccc(Cl)c(O)c1,185,19.0,19.592432
37,188,188,188,CCC(C)Cl,188,15.8,16.373106
38,193,193,193,CCSCCCl,193,17.2,16.869587
39,195,195,195,ClC(=C)C=O,195,17.1,16.411047
40,203,203,203,CCCCCCOC(=O)c1ccccc1C(=O)OCC,203,17.3,16.613985
41,214,214,214,CC1CCCCC1O,214,17.1,16.218851
42,217,217,217,CC1CCCO1,217,16.9,16.74109
43,222,222,222,CCCC(C)CO,222,15.8,15.944429
44,234,234,234,CC1=CCC2CC1C2(C)C,234,16.9,18.82562
45,236,236,236,CC(C)O,236,15.8,15.555105
46,257,257,257,OCC=CCl,257,17.2,16.322441
47,264,264,264,CCOCCC=O,264,16.0,15.891688
48,267,267,267,COC(C)CCO,267,15.3,15.828816
49,268,268,268,COC(C)CCOC(C)=O,268,15.3,15.497867
50,271,271,271,CC=CCO,271,16.0,15.882519
51,272,272,272,CC1CCCC(O)C1,272,17.2,16.038597
52,278,278,278,COC(C)(C)CCOC(C)=O,278,15.3,15.975088
53,284,284,284,BrC[CH]=[C]=[CH2],284,17.0,16.378876
54,300,300,300,Oc1ccc(C=O)cc1,300,19.4,19.564737
55,324,324,324,CC(C)=O,324,15.5,15.922592
56,326,326,326,CON=C(C)C,326,14.7,15.903681
57,335,335,335,C#C.C#C,335,14.4,16.811045
58,338,338,338,C=CC=O,338,15.5,15.651618
59,340,340,340,OC(=O)C=C,340,16.6,16.226034
60,349,349,349,CC(=O)CC(=O)OCC=C,349,15.9,15.481253
61,356,356,356,FCC=C,356,14.9,14.567599
62,366,366,366,Cc1ccc(F)c(F)c1F,366,17.5,17.81393
63,368,368,368,CC(N)Cc1ccccc1,368,17.5,18.212399
64,369,369,369,CCCCCOC(C)=O,369,15.8,15.773802
65,375,375,375,OCC(O)C1OC(=C(O)C1=O)O,375,18.0,18.792301
66,383,383,383,OC(=O)c1ccccc1,383,20.0,19.329235
67,393,393,393,O=C(OCc1ccccc1)c2ccccc2,393,20.0,18.707573
68,395,395,395,ClCc1ccccc1,395,18.8,19.55522
69,396,396,396,CCOCc1ccccc1,396,18.4,18.407742
70,412,412,412,COCBr,412,16.9,16.843643
71,416,416,416,C=C\C=C/C#N,416,16.2,16.00915
72,417,417,417,C1OC1C2CO2,417,18.3,17.646637
73,426,426,426,CCCCCCCCCCCCCCCCCC(=O)OCCCC,426,14.5,17.18572
74,431,431,431,CCCC(=O)OC(=O)CCC,431,15.8,14.974977
75,434,434,434,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,434,19.5,18.943588
76,444,444,444,O=C=S,444,17.4,18.89989
77,446,446,446,ClC(Cl)(Cl)C=O,446,17.2,15.820921
78,454,454,454,ClC#C,454,16.2,17.124254
79,456,456,456,ClC1CC1,456,17.6,17.505144
80,468,468,468,COc1cc(/C=C/CO)ccc1O,468,19.0,19.59084
81,473,473,473,[Ca++].NC#N,473,15.5,16.944092
82,483,483,483,CC(C)CCCCCCOCCCCCCC(C)C.OC(=O)C1CCCCC1C(O)=O,483,16.4,17.855057
83,487,487,487,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,487,18.3,19.540264
84,491,491,491,O=C1CCCCCCC1,491,17.0,17.702099
85,495,495,495,C1CC=CC1,495,16.7,17.255224
86,498,498,498,C1C=C1,498,17.2,17.851807
87,499,499,499,CC(=O)C1CC1,499,17.0,16.576374
88,500,500,500,N#CC1CC1,500,18.6,17.421963
89,512,512,512,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,512,16.2,16.236664
90,516,516,516,CC(C)CC(O)CC(C)C,516,14.9,15.474518
91,518,518,518,CC(C)C[S](=O)CC(C)C,518,16.3,16.284628
92,521,521,521,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,521,16.7,16.473192
93,544,544,544,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,544,16.7,16.378984
94,547,547,547,ClC(Cl)C#N,547,17.4,17.66972
95,555,555,555,CCOC(=O)OCC,555,15.1,15.732663
96,559,559,559,CCOC(=O)CC(=O)OCC,559,16.1,15.656177
97,568,568,568,CCCCOCCOCCOCCCC,568,15.8,15.478634
98,576,576,576,COCCOCCO,576,16.2,15.815573
99,580,580,580,CCCCCCOCCCCCC,580,16.0,18.055115
100,587,587,587,COCOC,587,15.0,15.472999
101,595,595,595,CSSC,595,17.6,16.328987
102,601,601,601,COC(=O)\C=C/C(=O)OC,601,16.3,15.277779
103,603,603,603,COC(=O)c1ccccc1C(=O)OC,603,18.6,18.504984
104,604,604,604,COC(=O)CCCCCCCCC(=O)OC,604,16.6,16.09717
105,607,607,607,CSC,607,16.1,16.328987
106,611,611,611,CC(=C)C1CCC(=CC1)C,611,17.2,17.220821
107,616,616,616,N(c1ccccc1)c2ccccc2,616,20.0,20.052532
108,619,619,619,CCCC(=O)CCC,619,15.8,16.683546
109,633,634,633,CC,633,15.5,15.693158
110,635,636,635,CCS,635,15.7,16.049232
111,637,638,637,NCCO,637,17.0,16.751606
112,652,653,652,CCOC(N)=O,652,16.8,16.07901
113,655,656,655,CCOC(Cl)=O,655,16.4,16.421942
114,656,657,656,CCOC(=O)C=Cc1ccccc1,656,18.4,19.481737
115,666,667,666,CCN=C=S,666,17.2,17.302128
116,674,675,674,CCC(=O)C=C,674,15.8,15.363955
117,689,690,689,CCCCOCCOCCCC,689,15.7,15.478634
118,690,691,690,CCOCCOCC,690,15.4,15.257465
119,695,696,695,CCOCCOC(=O)C=C,695,15.9,15.495778
120,696,697,696,CCCCCCOCCO,696,16.0,15.349415
121,703,704,703,CC(C)OCCO,703,16.0,15.598815
122,706,707,706,OCCO.O[S](O)=O,706,20.0,16.513426
123,718,719,718,C1c2ccccc2c3ccccc13,718,21.3,19.693985
124,736,737,736,OCC1COCO1.OC2COCOC2,736,18.4,18.195383
125,738,739,738,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,738,16.3,15.441558
126,740,742,740,CC(=C)C(=O)OCC1CO1,740,16.3,16.156399
127,750,752,750,CCCC(F)(F)C(F)(F)C(O)(F)F,750,15.1,14.064995
128,756,758,756,OCCCCCCO,756,15.7,16.722946
129,757,759,757,CCCCCC(O)=O,757,16.3,15.855475
130,772,774,772,CCC(=O)OCCC(C)C,772,15.7,16.313707
131,773,775,773,CC(C)COC(C)=O,773,15.1,15.995396
132,780,782,780,CC1(C)CO1,780,16.1,16.025692
133,783,785,783,CC(C)CCCCCO,783,14.4,15.519113
134,790,792,790,CC(C)Cl,790,15.0,16.482439
135,793,795,793,CC(C)CC=O,793,14.7,15.536788
136,802,804,802,CC(O)C(O)=O,802,17.0,15.807306
137,807,809,807,O=C1OC(=O)C=C1,807,19.5,19.283081
138,822,824,822,COC=CC,822,15.0,15.4185295
139,829,831,829,CC(C)CC(C)OC(C)=O,829,15.2,15.429219
140,833,835,833,CCl,833,15.3,16.333189
141,842,844,842,COC(=O)c1occc1,842,17.4,19.089264
142,855,857,855,CCCCCC(C)=O,855,16.2,15.744839
143,859,861,859,CSc1ccccc1,859,19.6,17.317583
144,862,864,862,CCC(=O)OC,862,15.5,15.916516
145,866,868,866,CC1CCC[S]1(=O)=O,866,19.0,16.766928
146,867,869,867,CSC#N,867,17.3,16.391891
147,874,876,874,COC(=O)c1ccc(C)cc1,874,19.0,18.844248
148,879,881,879,C1COCCN1,879,18.0,17.873343
149,881,883,881,CCCCN(CCCC)C=O,881,15.5,15.946775
150,885,887,885,CCN(CC)C=O,885,16.4,16.196344
151,890,892,890,CC(=O)N1CCCCC1,890,18.5,16.735914
