,0,1,2,3,4,5,6
0,8,8,8,ClCC(Cl)Cl,8,5.3,9.118811
1,16,16,16,CC(Cl)Cl,16,7.8,5.5945525
2,17,17,17,ClC(Cl)=C,17,5.2,7.4724894
3,19,19,19,CC=C(Cl)Cl,19,6.7,6.8326364
4,26,26,26,Cc1ccc(C)c(C)c1C,26,0.5,4.1177244
5,32,32,32,Clc1cc(Cl)c(Cl)cc1Cl,32,10.7,6.3556085
6,35,35,35,Cl\C=C\Br,35,6.6,7.839642
7,36,36,36,OC1CCCCC1O,36,9.8,5.998226
8,37,37,37,O=C1CCCCC1=O,37,10.3,11.883257
9,38,38,38,BrC=CBr,38,4.9,5.976471
10,45,45,45,Oc1ccccc1O,45,11.3,7.005486
11,48,48,48,C=C1CO1,48,8.6,5.426714
12,50,50,50,C1Oc2ccccc2O1,50,6.7,5.183732
13,53,53,53,Oc1cccc(O)c1,53,8.1,7.4300175
14,103,103,103,CCCCCCCCCCO,103,4.7,4.3493075
15,111,111,111,COC=CC=C,111,8.3,5.006014
16,115,115,115,Cc1cccc2ccccc12,115,0.8,7.9204926
17,119,119,119,CCCCCCCCCO,119,4.8,4.3493075
18,124,124,124,CCCC=C,124,1.4,7.71423
19,127,127,127,CCCCCCCCCCCCC=C,127,0.5,0.28114602
20,142,142,142,ClCC(Cl)=C,142,7.8,7.8443694
21,149,149,149,Nc1ccc(Cl)cc1Cl,149,6.2,6.0140553
22,150,150,150,Clc1ccc(C=O)c(Cl)c1,150,8.8,8.267332
23,151,151,151,[O-][N+](=O)c1ccc(Cl)cc1Cl,151,8.7,5.355904
24,152,152,152,Oc1ccc(Cl)cc1Cl,152,7.2,1.934452
25,154,154,154,Cc1ccc(N)c(C)c1,154,5.2,7.4137526
26,157,157,157,Oc1cc(Cl)ccc1Cl,157,6.3,6.9153304
27,159,159,159,COC1CCC(OC)O1,159,7.2,6.270634
28,160,160,160,Cc1[nH]c(C)cc1,160,7.6,6.6167774
