,number,actual,predict,SMILES
0,980,-2.64,-3.007415294647217,CCC1(C(=O)NCNC1=O)c2ccccc2
1,790,-5.27,-4.537603378295898,CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C
2,740,-1.04,-2.9699785709381104,c2ccc1NCCc1c2 
3,921,-3.63,-4.088064670562744,Clc1ccc(Br)cc1
4,80,-4.17,-4.297661304473877,CCc1cccc2ccccc12
5,701,-2.34,-3.1338143348693848,CNC(=O)Oc1cccc(N=CN(C)C)c1
6,34,0.81,0.055591337382793427,Oc1cccc(O)c1
7,951,0.07,-1.6383477449417114,NNc1ccccc1
8,32,-3.4,-3.1199545860290527,Cc1cc(C)cc(C)c1
9,744,-6.62,-5.578434467315674,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
10,934,-2.25,-1.6800384521484375,CCCCC(=O)OCC
11,749,-1.21,-1.033008098602295,CC(C)COC(=O)C
12,928,-2.6,-2.190783739089966,ClC(Cl)C(Cl)(Cl)Cl
13,246,-0.12,-1.3283418416976929,Cc2ncc1nccnc1n2
14,490,-5.64,-6.07696008682251,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl 
15,904,-5.696,-5.268547058105469,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
16,95,-3.7,-4.405385971069336,Cc1cccc2ccccc12
17,136,-7.39,-5.5984392166137695,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
18,57,-4.22,-4.4641008377075195,Nc2cccc3nc1ccccc1cc23 
19,867,-2.19,-1.436219573020935,ON=Cc1ccc(o1)N(=O)=O 
20,445,-2.55,-2.4193665981292725,Brc1ccccc1
21,673,-3.571,-2.7184762954711914,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67
22,93,-3.27,-2.5310776233673096,CC1=CCCCC1
23,120,-8.6,-7.03208589553833,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
24,1004,-2.41,-1.7626559734344482,CC(C)(C)c1ccc(O)cc1
25,380,-3.364,-0.8626148104667664,CN(C)c1nc(nc(n1)N(C)C)N(C)C
26,858,-8.6,-6.051362037658691,c1ccc2cc3cc4ccccc4cc3cc2c1
27,555,-6.9,-6.658313274383545,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
28,60,-4.43,-5.089280128479004,CCCCCCCBr
29,228,-3.03,-1.7247812747955322,CCCC(=C)C
30,764,-3.27,-3.5814480781555176,CC(C)c1ccccc1
31,873,-1.8,-2.0696983337402344,O=N(=O)c1ccccc1
32,584,-7.278,-5.184337139129639,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
33,463,-1.661,-2.746218204498291,CCCCC1(CC)C(=O)NC(=O)NC1=O
34,196,0.32,-0.7167735695838928,CC=CC=O
35,14,-5.56,-5.339798927307129,Clc1cc(Cl)c(Cl)cc1Cl
36,58,-2.43,-1.9915108680725098,CC(C)CBr
37,398,-5.19,-5.432186126708984,O=C1c2ccccc2C(=O)c3ccccc13
38,865,0.61,-0.41970476508140564,NC(=O)c1cccnc1 
39,33,-2.89,-2.672947883605957,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
40,43,-0.17,0.03769012540578842,Oc1ccc(O)cc1
41,251,-2.58,-3.2344374656677246,CCCCCCCC(=O)C
42,386,-5.47,-4.0931243896484375,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
43,1086,0.49,-0.4269918203353882,C1CCOC1
44,245,-2.33,-1.0646342039108276,CC(=C)C
45,1138,-0.85,-1.1957428455352783,CCCCC=O
46,307,-1.09,-1.0308129787445068,Oc1ccc(Br)cc1
47,781,0.358,-0.0521697923541069,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
48,368,0.57,-0.6957423090934753,C=CC=O
49,902,-4.314,-3.502995491027832,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O 
50,227,-2.73,-1.2525981664657593,CCC(=C)C
51,291,-1.6,-2.196634292602539,CCCCC(C)(O)CC
52,258,1.07,-0.8373133540153503,O=C1CCCN1
53,614,-2.98,-2.9847869873046875,CN(C)C(=O)C(c1ccccc1)c2ccccc2 
54,1070,-3.66,-3.006328582763672,CC(C)(C)c1ccccc1
55,618,-1.62,-1.8459398746490479,CCCOCCC
56,684,-1.6,-1.9375333786010742,CN(C)C(=O)Nc1ccccc1
57,574,-1.17,-0.8784263730049133,BrCBr
58,238,-3.77,-4.43872594833374,Cc1ccc2ccccc2c1
59,1130,-5.68,-5.191766262054443,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
60,850,-2.89,-3.003420352935791,CN(C)C(=O)Nc1ccc(Cl)cc1
61,875,-5.46,-5.239656925201416,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
62,1059,-3.84,-4.097696781158447,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC 
