,number,actual,predict
0,362,16.4,16.070070266723633
1,983,19.5,19.208600997924805
2,632,17.5,18.89537239074707
3,768,20.5,19.84727668762207
4,830,14.4,16.012306213378906
5,1154,14.9,13.457780838012695
6,229,16.1,15.577825546264648
7,932,16.3,17.93372344970703
8,1080,20.0,17.96382713317871
9,666,14.8,14.514476776123047
10,584,16.7,15.588854789733887
11,506,16.7,16.101579666137695
12,1102,20.0,16.470172882080078
13,766,16.0,16.862472534179688
14,1030,20.0,16.2403507232666
15,294,18.8,17.86305809020996
16,823,15.3,16.02349090576172
17,23,15.0,14.81489372253418
18,930,20.0,19.181720733642578
19,213,16.8,15.931787490844727
20,187,16.7,15.877740859985352
21,906,17.4,18.029220581054688
22,424,15.8,16.335643768310547
23,216,18.3,18.338424682617188
24,212,17.8,17.31772804260254
25,1002,18.5,18.8946475982666
26,440,19.9,14.96911334991455
27,352,16.5,16.600038528442383
28,185,19.0,19.311508178710938
29,363,15.2,14.88661003112793
30,982,17.4,17.99355697631836
31,571,16.0,15.450777053833008
32,1141,15.5,15.596790313720703
33,156,20.0,17.26722526550293
34,1164,15.9,16.046859741210938
35,89,16.0,15.960502624511719
36,150,19.7,19.868501663208008
37,256,15.9,16.038185119628906
38,189,18.5,18.867874145507812
39,526,15.2,14.634090423583984
40,1098,16.0,16.851713180541992
41,365,16.3,16.136289596557617
42,1005,18.8,19.02546501159668
43,1095,17.0,16.69799041748047
44,861,19.6,20.012035369873047
45,1052,20.7,18.09035301208496
46,1068,18.6,19.176694869995117
47,366,17.5,17.45792579650879
48,126,16.0,15.13939094543457
49,828,15.3,15.723960876464844
50,553,16.4,15.248906135559082
51,585,14.8,13.6893310546875
52,1028,15.5,15.662965774536133
53,221,17.1,16.030454635620117
54,942,19.5,20.475839614868164
55,308,18.1,19.20583152770996
56,63,15.6,15.668542861938477
57,516,14.9,14.474833488464355
58,872,16.4,15.26244068145752
59,776,15.5,16.056642532348633
60,927,19.2,18.649314880371094
61,1092,15.5,14.866005897521973
62,1041,17.4,18.432619094848633
63,45,20.0,18.7662296295166
64,1182,17.0,17.860139846801758
65,96,18.9,18.944839477539062
66,299,19.6,18.66281509399414
67,845,15.5,15.271032333374023
68,263,16.7,15.955419540405273
69,844,17.4,17.85973358154297
70,686,15.3,15.709161758422852
71,990,19.3,17.861661911010742
72,669,15.8,15.178291320800781
73,980,18.6,17.746841430664062
74,103,16.0,15.117432594299316
75,924,15.8,16.40772819519043
76,618,15.3,14.951969146728516
77,204,15.3,14.189454078674316
78,507,20.3,20.210651397705078
79,463,15.3,14.841815948486328
80,100,16.1,15.876485824584961
81,471,16.8,15.931787490844727
82,134,19.5,18.534805297851562
83,992,14.5,13.665995597839355
84,895,18.2,19.490446090698242
85,804,17.0,15.702497482299805
86,914,15.8,15.667710304260254
87,70,17.8,17.66962242126465
88,36,17.4,17.27614974975586
89,689,16.2,15.986204147338867
90,388,19.4,19.958358764648438
91,628,16.0,15.0023193359375
92,649,14.5,14.495851516723633
93,898,15.6,16.214006423950195
94,57,15.6,15.383003234863281
95,121,16.0,15.256853103637695
96,788,14.7,13.419573783874512
97,701,15.9,15.62356948852539
98,813,16.4,13.614639282226562
99,359,16.1,17.283334732055664
100,218,17.3,16.624155044555664
101,46,19.2,17.14557647705078
102,755,18.5,15.301734924316406
103,342,16.2,17.21614646911621
104,1148,19.4,18.56853675842285
105,288,19.6,18.468923568725586
106,194,19.0,19.582815170288086
107,579,16.6,17.889921188354492
108,84,16.4,16.588781356811523
109,80,17.0,16.8605899810791
110,389,19.3,19.706876754760742
111,540,15.0,15.049177169799805
112,0,18.0,16.593944549560547
113,439,20.2,14.96911334991455
114,26,18.8,17.49522590637207
115,781,14.5,13.839380264282227
116,894,18.3,18.02958106994629
117,497,17.3,15.812393188476562
118,796,16.4,15.242305755615234
119,65,15.0,13.705366134643555
120,838,16.0,15.893463134765625
121,959,16.5,15.649892807006836
122,569,15.8,14.423612594604492
123,586,16.2,17.840726852416992
124,90,16.8,16.220285415649414
125,180,15.2,15.020849227905273
126,1031,16.8,16.738630294799805
127,95,19.2,18.48952293395996
128,1162,15.9,15.344440460205078
129,319,16.3,16.222536087036133
130,422,15.7,16.38404083251953
131,1087,16.4,17.047468185424805
132,266,18.9,17.82642936706543
133,345,18.0,15.260540008544922
134,431,15.8,15.511791229248047
135,1048,20.2,20.528554916381836
136,777,15.1,14.835887908935547
137,800,16.0,15.896753311157227
138,264,16.0,16.325265884399414
139,452,17.4,17.45414161682129
140,607,16.1,15.922548294067383
141,900,15.6,15.06269645690918
142,935,20.0,20.187650680541992
143,859,15.8,16.83484649658203
144,952,17.6,18.172630310058594
145,16,16.5,16.787080764770508
146,30,17.8,18.127809524536133
147,937,16.5,17.687164306640625
148,157,20.0,19.46190643310547
149,785,14.4,15.844903945922852
150,405,16.6,18.157947540283203
151,508,19.0,16.74323081970215
152,201,15.8,15.91403579711914
153,612,18.0,19.196683883666992
154,964,16.1,17.131088256835938
155,931,16.0,16.076927185058594
156,391,18.4,18.9486026763916
157,448,16.2,17.6646671295166
158,1021,14.7,15.757322311401367
159,1138,18.0,18.147640228271484
160,141,17.5,18.4388370513916
161,538,17.8,18.051950454711914
162,1153,16.0,15.175773620605469
163,1146,16.0,14.322747230529785
164,662,15.5,15.754175186157227
165,994,12.4,14.452906608581543
166,324,15.5,14.366907119750977
167,633,19.4,18.200429916381836
168,329,16.3,14.803393363952637
169,570,16.0,15.270838737487793
170,112,19.6,19.09562873840332
171,1037,15.1,14.809294700622559
172,79,16.1,15.314376831054688
173,1078,15.0,14.582727432250977
174,451,16.8,16.45720672607422
175,367,13.7,9.863946914672852
176,687,15.5,15.929296493530273
177,271,16.0,15.243974685668945
178,223,15.3,13.924797058105469
179,18,16.1,15.829654693603516
180,295,17.7,17.688234329223633
181,1006,20.4,20.320661544799805
182,923,15.3,15.45739459991455
183,426,14.5,14.839706420898438
184,423,14.8,15.469500541687012
185,1145,15.3,15.193719863891602
186,355,15.0,14.457294464111328
187,694,16.0,15.747333526611328
188,429,15.6,15.754495620727539
189,617,19.5,18.487211227416992
190,5,17.9,16.742624282836914
191,467,19.2,17.70680046081543
192,623,15.6,15.548040390014648
193,582,17.3,14.233796119689941
194,1133,15.6,14.578163146972656
195,360,15.0,14.951229095458984
196,565,17.0,16.28520393371582
197,224,14.7,13.13024616241455
198,340,16.6,15.791891098022461
199,503,20.0,20.058488845825195
