,number,actual,predict
0,731,15.1,14.674334526062012
1,239,10.5,9.050919532775879
2,626,5.6,4.961554050445557
3,83,4.1,5.785637855529785
4,1089,6.0,6.257638931274414
5,110,3.0,3.2245030403137207
6,910,14.0,11.31376838684082
7,1047,14.2,12.282759666442871
8,379,11.2,10.116315841674805
9,356,1.0,4.43064022064209
10,494,5.2,4.792228698730469
11,333,5.2,8.189791679382324
12,142,3.0,3.414311408996582
13,25,11.0,9.586823463439941
14,408,4.1,5.028088092803955
15,933,10.9,10.826376914978027
16,320,19.3,13.033044815063477
17,945,3.9,5.181607246398926
18,988,3.7,1.8760085105895996
19,868,5.3,7.814939975738525
20,130,9.8,14.12340259552002
21,911,7.0,4.900043487548828
22,1001,4.0,3.895902156829834
23,725,19.0,16.691783905029297
24,638,21.0,22.636343002319336
25,976,2.6,3.4519031047821045
26,710,6.5,7.400638103485107
27,396,3.8,4.8303351402282715
28,366,0.0,3.4703898429870605
29,808,2.7,3.656378746032715
30,1059,12.0,14.141474723815918
31,297,3.0,6.6504926681518555
32,1066,12.0,12.417778015136719
33,519,2.6,5.498379230499268
34,1129,18.6,15.524627685546875
35,1029,1.5,2.963594436645508
36,422,9.2,6.711147785186768
37,952,1.0,3.736476421356201
38,762,8.9,19.957843780517578
39,690,4.2,4.527978420257568
40,183,2.0,2.6807632446289062
41,934,6.1,6.08852481842041
42,862,7.8,4.783020973205566
43,173,4.4,5.400688171386719
44,423,5.0,3.8884100914001465
45,400,7.6,5.743452548980713
46,837,9.9,7.597035884857178
47,1119,0.0,1.5818283557891846
48,881,11.0,9.620413780212402
49,97,4.2,5.464840888977051
50,1042,9.2,10.559122085571289
51,707,5.1,23.835830688476562
52,1084,8.0,6.1370086669921875
53,896,6.3,5.316777229309082
54,871,5.0,5.8037567138671875
55,1055,8.0,7.0337300300598145
56,227,4.1,6.4258599281311035
57,668,12.5,10.633785247802734
58,993,10.3,11.218668937683105
59,1175,4.0,3.0405964851379395
60,905,11.7,9.662001609802246
61,450,11.5,10.944409370422363
62,1185,7.4,7.42950963973999
63,360,7.1,4.7257466316223145
64,522,2.9,5.640677452087402
65,797,11.2,7.739604949951172
66,345,36.0,25.774518966674805
67,704,13.1,11.923810005187988
68,935,4.0,7.648750305175781
69,443,8.0,6.918476104736328
70,388,3.2,3.232335090637207
71,18,3.5,4.416086196899414
72,349,8.6,7.616466522216797
73,1033,10.8,10.071104049682617
74,757,0.0,1.6663622856140137
75,962,0.0,2.705338716506958
76,1126,21.0,19.207626342773438
77,22,2.9,3.1425318717956543
78,60,2.7,3.828579902648926
79,335,11.9,5.894062042236328
80,627,0.0,2.4291205406188965
81,698,13.5,11.164839744567871
82,565,5.7,5.490989685058594
83,1076,10.0,8.521302223205566
84,199,10.0,7.137054443359375
85,31,3.4,6.439593315124512
86,1002,14.9,12.02885913848877
87,330,9.7,11.0508451461792
88,1116,6.1,2.758826732635498
89,290,4.1,4.091468334197998
90,957,5.1,4.705300331115723
91,633,3.9,7.805843353271484
92,329,10.9,13.456320762634277
93,1078,6.0,5.4850969314575195
94,877,5.0,3.508511543273926
95,531,3.3,4.835976600646973
96,132,6.3,3.199403762817383
97,560,8.8,5.924599647521973
98,116,5.6,4.816318511962891
99,1053,10.0,10.211689949035645
100,1174,6.0,4.3860249519348145
101,1010,0.0,3.1336379051208496
102,1046,5.5,5.647897243499756
103,619,4.9,4.595746040344238
104,1161,2.4,3.323657751083374
105,929,18.6,15.53714656829834
106,203,6.8,5.5671796798706055
107,119,11.0,7.327648639678955
108,268,8.1,7.540718078613281
109,225,7.4,6.503443717956543
110,889,7.4,5.659090042114258
111,377,2.4,4.510295867919922
112,230,11.2,10.9602632522583
113,928,6.5,5.756969928741455
