,number,actual,predict,SMILES
0,1158,5.0,5.355687618255615,CCCCSC=C
1,893,13.1,12.384854316711426,CC(=O)N1CCCC1=O
2,948,6.5,7.274051189422607,Brc1ccccc1Br
3,973,6.7,8.31188678741455,ClC(=O)c1ccc(Cl)cc1
4,779,2.8,4.491701126098633,CC(C)COC(=O)C(C)C
5,224,2.0,4.753683567047119,CC=C(C)C
6,192,7.9,6.400203704833984,CCOCCCl
7,1120,6.6,4.298298358917236,[SiH3]C(Cl)(Cl)Cl
8,774,5.2,4.818136215209961,CCC(=O)OCCC(C)C
9,476,14.5,13.721875190734863,ClC#N
10,483,2.2,4.587424278259277,CC(C)CCCCCCOCCCCCCC(C)C.OC(=O)C1CCCCC1C(O)=O
11,128,8.2,8.169392585754395,S1C=CSC1=C2SC=CS2
12,161,8.5,10.538813591003418,OCC1CCC(CO)O1
13,731,7.6,8.866162300109863,OCc1occc1
14,717,1.5,6.240769386291504,CC1(C)C2CCC1C(=C)C2
15,844,6.9,7.4819440841674805,COC(=O)c1occc1
16,899,4.5,5.419432163238525,CCCCN
17,1031,9.8,8.559213638305664,CC(O)CCl
18,327,18.0,14.508602142333984,CC#N
19,477,11.4,10.89113712310791,O=C1CCC1
20,1049,17.4,9.700825691223145,c1ccnnc1
21,176,5.7,4.246408462524414,CCC(C)O
22,252,12.9,12.53768539428711,Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O
23,301,6.7,9.050885200500488,OC(=O)C=Cc1ccc(O)cc1
24,1122,7.7,7.135308265686035,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
25,910,10.0,16.193090438842773,CCNC=O
26,379,14.7,9.637306213378906,NC(=O)c1ccccc1
27,747,2.0,3.166611433029175,ClC(Cl)(Cl)C(Cl)(Cl)Cl
28,536,6.5,6.879567623138428,COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC
29,967,6.5,7.941830158233643,COc1ccc(N)cc1
30,965,10.0,6.0592041015625,C1COC1
31,20,4.9,3.820329427719116,CCCC(OCC)OCC
32,728,13.6,16.84050178527832,N#C/C=C/C#N
33,622,6.5,5.124053001403809,CCCCOC(C)COC(C)CO
34,827,3.8,6.0264892578125,CC#C
35,995,0.0,3.909348249435425,FC(F)=C(F)F
36,212,8.4,7.846518039703369,COC1OCCO1
37,953,0.0,1.3799352645874023,CCCCCCCCCCCCCCCCCC
38,22,9.3,6.220247268676758,CC(F)F
39,167,4.9,5.54006814956665,Cc1cccc(C)c1O
40,955,0.0,1.2055059671401978,CCCCCCCC
41,557,7.0,5.894187927246094,CCOC(=O)CCCC(=O)OCC
42,1171,3.5,4.328551769256592,CCCOC=C
43,107,5.3,4.011467456817627,CCCCCCCO
44,992,0.0,1.1262364387512207,CCCCC
45,49,7.2,7.897525787353516,SCCS
46,698,8.7,6.257906913757324,CCCOCCO
47,657,8.2,6.386721134185791,CCOC(=O)C=Cc1ccccc1
48,463,6.3,5.369320869445801,FC(F)=C(F)Cl
49,412,8.5,5.732665061950684,COCBr
50,724,14.4,6.024442672729492,C=O
51,1110,0.0,1.8158444166183472,C1CC[C@@H]2CCCC[C@H]2C1
52,985,5.0,6.070703506469727,CC1OC(C)OC(C)O1
53,831,3.1,4.355771541595459,CC(C)CC(C)OC(C)=O
54,561,9.6,6.8198628425598145,CCOC(=O)c1ccccc1C(=O)OCC
55,246,10.8,11.5377836227417,Clc1ccc(CC#N)cc1Cl
56,1037,4.7,4.814002513885498,CC(C)COCC(C)O
57,609,16.4,11.859034538269043,C[S](C)=O
58,287,11.8,10.157383918762207,Cc1ccc(Cl)cc1[N+]([O-])=O
59,633,13.8,9.85587215423584,O=C1CCCCCN1
60,211,6.6,5.92669677734375,COC1CCCCO1
61,459,6.4,8.634678840637207,CSCCl
62,54,6.8,3.2827398777008057,FC(F)(F)c1cccc(c1)C(F)(F)F
63,217,5.0,6.019583702087402,CC1CCCO1
64,471,8.7,9.144455909729004,C/C=C/C(O)=O
65,508,8.2,7.047511577606201,CC(CCl)OC(C)CCl
66,670,4.8,4.700312614440918,CCSC
67,547,9.4,11.840468406677246,ClC(Cl)C#N
68,497,0.0,1.4146751165390015,C1CC1
69,1063,8.2,9.768535614013672,NCCc1c[nH]c2ccc(O)cc12
70,996,0.0,2.152322292327881,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
71,88,5.3,5.6810150146484375,CCC=COC
