,0,1,2,3,4,5,6
0,4,4,4,FC(F)(Cl)C(F)(Cl)Cl,4,-3.04,-3.3813488
1,11,11,11,Clc1cccc(Cl)c1Cl,11,-4.0,-3.8244183
2,15,15,15,Cc1cc(C)c(C)cc1C,15,-4.59,-3.7531774
3,18,18,18,Cc1ccc(C)c(C)c1,18,-3.31,-3.3013635
4,19,19,19,Oc1ccccc1O,19,0.62,0.28269565
5,22,22,22,Clc1ccccc1Cl,22,-3.05,-2.0114033
6,24,24,24,CC(Cl)CCl,24,-1.6,-1.6091503
7,38,38,38,ClCCCCl,38,-1.62,-2.0670319
8,42,42,42,O=N(=O)c1cccc(c1)N(=O)=O,42,-2.29,-3.2464867
9,46,46,46,Clc1ccc(Cl)cc1,46,-3.27,-2.7157187
10,50,50,50,O=N(=O)c1ccc(cc1)N(=O)=O,50,-3.39,-3.2551808
11,57,57,57,Nc2cccc3nc1ccccc1cc23 ,57,-4.22,-3.5881317
12,61,61,61,CCCCCCBr,61,-3.81,-3.5348835
13,68,68,68,CCC#C,68,-1.24,-0.9543292
14,74,74,74,Clc1cccc2ccccc12,74,-3.93,-4.0738893
15,75,75,75,CCCCCCl,75,-2.73,-1.9945577
16,89,89,89,CCCCI,89,-2.96,-2.3847659
17,93,93,93,CC1=CCCCC1,93,-3.27,-2.9133666
18,99,99,99,Nc1cccc2ccccc12,99,-1.92,-2.9079318
19,102,102,102,CCCCCCCCCO,102,-3.01,-3.8235989
20,105,105,105,CCCCCCCCCCCCCCCCCCO,105,-8.4,-7.6791787
21,114,114,114,CCCO,114,0.62,0.25330144
22,116,116,116,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,116,-11.6,-8.045213
23,117,117,117,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,117,-9.16,-8.656701
24,124,124,124,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,124,-7.68,-7.391537
25,126,126,126,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,126,-7.43,-7.3878784
26,142,142,142,Clc1ccccc1c2ccccc2Cl ,142,-5.27,-5.721152
27,149,149,149,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,149,-3.15,-3.8067236
