0,1,2,3,4,5,6
2,2,2,CC(F)(F)F,2,14.6,14.743637
3,3,3,BrC(Br)C(Br)Br,3,21.0,17.948227
6,6,6,BrC=C(Br)Br,6,18.3,18.150251
12,12,12,CC(Br)Br,12,18.5,16.87659
25,25,25,CN(C)N,25,15.3,15.724665
27,27,27,Cc1cc(C)c(C)c(C)c1,27,18.6,18.794298
30,30,30,ClCC(Cl)=CCl,30,17.8,16.744265
39,39,39,ClC=CCl,39,17.0,17.075743
43,43,43,CCOC(Cl)=CCl,43,16.9,16.833319
47,47,47,[O-][N+](=O)c1ccccc1[N+]([O-])=O,47,20.6,19.548174
55,55,55,C=CC=C,55,14.8,14.38254
60,60,60,CC(Cl)=CCCl,60,16.9,17.066813
63,63,63,COCCC(C)OC,63,15.6,15.282689
66,66,66,O=[S]1(=O)CCCO1,66,18.4,17.670261
67,67,67,OCCCO,67,16.8,16.69797
72,72,72,Oc1ccc(O)cc1,72,21.0,18.882067
76,76,76,ClCCCCCCl,76,18.0,17.411955
78,78,78,OCCCCCCCCCO,78,15.7,15.853701
83,83,83,Brc1cccc2ccccc12,83,20.6,20.183918
92,92,92,CC(Cl)[N+]([O-])=O,92,16.8,16.710455
100,100,100,CCCCCCCl,100,16.1,15.969532
106,106,106,CCOC(=C)CC,106,15.3,15.386248
110,110,110,CCCCC=C,110,14.7,14.4037
120,120,120,CCCCCCCC=C,120,15.4,15.618377
129,129,129,OCC(F)(F)F,129,15.4,15.72178
135,135,135,o1ccc2ccccc12,135,18.7,19.735426
136,136,136,OC[CH]=[C]=[CH2],136,16.2,16.158432
138,138,138,BrCC(Br)=C,138,17.7,17.435663
139,139,139,ClC(=C)C(Cl)=C,139,17.1,16.71851
141,141,141,OCC(Cl)CCl,141,17.5,18.38293
178,178,178,CC=CC,178,14.6,14.700474
182,182,182,CC(Cl)=C,182,15.5,15.892186
184,184,184,Cc1ccc(N)c(Cl)c1,184,19.7,19.967009
211,211,211,COC1CCCCO1,211,17.2,17.57209
213,213,213,C\C=C/C(O)=O,213,16.8,16.798592
215,215,215,CC1CCCCC1=O,215,17.6,16.95499
224,224,224,CC=C(C)C,224,14.7,15.409807
227,227,227,CC(C)[N+]([O-])=O,227,16.2,15.75503
237,237,237,OCC#C,237,16.1,15.567922
239,239,239,Cc1ccc(O)c(c1)C(C)(C)C,239,17.3,17.68447
242,242,242,Cc1ccccc1C=C,242,18.6,17.627634
247,247,247,Cc1ccc(Cl)c(Cl)c1,247,19.8,19.650951
256,256,256,CCCCOC(C)CCO,256,15.9,15.502254
273,273,273,CC1CCCC(=O)C1,273,17.7,17.918287
275,275,275,C[C](C)=[C]=[CH2],275,15.1,15.437087
280,280,280,Nc1cccc(c1)[N+]([O-])=O,280,21.4,20.035318
290,290,290,Clc1ccc(cc1)C#N,290,19.5,19.596912
291,291,291,Clc1ccc(cc1)C(Cl)(Cl)Cl,291,20.3,20.053055
292,292,292,OCc1ccc(Cl)cc1,292,19.6,19.138369
299,299,299,CCC(=O)c1ccc(F)cc1,299,19.6,19.287092
311,311,311,O=C1C=C2NC=CC2=CC1=O,311,19.5,20.665182
316,316,316,O=C1C(=O)c2ccccc2c3ccccc13,316,20.3,20.300306
318,318,318,CC=O,318,14.7,15.278839
319,319,319,CC=NO,319,16.3,15.383712
328,328,328,CC(=O)c1ccccc1,328,18.8,19.20384
333,333,333,CC(Br)=O,333,16.7,16.494642
336,336,336,CC(F)=O,336,14.7,15.626793
351,351,351,NCC=C,351,15.5,15.893913
354,354,354,C=CCC#N,354,16.0,16.201866
355,355,355,CCOCC=C,355,15.0,15.207773
358,358,358,ICC=C,358,18.3,16.812056
359,359,359,C=CC[N+]#[C-],359,16.1,16.241747
362,362,362,SCC=C,362,16.4,15.641673
363,363,363,CC(=C)C(=O)OCC=C,363,15.2,15.47249
367,367,367,N,367,13.7,15.885591
370,370,370,COc1ccc(C=CC)cc1,370,18.5,18.609762
371,371,371,Nc1ccccc1,371,20.1,19.146324
380,380,380,c1ccccc1,380,18.4,18.648018
390,390,390,CC(=O)OCc1ccccc1,390,18.3,19.420895
405,405,405,ClB(Cl)Cl,405,16.6,16.509693
410,410,410,BrC=C,410,15.9,16.227348
423,423,423,CCCCOC(C)=C,423,14.8,15.499305
427,427,427,CCCCOC(=O)C1CC=CCC1C,427,16.1,16.781689
429,429,429,CCCC=O,429,15.6,15.8328085
432,432,432,CCCC#N,432,15.3,15.80698
438,438,438,O=C=O,438,15.7,16.427635
439,439,439,S=C=S,439,20.2,19.900684
447,447,447,[Cl],447,17.3,16.100027
453,453,453,ClCC(Cl)=O,453,17.5,16.718222
458,458,458,ClC(Cl)Cl,458,17.8,17.829664
461,461,461,[O-][N+](=O)C(Cl)(Cl)Cl,461,17.6,17.670362
462,462,462,ClC(=C)C=C,462,16.1,16.246714
477,477,477,O=C1CCC1,477,18.3,17.465437
478,478,478,O=C1CCCCCCCCC1,478,16.8,17.569733
486,486,486,C1CCC=CC1,486,17.2,17.180305
494,494,494,O=C1CCCC1,494,17.9,17.5771
506,506,506,CCCCOC(=O)/C=C/C(=O)OCCCC,506,16.7,16.499039
513,513,513,COCCOCCOC,513,15.7,15.905223
514,514,514,CCCCC(CC)CNCC(CC)CCCC,514,15.6,15.55496
523,523,523,CC(C)O[P](C)(=O)OC(C)C,523,16.4,15.913629
532,532,532,CC(=O)CC(C)(C)O,532,15.8,15.6591215
534,534,534,C=CCOCC=C,534,15.3,14.841996
535,535,535,C=[N+]=[N-],535,14.7,17.94029
541,541,541,CCCCC(=O)CCCC,541,16.0,15.960487
545,545,545,ClC(Cl)C=O,545,16.7,16.645426
548,548,548,FC(F)(Cl)Cl,548,14.9,16.929842
549,549,549,ClC(Cl)=C,549,16.7,16.400091
554,554,554,CCNCC,554,14.9,15.0232315
567,567,567,CCCCOCCOCCOC(C)=O,567,16.0,15.935091
572,572,572,COC(C)(C)C.OCCOCCO,572,16.0,15.70873
575,575,575,CCOCCOCCOC(C)=O,575,16.2,16.04593
578,578,578,NCCNCCN,578,16.7,16.896727
