,0,1,2,3,4,5,6
0,1,1,1,CC(Cl)(Cl)Cl,1,2.0,3.601355
1,13,13,13,BrC(Br)=C,13,7.0,8.616861
2,14,14,14,CC(Cl)(Cl)[N+]([O-])=O,14,4.3,5.362005
3,20,20,20,CCCC(OCC)OCC,20,4.6,5.715957
4,21,21,21,CCOC(C)OCC,21,4.0,5.8988543
5,34,34,34,C[CH]=[C]=[CH2],34,6.2,7.0352674
6,40,40,40,CC(Cl)CCl,40,2.9,4.6685076
7,64,64,64,C1COCO1,64,9.3,7.629482
8,87,87,87,CCC=C,87,3.9,2.3899145
9,91,91,91,FC(Cl)=C,91,4.0,3.433368
10,95,95,95,CCOc1ccccc1Cl,95,4.4,3.8913443
11,98,98,98,CCOc1ccc(Cl)cc1,98,4.4,2.7648332
12,112,112,112,COc1ccccc1[N+]([O-])=O,112,5.5,5.2651234
13,121,121,121,CCCCCCCCO,121,11.2,11.265444
14,122,122,122,CCCCCCC=C,122,2.4,2.5030193
15,123,123,123,CCCCCO,123,13.9,13.025467
16,130,130,130,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,130,9.8,8.243279
17,134,134,134,[O-][N+](=O)c1ccc(F)c(F)c1F,134,3.5,3.7601082
18,143,143,143,Sc1cc(Cl)c(Cl)cc1Cl,143,9.1,7.31293
19,146,146,146,Oc1c(Cl)cc(Cl)cc1Cl,146,10.8,7.4957566
20,147,147,147,[O-][N+](=O)c1ccc(Cl)c(F)c1Cl,147,4.2,4.1888795
21,161,161,161,OCC1CCC(CO)O1,161,18.9,13.7904415
22,166,166,166,COc1cccc(OC)c1O,166,13.7,10.560182
23,186,186,186,NC(=O)CCl,186,12.8,13.75838
24,187,187,187,CC(=O)OC(OC(C)=O)C(Cl)=C,187,8.8,7.4042606
25,189,189,189,ClC1CCCCC1=O,189,5.1,3.77046
26,197,197,197,Clc1sccc1,197,8.0,5.9137607
27,200,200,200,CC\C(=C/C)C=O,200,5.5,5.27189
28,201,201,201,CCCCC(CC)COC(C)=O,201,5.1,6.0635138
