,0,1,2,3,4,5,6
0,0,0,0,ClCC(Cl)(Cl)Cl,0,4.4,4.985686
1,5,5,5,CC(Cl)(Cl)C(Cl)Cl,5,6.7,6.301662
2,7,7,7,CC(Cl)=C(Cl)Cl,7,15.7,6.024704
3,9,9,9,FC(F)(Cl)C(F)(Cl)Cl,9,1.6,1.107916
4,29,29,29,[nH]1ccnn1,29,8.8,14.033234
5,33,33,33,Clc1ccc(Cl)c(Cl)c1,33,4.2,7.1556907
6,62,62,62,OC(CCl)CCl,62,9.9,8.041278
7,65,65,65,CC=CC=C,65,2.5,3.2929397
8,69,69,69,OCCCCO,69,11.0,8.273612
9,71,71,71,ClCCCCCl,71,7.7,6.833577
10,77,77,77,CC12CCC(CC1)C(C)(C)O2,77,4.6,4.0025387
11,79,79,79,CC(=O)OC=CC=C,79,4.4,5.793565
12,80,80,80,NC1(CC1)C(O)=O,80,6.3,12.513459
13,82,82,82,CCOc1ccc(Br)cc1,82,7.7,8.01043
14,84,84,84,CCCBr,84,7.9,6.866958
15,90,90,90,CCOC(Cl)=C,90,6.5,7.335632
16,94,94,94,CC=CCCl,94,7.7,6.1389875
17,97,97,97,CC(C)=CCl,97,7.1,6.89819
18,104,104,104,CCCCCCCCC=C,104,1.0,1.6346278
19,118,118,118,CCC[N+]([O-])=O,118,12.3,9.495033
20,125,125,125,CCCS,125,5.8,5.449892
21,131,131,131,CC(C)CC(C)(C)C,131,0.0,4.665246
22,133,133,133,CC(C)(C)CO,133,6.5,9.190457
23,137,137,137,CC1OC(=O)OC1C,137,16.8,9.793744
24,144,144,144,Oc1c(Br)cc(Br)cc1Br,144,10.2,8.723046
25,145,145,145,COc1c(Cl)cc(Cl)cc1Cl,145,3.9,8.017834
26,148,148,148,[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,148,7.6,7.9685535
27,165,165,165,Fc1cccc(F)c1C#N,165,11.2,10.891892
28,172,172,172,CC(Br)=C,172,6.0,5.1645823
29,177,177,177,CC=CC,177,1.3,0.0058994037
30,181,181,181,OCC(Cl)=C,181,10.2,8.316038
31,183,183,183,CC(C)(C)Cl,183,7.6,6.400793
32,196,196,196,OC(=O)C(Cl)=C,196,9.4,5.54684
33,204,204,204,CCC(=C)C=C,204,1.6,3.6040928
34,212,212,212,COC1OCCO1,212,8.4,7.199185
35,221,221,221,CC(=C)C(Cl)=O,221,10.6,6.457605
36,223,223,223,CCC(C)(C)O,223,6.1,5.2645936
37,228,228,228,[O-][N+](=O)c1sccc1,228,16.2,10.109835
38,235,235,235,CC(C)S,235,6.8,5.1474223
39,238,238,238,O=C1CCCN1,238,12.0,13.153469
40,248,248,248,Cc1ccc(O)cc1C,248,6.0,6.7479377
41,249,249,249,Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,249,12.8,12.524067
42,250,250,250,C=CC1CO1,250,7.7,9.907778
43,251,251,251,Fc1cc(F)cc(c1)C#N,251,11.2,8.977661
44,254,254,254,BrCC#C,254,6.5,8.059883
45,258,258,258,OCCCCl,258,5.7,8.9316
46,259,259,259,CC(=C)CCl,259,5.6,5.967863
47,261,261,261,ClCCC=O,261,13.3,11.326041
48,266,266,266,OC1CCOC1,266,9.4,6.446703
49,281,281,281,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,281,4.1,11.724678
50,285,285,285,BrCCC=C,285,6.0,6.3778706
51,302,302,302,IC[CH]=[C]=[CH2],302,6.3,4.9139853
52,305,305,305,CC1CCC(O)CC1,305,6.3,7.4728427
53,307,307,307,C=CCCC=O,307,8.1,9.070271
54,310,310,310,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,310,8.1,8.451604
55,312,312,312,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,312,8.3,8.451604
56,314,314,314,Cc1c(Cl)cccc1[N+]([O-])=O,314,9.6,11.687297
57,329,329,329,CC(C)=NO,329,3.7,5.999807
58,334,334,334,CC(Cl)=O,334,11.2,11.216675
59,339,339,339,NC(=O)C=C,339,12.1,10.05086
60,346,346,346,CNCC(O)c1ccc(O)c(O)c1,346,8.7,7.620157
61,347,347,347,CC(=O)OCC=C,347,4.5,5.0487456
62,350,350,350,OCC=C,350,10.8,6.2441263
63,357,357,357,C=CCOC=O,357,5.4,8.04913
64,360,360,360,CC(C)OCC=C,360,4.1,3.2213118
65,365,365,365,C=CCCC#N,365,11.2,10.203404
66,373,373,373,COc1ccc(N)cc1,373,5.4,6.4970365
67,386,386,386,O=C(c1ccccc1)c2ccccc2,386,7.2,4.3821893
68,388,388,388,ClC(Cl)(Cl)c1ccccc1,388,3.2,6.76991
69,389,389,389,ClC(=O)c1ccccc1,389,6.8,6.3093905
70,404,404,404,NC(=O)NC(N)=O,404,14.6,13.568689
71,408,408,408,Brc1ccccc1,408,5.5,5.3333306
72,430,430,430,CCCC(O)=O,430,4.8,5.3271666
73,436,436,436,O=C1CCCCCO1,436,15.0,9.620073
74,440,440,440,S=C=S,440,5.8,0.00088004745
75,442,442,442,ClC(Cl)(Cl)Cl,442,8.3,0.0025921809
76,445,445,445,CCCCCCCCCCCCCCCCO,445,3.7,2.6973598
77,448,448,448,ClCC=O,448,14.0,11.021409
78,449,449,449,OC(=O)CCl,449,10.4,11.000235
79,450,450,450,ClC1=CC(=O)OC1=O,450,17.3,15.687609
80,451,451,451,CC(=O)CCl,451,9.6,8.351689
81,457,457,457,FC(F)Cl,457,6.3,9.632862
82,460,460,460,[O-][N+](=O)CCl,460,13.5,11.317308
83,464,464,464,OCC=Cc1ccccc1,464,6.0,6.281973
84,471,471,471,C/C=C/C(O)=O,471,8.7,5.2015057
85,475,475,475,BrC#N,475,15.2,12.540314
86,482,482,482,C1CCCCC1,482,0.0,0.48867548
87,485,485,485,O=C1CCCCC1,485,8.4,9.357087
88,501,501,501,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,501,10.3,7.4587007
89,504,504,504,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,504,1.3,3.4996536
90,507,507,507,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,507,11.4,5.933269
91,525,525,525,CC(C)[S](=O)C(C)C,525,11.5,7.0186768
92,527,527,527,CCCC[S](=O)CCCC,527,10.5,6.5411234
93,530,530,530,CCC[S](=O)CCC,530,13.0,14.323485
94,531,531,531,CCC(C)OC(C)CC,531,3.5,3.656554
95,533,533,533,C=CCNCC=C,533,4.5,9.273811
96,538,538,538,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,538,2.2,5.4150915
97,539,539,539,BrCBr,539,6.4,7.4954915
98,542,542,542,CCCCOC(=O)\C=C/C(=O)OCCCC,542,6.1,3.0013306
99,543,543,543,CCCCOC(=O)c1ccccc1C(=O)OCCCC,543,8.6,6.2112308
100,560,560,560,CCOC(=O)C(=O)OCC,560,8.0,7.3757763
101,561,561,561,CCOC(=O)c1ccccc1C(=O)OCC,561,9.6,6.335263
102,566,566,566,OCCOCCO,566,12.0,10.635492
103,573,573,573,CCCCOCCOCCO,573,7.0,5.9330044
104,581,581,581,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,581,7.6,5.823165
105,582,582,582,SS,582,6.3,6.736464
106,588,588,588,CO[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC,588,7.1,7.5037837
107,589,589,589,COC(=O)CCC(C)C(=O)OC,589,8.7,7.5755305
108,593,593,593,COC(=O)OC,593,8.6,5.814103
109,597,597,597,COC,597,6.1,9.377831
110,602,602,602,CO[P](C)(=O)OC,602,13.1,10.8747835
111,617,617,617,C(c1ccccc1)c2ccccc2,617,1.0,2.3297777
112,620,620,620,CC(O)COC(C)CO,620,10.6,6.6697903
113,622,622,622,CCCCOC(C)COC(C)CO,622,6.5,5.1172247
114,626,627,626,CCCCCCCCCCCC,626,0.0,1.3354071
115,636,637,636,CCO,636,8.8,8.677854
116,649,650,649,CCCCC(=O)CC,649,5.0,4.8429313
117,661,662,661,CCOC=O,661,8.4,9.888094
118,665,666,665,CCOC(C)=C,665,3.5,5.578611
119,667,668,667,CCOC(=O)C(C)O,667,7.6,7.8301597
120,668,669,668,CCOC(=O)C(C)=C,668,7.2,8.442842
121,682,683,682,[O-][N+](=O)OCCO[N+]([O-])=O,682,18.0,12.179695
122,692,693,692,COC(C)(C)C.OCCO,692,5.1,5.327477
123,693,694,693,CCCCCCOCC.OCCO,693,4.1,4.873003
124,701,702,701,CCOCCOC(C)=O,701,4.7,6.414266
125,704,705,704,COCCO,704,8.2,9.744454
126,722,723,722,FC(=C)C=C,722,5.8,5.516977
127,728,729,728,o1cccc1,728,1.8,7.118728
128,735,736,735,CC(O)=O.CC(O)=O.OCC(O)CO,735,8.9,10.028961
129,737,738,737,CC(=O)OCC(COC(C)=O)OC(C)=O,737,4.5,6.235353
130,739,741,739,OCC1CO1,739,9.0,10.906815
131,743,745,743,ClC(Cl)(Cl)C(=O)C(Cl)(Cl)Cl,743,3.0,5.6195135
132,745,747,745,ClC(Cl)(Cl)C(Cl)(Cl)Cl,745,2.0,3.4713867
133,752,754,752,C1N2CN3CN1CN(C2)C3,752,7.0,5.429693
134,755,757,755,CCCCCC,755,0.0,1.8187037
135,759,761,759,CC(O)=O.CC(O)=O.OCCCCCCO,759,4.5,9.044211
136,761,763,761,C#N,761,17.6,9.476558
137,765,767,765,C1C=Cc2ccccc12,765,2.6,3.8728454
138,785,787,785,CC1=CC(=O)CC(C)(C)C1,785,8.0,8.7134
139,787,789,787,CC(C)OC(C)=O,787,4.5,7.1364036
140,788,790,788,CC(C)N,788,4.4,6.218123
141,796,798,796,C=C=O,796,7.3,8.78288
142,806,808,806,Clc1cccc(Cl)c1,806,5.1,7.3330927
143,811,813,811,CC(C)=CC(C)=O,811,7.2,7.390462
144,812,814,812,Cc1cc(C)cc(C)c1,812,0.6,3.5978367
145,813,815,813,CC(=C)C=O,813,10.3,9.046735
146,816,818,816,CC(=C)C#N,816,9.5,6.8107815
147,823,825,823,COC(C)=O,823,7.2,7.278786
148,841,843,841,COC=O,841,8.4,11.441044
149,849,851,849,CC(C)CC(C)=O,849,6.1,6.723356
150,853,855,853,CS,853,7.7,8.361706
151,858,860,858,CCCCCCCC\C=C/CCCCCCCC(=O)OC,858,3.8,3.1203234
152,892,894,892,CC(=O)N1CCOCC1,892,9.8,8.229131
153,894,896,894,CCCCOC(C)=O,894,3.7,5.829026
154,905,907,905,CCCC(N)=O,905,13.7,9.940519
155,911,913,911,O=CN1CCCCC1,911,10.6,9.337587
156,922,924,922,CCCO[N+]([O-])=O,922,11.3,9.623472
157,938,940,938,COc1ccccc1Br,938,8.4,7.1761007
158,939,941,939,Clc1ccccc1Br,939,7.7,6.6615276
159,967,969,967,ClC(=O)c1ccc(Br)cc1,967,6.5,6.8897963
160,976,978,976,Clc1ccc(Cl)cc1,976,5.6,5.73036
161,978,980,978,C=Cc1ccc(C=C)cc1,978,1.0,5.8456454
162,992,994,992,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,992,0.0,3.7441783
