,0,1,2,3,4,5,6
0,2,2,2,ClC(Cl)C(Cl)Cl,2,-1.74,-1.9546996
1,3,3,3,ClCC(Cl)Cl,3,-1.48,-1.8629928
2,6,6,6,ClC(=C)Cl,6,-1.64,-2.0238929
3,12,12,12,Cc1cccc(C)c1C,12,-3.2,-3.0873559
4,25,25,25,FC(F)(Cl)C(F)(F)Cl,25,-2.74,-3.5865002
5,29,29,29,CC1CO1,29,-0.59,-0.585364
6,33,33,33,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,33,-2.89,-3.50887
7,47,47,47,CCc1ccc(CC)cc1,47,-3.75,-3.2525852
8,54,54,54,c1cnc2c(c1)ccc3ncccc23,54,-2.68,-3.1023037
9,55,55,55,CC12CCC(CC1)C(C)(C)O2,55,-1.74,-1.6423031
10,58,58,58,CC(C)CBr,58,-2.43,-1.4958774
11,60,60,60,CCCCCCCBr,60,-4.43,-4.4510903
12,63,63,63,CCCCCCCCBr,63,-5.06,-4.7610703
13,65,65,65,CCCBr,65,-1.73,-1.7282239
14,66,66,66,CCCCO,66,0.0,-0.23308854
15,67,67,67,CCC=C,67,-1.94,-0.756829
16,71,71,71,CCCCCl,71,-2.03,-1.9989735
17,72,72,72,CCCCCCCCl,72,-4.0,-2.9263077
18,92,92,92,CCCI,92,-2.29,-2.454338
19,94,94,94,Cc1cccc2c1Cc3ccccc32,94,-5.22,-4.576073
20,100,100,100,O=N(=O)c1cccc2ccccc12,100,-3.54,-3.1940105
21,106,106,106,CCCCCCCCO,106,-2.39,-2.891184
22,110,110,110,CCCCCO,110,-0.6,-0.9509612
23,120,120,120,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,120,-8.6,-7.3518367
24,137,137,137,CCC(C)(C)CO,137,-1.04,-0.7145646
25,165,165,165,Cc1cccnc1C,165,0.38,0.05675421
26,168,168,168,Oc1cc(Cl)c(Cl)cc1Cl,168,-2.21,-2.6227133
27,182,182,182,Clc1ccc(cc1)c2ccccc2Cl ,182,-5.25,-5.284111
28,184,184,184,Cc1ccc2cc(C)ccc2c1,184,-4.89,-3.8394065
29,198,198,198,CCC(C)(C)Cl,198,-2.51,-1.032169
30,204,204,204,CC(C)Cl,204,-1.41,-1.3755502
31,208,208,208,CCc1ccccn1,208,0.51,-0.9845041
32,213,213,213,CCCCC(CC)C=O,213,-2.13,-2.5505936
33,215,215,215,CCc1ccccc1C,215,-3.21,-3.0766466
34,221,221,221,Oc1ccccn1,221,1.02,0.018587347
35,231,231,231,CCCC(C)(C)O,231,-0.49,-0.9063313
36,235,235,235,CCC(C)C,235,-3.18,-1.8329042
37,237,237,237,CCCCCC(C)C,237,-5.08,-3.6010706
38,248,248,248,Oc1ccc2ccccc2c1,248,-2.28,-2.60791
39,249,249,249,CC(C)N(=O)=O,249,-0.62,-1.0313253
40,254,254,254,CCCC(C)O,254,-0.29,-0.3388019
41,256,256,256,OCCOc1ccccc1,256,-0.7,-2.7912304
42,259,259,259,CCCCCCCCCC(C)O,259,-2.94,-3.971398
43,261,261,261,CC(O)C(C)(C)C,261,-0.62,-2.5718434
44,273,273,273,COc1cccc(Cl)c1,273,-2.78,-2.5976648
45,275,275,275,Oc1cccc(Cl)c1,275,-0.7,-0.57958376
46,280,280,280,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,280,-6.301,-6.1891603
47,290,290,290,CCC(C)C(=O)C,290,-0.67,-1.5137722
48,291,291,291,CCCCC(C)(O)CC,291,-1.6,-1.8183366
49,292,292,292,CCCC(C)(O)CC,292,-0.98,-0.9285991
50,305,305,305,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,305,-4.907,-4.691796
51,307,307,307,Oc1ccc(Br)cc1,307,-1.09,-1.1520545
52,312,312,312,CCc1ccc(C)cc1,312,-3.11,-3.523547
53,318,318,318,COc1ncnc2nccnc12 ,318,-1.11,-1.2482065
54,319,319,319,CC(C)CC(C)O,319,-0.8,-1.9686649
55,331,331,331,Oc2ccc1CCCCc1c2 ,331,-1.99,-3.2987409
56,332,332,332,Cc1c(C)c2c3ccccc3ccc2c4ccccc14,332,-7.01,-7.0160494
57,334,334,334,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,334,-1.708,-2.2121913
58,342,342,342,O=C1NC(=O)NC(=O)C1(C)CC,342,-1.228,-2.019326
59,346,346,346,Nc3cc2c1ccccc1ccc2c4ccccc34 ,346,-6.2,-7.033687
60,352,352,352,Cc2cnc1cncnc1n2,352,-0.854,-1.0409703
61,354,354,354,Cc1c2ccccc2c(C)c3ccccc13,354,-6.57,-5.883702
62,355,355,355,c3ccc2c(O)c1ccccc1cc2c3 ,355,-4.73,-5.4393773
63,359,359,359,C1=Cc2cccc3cccc1c23,359,-3.96,-2.846565
64,361,361,361,CC(=O)N,361,1.58,0.6403686
65,371,371,371,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,371,-3.48,-3.8038514
66,380,380,380,CN(C)c1nc(nc(n1)N(C)C)N(C)C,380,-3.364,-1.7395667
