0,1,2,3,4,5,6
8,8,8,ClCC(Cl)Cl,8,18.2,17.799301
16,16,16,CC(Cl)Cl,16,16.5,15.936586
17,17,17,ClC(Cl)=C,17,16.4,16.69976
19,19,19,CC=C(Cl)Cl,19,16.9,16.795626
26,26,26,Cc1ccc(C)c(C)c1C,26,18.8,18.01389
32,32,32,Clc1cc(Cl)c(Cl)cc1Cl,32,21.2,19.97912
35,35,35,Cl\C=C\Br,35,17.2,16.929348
36,36,36,OC1CCCCC1O,36,17.4,17.426868
37,37,37,O=C1CCCCC1=O,37,18.6,17.979223
38,38,38,BrC=CBr,38,17.0,17.888445
45,45,45,Oc1ccccc1O,45,20.0,19.494827
48,48,48,C=C1CO1,48,16.5,17.01678
50,50,50,C1Oc2ccccc2O1,50,19.0,20.063316
53,53,53,Oc1cccc(O)c1,53,18.6,20.17548
103,103,103,CCCCCCCCCCO,103,16.0,15.945255
111,111,111,COC=CC=C,111,15.5,15.844542
115,115,115,Cc1cccc2ccccc12,115,19.7,19.592564
119,119,119,CCCCCCCCCO,119,16.0,15.948689
124,124,124,CCCC=C,124,13.9,14.594085
127,127,127,CCCCCCCCCCCCC=C,127,16.1,16.03579
142,142,142,ClCC(Cl)=C,142,16.2,17.286114
149,149,149,Nc1ccc(Cl)cc1Cl,149,20.9,20.01354
150,150,150,Clc1ccc(C=O)c(Cl)c1,150,19.7,20.084318
151,151,151,[O-][N+](=O)c1ccc(Cl)cc1Cl,151,20.4,20.273964
152,152,152,Oc1ccc(Cl)cc1Cl,152,20.0,20.076368
154,154,154,Cc1ccc(N)c(C)c1,154,19.2,19.247824
157,157,157,Oc1cc(Cl)ccc1Cl,157,20.0,20.076368
159,159,159,COC1CCC(OC)O1,159,16.8,17.233376
160,160,160,Cc1[nH]c(C)cc1,160,18.3,18.635452
162,162,162,Cn1cnc2nc(Cl)nc(Cl)c12,162,20.5,20.006538
171,171,171,OCC(Br)=C,171,17.1,16.802795
175,175,175,Brc1sccc1,175,20.1,19.907923
180,180,180,N#CC#CC#N,180,15.2,16.53432
190,190,190,CC(=O)OCCCl,190,16.7,16.61483
191,191,191,ClCCc1ccccc1,191,19.3,18.602467
194,194,194,Oc1ccccc1Cl,194,19.0,19.599258
207,207,207,CCCCC(CC)CO,207,15.9,15.416788
225,225,225,Cc1occc1,225,17.3,17.666588
226,226,226,CC(CO)[N+]([O-])=O,226,16.1,16.221462
229,229,229,CCCCCCC(C)O,229,16.1,15.656588
232,232,232,OCCOc1ccccc1,232,17.8,18.318161
245,245,245,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,245,20.1,20.410576
253,253,253,C=CCN=[N+]=[N-],253,16.8,17.784258
255,255,255,C=CCC#N,255,16.2,16.000957
262,262,262,ClCCC#N,262,17.3,16.885788
263,263,263,ClCC#C,263,16.7,16.999054
282,282,282,CC(=O)c1ccc(cc1)C(F)(F)F,282,18.8,18.345518
283,283,283,Nc1ccncc1,283,20.4,20.457258
287,287,287,Cc1ccc(Cl)cc1[N+]([O-])=O,287,19.9,19.875727
297,297,297,CCC1COC(=O)O1,297,17.5,17.300886
301,301,301,OC(=O)C=Cc1ccc(O)cc1,301,19.1,19.29463
