,0,1,2,3,4,5,6
0,2,2,2,CC(F)(F)F,2,0.0,5.533519
1,3,3,3,BrC(Br)C(Br)Br,3,8.2,10.109883
2,6,6,6,BrC=C(Br)Br,6,8.0,4.1468997
3,12,12,12,CC(Br)Br,12,8.8,7.9780183
4,25,25,25,CN(C)N,25,11.0,9.021156
5,27,27,27,Cc1cc(C)c(C)c(C)c1,27,0.5,1.2665633
6,30,30,30,ClCC(Cl)=CCl,30,3.4,4.8397865
7,39,39,39,ClC=CCl,39,3.2,5.8356137
8,43,43,43,CCOC(Cl)=CCl,43,6.0,5.4184017
9,47,47,47,[O-][N+](=O)c1ccccc1[N+]([O-])=O,47,3.9,5.491323
10,55,55,55,C=CC=C,55,5.6,7.5707707
11,60,60,60,CC(Cl)=CCCl,60,2.7,2.9756608
12,63,63,63,COCCC(C)OC,63,5.2,4.9216166
13,66,66,66,O=[S]1(=O)CCCO1,66,9.0,5.048658
14,67,67,67,OCCCO,67,23.2,25.770435
15,72,72,72,Oc1ccc(O)cc1,72,27.2,20.873346
16,76,76,76,ClCCCCCCl,76,1.5,3.670059
17,78,78,78,OCCCCCCCCCO,78,15.1,13.004869
18,83,83,83,Brc1cccc2ccccc12,83,4.1,5.2792172
19,92,92,92,CC(Cl)[N+]([O-])=O,92,4.7,7.610001
20,100,100,100,CCCCCCCl,100,1.7,3.9311912
21,106,106,106,CCOC(=C)CC,106,4.6,5.0855145
22,110,110,110,CCCCC=C,110,3.0,2.7500572
23,120,120,120,CCCCCCCC=C,120,2.2,2.8066738
24,129,129,129,OCC(F)(F)F,129,16.4,9.754977
25,135,135,135,o1ccc2ccccc12,135,5.7,8.405991
26,136,136,136,OC[CH]=[C]=[CH2],136,16.8,10.701766
27,138,138,138,BrCC(Br)=C,138,6.4,6.36864
28,139,139,139,ClC(=C)C(Cl)=C,139,2.8,4.4471326
29,141,141,141,OCC(Cl)CCl,141,14.6,11.121543
30,178,178,178,CC=CC,178,2.9,4.102144
31,182,182,182,CC(Cl)=C,182,2.2,3.2556524
32,184,184,184,Cc1ccc(N)c(Cl)c1,184,8.9,7.825007
33,211,211,211,COC1CCCCO1,211,6.0,5.9880834
34,213,213,213,C\C=C/C(O)=O,213,12.4,11.993709
35,215,215,215,CC1CCCCC1=O,215,4.7,4.981188
36,224,224,224,CC=C(C)C,224,2.9,3.132948
37,227,227,227,CC(C)[N+]([O-])=O,227,4.1,10.144149
38,237,237,237,OCC#C,237,18.8,8.063548
39,239,239,239,Cc1ccc(O)c(c1)C(C)(C)C,239,10.5,12.564588
40,242,242,242,Cc1ccccc1C=C,242,3.8,4.4796834
41,247,247,247,Cc1ccc(Cl)c(Cl)c1,247,2.5,4.314873
42,256,256,256,CCCCOC(C)CCO,256,10.6,11.148772
43,273,273,273,CC1CCCC(=O)C1,273,4.7,4.839038
44,275,275,275,C[C](C)=[C]=[CH2],275,4.5,7.142988
45,280,280,280,Nc1cccc(c1)[N+]([O-])=O,280,10.6,9.44429
46,290,290,290,Clc1ccc(cc1)C#N,290,4.1,4.5954924
47,291,291,291,Clc1ccc(cc1)C(Cl)(Cl)Cl,291,3.5,3.456777
48,292,292,292,OCc1ccc(Cl)cc1,292,13.0,12.944349
49,299,299,299,CCC(=O)c1ccc(F)cc1,299,3.5,8.545944
50,311,311,311,O=C1C=C2NC=CC2=CC1=O,311,7.8,11.080082
51,316,316,316,O=C1C(=O)c2ccccc2c3ccccc13,316,4.8,4.800751
52,318,318,318,CC=O,318,7.9,5.9217324
53,319,319,319,CC=NO,319,20.2,11.808874
54,328,328,328,CC(=O)c1ccccc1,328,4.0,9.544475
55,333,333,333,CC(Br)=O,333,5.2,8.917735
56,336,336,336,CC(F)=O,336,5.7,6.7192626
57,351,351,351,NCC=C,351,10.6,10.873717
58,354,354,354,C=CCC#N,354,5.6,5.596616
59,355,355,355,CCOCC=C,355,5.1,4.8452377
60,358,358,358,ICC=C,358,3.3,7.5390954
61,359,359,359,C=CC[N+]#[C-],359,5.4,7.2566442
62,362,362,362,SCC=C,362,7.9,6.8886466
63,363,363,363,CC(=C)C(=O)OCC=C,363,7.5,6.1490545
64,367,367,367,N,367,18.8,9.298538
65,370,370,370,COc1ccc(C=CC)cc1,370,6.0,6.5934615
66,371,371,371,Nc1ccccc1,371,11.2,10.791639
67,380,380,380,c1ccccc1,380,2.0,4.2763443
68,390,390,390,CC(=O)OCc1ccccc1,390,6.0,7.780969
69,405,405,405,ClB(Cl)Cl,405,0.0,6.3659196
70,410,410,410,BrC=C,410,5.4,5.6476436
71,423,423,423,CCCCOC(C)=C,423,5.0,5.735784
72,427,427,427,CCCCOC(=O)C1CC=CCC1C,427,5.7,4.8959513
73,429,429,429,CCCC=O,429,6.2,6.3232265
74,432,432,432,CCCC#N,432,5.1,7.162448
75,438,438,438,O=C=O,438,5.7,2.8637726
76,439,439,439,S=C=S,439,0.6,0.5987283
77,447,447,447,[Cl],447,0.0,0.0010669812
78,453,453,453,ClCC(Cl)=O,453,5.5,6.4185967
79,458,458,458,ClC(Cl)Cl,458,5.7,5.0282707
80,461,461,461,[O-][N+](=O)C(Cl)(Cl)Cl,461,7.0,3.4203167
81,462,462,462,ClC(=C)C=C,462,2.1,4.4575114
82,477,477,477,O=C1CCC1,477,5.2,8.082862
83,478,478,478,O=C1CCCCCCCCC1,478,4.1,1.3645171
84,486,486,486,C1CCC=CC1,486,2.0,4.9879313
85,494,494,494,O=C1CCCC1,494,5.2,5.6549196
86,506,506,506,CCCCOC(=O)/C=C/C(=O)OCCCC,506,6.7,7.199852
87,513,513,513,COCCOCCOC,513,6.5,6.859893
88,514,514,514,CCCCC(CC)CNCC(CC)CCCC,514,3.2,2.6346562
89,523,523,523,CC(C)O[P](C)(=O)OC(C)C,523,5.7,4.2983603
90,532,532,532,CC(=O)CC(C)(C)O,532,10.8,10.3346195
91,534,534,534,C=CCOCC=C,534,5.3,5.581868
92,535,535,535,C=[N+]=[N-],535,11.3,7.977302
93,541,541,541,CCCCC(=O)CCCC,541,4.4,4.136888
