,0,1,2,3,4,5,6
0,2,2,2,CC(F)(F)F,2,10.0,4.8541484
1,3,3,3,BrC(Br)C(Br)Br,3,7.0,6.462396
2,6,6,6,BrC=C(Br)Br,6,9.4,7.7272477
3,12,12,12,CC(Br)Br,12,8.4,6.2408743
4,25,25,25,CN(C)N,25,5.9,7.668383
5,27,27,27,Cc1cc(C)c(C)c(C)c1,27,0.5,3.2247727
6,30,30,30,ClCC(Cl)=CCl,30,7.8,8.080169
7,39,39,39,ClC=CCl,39,8.0,7.0217485
8,43,43,43,CCOC(Cl)=CCl,43,10.5,10.164766
9,47,47,47,[O-][N+](=O)c1ccccc1[N+]([O-])=O,47,11.6,12.191896
10,55,55,55,C=CC=C,55,2.8,2.1533427
11,60,60,60,CC(Cl)=CCCl,60,7.8,6.4348974
12,63,63,63,COCCC(C)OC,63,5.5,4.7635016
13,66,66,66,O=[S]1(=O)CCCO1,66,16.0,12.292079
14,67,67,67,OCCCO,67,13.5,11.691565
15,72,72,72,Oc1ccc(O)cc1,72,10.2,7.9856076
16,76,76,76,ClCCCCCCl,76,7.8,7.3584747
17,78,78,78,OCCCCCCCCCO,78,7.0,8.487823
18,83,83,83,Brc1cccc2ccccc12,83,3.1,6.033271
19,92,92,92,CC(Cl)[N+]([O-])=O,92,13.5,15.976025
20,100,100,100,CCCCCCCl,100,6.2,5.4457593
21,106,106,106,CCOC(=C)CC,106,4.2,6.130478
22,110,110,110,CCCCC=C,110,1.1,1.6627444
23,120,120,120,CCCCCCCC=C,120,1.0,0.85009176
24,129,129,129,OCC(F)(F)F,129,8.3,5.727602
25,135,135,135,o1ccc2ccccc12,135,5.1,7.7542963
26,136,136,136,OC[CH]=[C]=[CH2],136,6.6,5.587589
27,138,138,138,BrCC(Br)=C,138,11.8,8.068742
28,139,139,139,ClC(=C)C(Cl)=C,139,2.3,8.378052
29,141,141,141,OCC(Cl)CCl,141,9.2,12.090449
30,178,178,178,CC=CC,178,0.0,1.2991128
31,182,182,182,CC(Cl)=C,182,6.7,6.5165057
32,184,184,184,Cc1ccc(N)c(Cl)c1,184,7.4,7.4071035
33,211,211,211,COC1CCCCO1,211,6.6,6.28331
34,213,213,213,C\C=C/C(O)=O,213,5.2,8.707226
35,215,215,215,CC1CCCCC1=O,215,7.8,11.873722
36,224,224,224,CC=C(C)C,224,2.0,5.3380637
37,227,227,227,CC(C)[N+]([O-])=O,227,12.1,12.791429
38,237,237,237,OCC#C,237,8.7,5.4256487
39,239,239,239,Cc1ccc(O)c(c1)C(C)(C)C,239,3.7,4.3527412
40,242,242,242,Cc1ccccc1C=C,242,1.0,3.9285376
41,247,247,247,Cc1ccc(Cl)c(Cl)c1,247,9.8,5.5500417
42,256,256,256,CCCCOC(C)CCO,256,5.5,5.274694
43,273,273,273,CC1CCCC(=O)C1,273,7.7,8.774666
44,275,275,275,C[C](C)=[C]=[CH2],275,2.5,5.545868
45,280,280,280,Nc1cccc(c1)[N+]([O-])=O,280,17.7,12.521921
46,290,290,290,Clc1ccc(cc1)C#N,290,8.0,8.432823
47,291,291,291,Clc1ccc(cc1)C(Cl)(Cl)Cl,291,5.5,4.633131
48,292,292,292,OCc1ccc(Cl)cc1,292,7.5,6.9514475
49,299,299,299,CCC(=O)c1ccc(F)cc1,299,7.1,9.013534
50,311,311,311,O=C1C=C2NC=CC2=CC1=O,311,9.3,13.027346
51,316,316,316,O=C1C(=O)c2ccccc2c3ccccc13,316,17.1,7.598466
52,318,318,318,CC=O,318,12.5,9.780585
53,319,319,319,CC=NO,319,4.0,9.788418
54,328,328,328,CC(=O)c1ccccc1,328,9.0,6.903712
55,333,333,333,CC(Br)=O,333,10.6,12.265339
56,336,336,336,CC(F)=O,336,14.0,9.589921
57,351,351,351,NCC=C,351,5.7,7.245551
58,354,354,354,C=CCC#N,354,14.3,14.29895
59,355,355,355,CCOCC=C,355,4.8,5.2119584
60,358,358,358,ICC=C,358,6.4,5.0225825
61,359,359,359,C=CC[N+]#[C-],359,13.0,5.765798
62,362,362,362,SCC=C,362,6.2,6.525683
63,363,363,363,CC(=C)C(=O)OCC=C,363,4.1,5.1019673
64,367,367,367,N,367,16.7,14.014794
65,370,370,370,COc1ccc(C=CC)cc1,370,4.3,8.186805
66,371,371,371,Nc1ccccc1,371,5.8,7.567784
67,380,380,380,c1ccccc1,380,0.0,3.1168373
68,390,390,390,CC(=O)OCc1ccccc1,390,5.7,6.775001
69,405,405,405,ClB(Cl)Cl,405,2.5,11.979514
70,410,410,410,BrC=C,410,6.3,5.666109
71,423,423,423,CCCCOC(C)=C,423,5.3,4.22602
72,427,427,427,CCCCOC(=O)C1CC=CCC1C,427,2.5,7.9951725
73,429,429,429,CCCC=O,429,10.1,8.341151
74,432,432,432,CCCC#N,432,12.4,12.7275095
75,438,438,438,O=C=O,438,6.3,7.101435
76,439,439,439,S=C=S,439,0.0,5.7965775
77,447,447,447,[Cl],447,10.0,7.450484
78,453,453,453,ClCC(Cl)=O,453,9.2,9.057873
79,458,458,458,ClC(Cl)Cl,458,3.1,3.3954225
80,461,461,461,[O-][N+](=O)C(Cl)(Cl)Cl,461,6.8,8.643609
