,Unnamed: 0,smiles,exp,predict,residual,std_residual
129,129,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456,-3.803607,-2.347607,-2.761654377943813
174,174,CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35,-5.7671285,-2.4171285,-2.8434373828659405
17,17,O=N(=O)OCC(CON(=O)=O)ON(=O)=O ,-2.22,-0.4382562,1.7817438,2.095989901906173
30,30,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.493,-5.2232814,-1.7302814000000004,-2.0354510799229817
65,65,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9,-4.8419533,-1.9419533000000002,-2.2844555467365004
124,124,Cc1c(C)c(C)c(C)c(C)c1C,-5.23,-7.390035,-2.1600349999999997,-2.5410003097885903
156,156,ClC(Cl)C(Cl)Cl,-1.74,-3.9383957,-2.1983957,-2.5861266853258886
174,174,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364,-2.4746306,-2.1106306,-2.482882457205221
184,184,Cc1cc(=O)n(c2ccccc2)n1C,0.715,-1.735778,-2.450778,-2.8830216441969982
23,23,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754,-5.472552,-1.7185520000000003,-2.02165296598796
45,45,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,-5.852942,-1.7829419999999994,-2.097399428405136
46,46,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78,-4.928542,1.851458,2.177999593321666
53,53,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,-4.9506693,-2.1106693000000005,-2.4829279827230897
131,131,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28,-5.180809,2.0991910000000003,2.4694252552877254
143,143,ClCC(Cl)Cl,-1.48,-3.2499318,-1.7699318000000002,-2.082094619811567
155,155,CCCCCCCl,-3.12,-5.2164884,-2.0964884,-2.466245997804752
160,160,Cc1cc(C)c(C)c(C)c1C,-4.0,-6.5917015,-2.5917015,-3.0487998177712656
169,169,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,-8.234831,3.365169,3.9586837581293643
171,171,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,-5.4342346,-1.7942345999999998,-2.1106837039369304
187,187,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-4.24,-6.5733557,-2.3333556999999994,-2.7448895765795336
38,38,c1ccc2c(c1)cnc3ccccc23 ,-2.78,-5.0976515,-2.3176514999999998,-2.726415627284739
