,Unnamed: 0,smiles,exp,predict,residual,std_residual
0,0,SC#N,10.9,5.029569,-5.870431,-2.1460435347663287
19,19,C[P](F)(F)=O,8.4,-0.8784338,-9.2784338,-3.3919013560073155
70,70,CC=NO,20.2,13.505288,-6.694711999999999,-2.4473745462168885
78,78,OC=O,14.0,22.777193,8.777193,3.2086636042645384
121,121,N,18.8,12.654545,-6.145455,-2.2465835934273666
134,134,S=C=S,0.6,8.313134,7.713134,2.819677354777929
142,142,CN(C)C,1.8,9.145316,7.3453159999999995,2.6852147504358146
175,175,C#N,9.0,0.3836588,-8.6163412,-3.149861283711665
176,176,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,13.8,7.477015,-6.322985000000001,-2.3114829353542317
185,185,O=C=S,0.0,6.226343,6.226343,2.2761536828194706
5,5,COO,30.0,16.6179,-13.382100000000001,-4.892071670137421
31,31,OCC1COCO1.OC2COCOC2,16.5,10.369848,-6.130152000000001,-2.240989301592146
40,40,Cn1cnc2nc(Cl)nc(Cl)c12,14.2,7.546427,-6.653572999999999,-2.4323354315459635
55,55,ClC#C,2.5,8.515934,6.015934,2.199234820455421
58,58,C1N2CN3CN1CN(C2)C3,16.0,5.4300547,-10.5699453,-3.8640370313353047
81,81,CN[C@@H](C)[C@H](O)c1ccccc1,24.1,12.272053,-11.827947000000002,-4.323922585736685
95,95,CO,22.3,14.492943,-7.807057,-2.8540126270800577
102,102,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,10.6,19.588863,8.988863,3.2860434482664505
126,126,O=C1CCC(=O)O1,16.0,8.20496,-7.79504,-2.8496195927087675
129,129,CC(=O)Nc1ccccc1,13.5,6.997814,-6.502186,-2.3769931419257184
144,144,CNN,14.8,8.712664,-6.0873360000000005,-2.2253371288667436
147,147,S=C=S,0.6,6.813547,6.213547,2.2714758707353373
171,171,ClCCl,7.1,-0.35469818,-7.454698179999999,-2.7252014090316905
172,172,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,11.0,3.5137112,-7.4862888000000005,-2.736749938570708
188,188,Oc1ccc(O)cc1,27.2,21.45458,-5.745419999999999,-2.1003434748687377
195,195,CC(N)=S,20.2,11.149739,-9.050260999999999,-3.30848861131284
3,3,CC(O)=S,8.9,17.878136,8.978136000000001,3.282121997013989
6,6,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,32.8,16.53255,-16.267449999999997,-5.946864190999691
10,10,OC(F)(C(F)F)C(F)(F)F,14.7,5.8425207,-8.8574793,-3.238013731205015
15,15,OC(=O)C(O)=O,26.0,17.190361,-8.809639,-3.220524833623853
47,47,C=CCN=[N+]=[N-],13.4,6.22418,-7.175820000000001,-2.623252384304818
91,91,Fc1c(F)c(F)c(c(F)c1F)C(=O)c2ccccc2,5.4,-0.6516854,-6.0516854,-2.2123043993038642
93,93,NN,8.9,19.842743,10.942742999999998,4.000320056186589
112,112,O,42.3,22.781612,-19.518387999999998,-7.135304098874629
114,114,CC(O)C(O)=O,28.4,20.511524,-7.888475999999997,-2.8837768332443297
142,142,OCC(O)C(O)C(O)CO,36.0,23.14967,-12.85033,-4.697673410370345
151,151,NC(=O)NC(N)=O,18.8,12.746603,-6.053397,-2.212930106021839
164,164,O[N+]([O-])=O,18.6,8.277567,-10.322433000000002,-3.7735543783256467
