,Unnamed: 0,smiles,exp,predict,residual,std_residual
0,0,SC#N,8.9,16.481321,7.581321000000001,2.415801841165326
13,13,CC1COC(=O)O1,18.0,11.142934,-6.857066,-2.1850166570960594
35,35,O=C1c2ccccc2C(=O)c3ccccc13,7.6,14.006788,6.406788000000001,2.041534746564077
37,37,CC(=C)C(Cl)=O,10.6,4.166772,-6.433228,-2.049959901056336
51,51,CC1=CNC(=O)NC1=O,20.5,13.891396,-6.608604,-2.1058437851045397
73,73,c1ccnnc1,17.4,7.009521,-10.390479,-3.3109451899991633
78,78,OC=O,10.0,17.59342,7.593419999999998,2.419657209705486
83,83,Brc1ccc(cc1)C#N,9.3,17.618647,8.318646999999999,2.6507521233574476
90,90,[SiH3]C=C,2.6,9.358797,6.7587969999999995,2.1537030600158835
110,110,Nc1ncnc2nc[nH]c12,16.0,8.357407,-7.642593,-2.435326276341185
128,128,Fc1c(F)c(F)c(F)c(F)c1F,0.0,8.937424,8.937424,2.847926549274878
134,134,S=C=S,0.0,11.645076,11.645076,3.7107248250417233
158,158,CC1OC(=O)OC1C,16.8,9.990508,-6.8094920000000005,-2.1698571147430052
177,177,ClC(Cl)(Cl)Cl,0.0,6.8427906,6.8427906,2.180467774704274
5,5,COO,15.0,8.722087,-6.277913,-2.000468491450993
23,23,Clc1cc(Cl)c(Cl)cc1Cl,10.7,-0.27690727,-10.97690727,-3.4978116337729332
25,25,Clc1ccc(cc1)C#N,8.0,17.266682,9.266682,2.9528452148502327
50,50,[nH]1nnc2ccccc12,15.6,8.976507,-6.623493,-2.1105881922616976
57,57,C[N+]1([O-])CCOCC1,16.1,9.3453665,-6.754633500000001,-2.1523763531048203
59,59,CC(=C)C(C)=O,12.1,2.838396,-9.261604,-2.951227100836931
97,97,NC1(CC1)C(O)=O,6.3,14.11617,7.8161700000000005,2.490636905739934
112,112,CCN=[CH+],15.2,7.57305,-7.626949999999999,-2.430341605701154
114,114,COC(Cl)Cl,12.9,4.4184775,-8.4815225,-2.7026527001541205
123,123,O=[S]=O,8.4,16.388554,7.988553999999999,2.545567383500662
137,137,s1cnc2ccccc12,5.2,12.998942,7.798941999999999,2.485147171942935
147,147,S=C=S,5.8,14.35197,8.55197,2.725100925233298
7,7,C[S](C)=O,16.4,6.213123,-10.186876999999999,-3.246067039283089
15,15,OC(=O)C(O)=O,17.0,9.736619,-7.263381000000001,-2.3144896770477397
29,29,FC(F)F,8.7,1.7375716,-6.962428399999999,-2.218590579095879
89,89,CCCCCCl,6.9,0.5105756,-6.3894244,-2.0360018035783813
97,97,CC(=O)C(C)=O,5.1,11.665534,6.5655339999999995,2.092119450612043
193,193,S,6.0,15.07529,9.07529,2.8918578030278983
4,4,ClC(Cl)(Cl)C=C,15.5,4.957661,-10.542339,-3.3593356575178674
37,37,ClC(Cl)=C(Cl)Cl,5.7,14.721014,9.021014000000001,2.8745626560830466
38,38,[Ca++].NC#N,27.6,14.148967,-13.451033,-4.286196335305622
51,51,[O-][O+]=O,4.2,15.789057,11.589057,3.6928742679501245
55,55,ClCNCCl,7.5,1.073264,-6.426736,-2.0478912133496894
69,69,CC(C)=CC(C)=O,7.2,14.079923,6.879923000000001,2.192300082066921
72,72,Cl[S](Cl)(=O)=O,7.2,17.777557,10.577557000000002,3.3705579378094113
110,110,Cc1ccc(Cl)c(Cl)c1,9.8,1.4791943,-8.320805700000001,-2.6514399970716105
117,117,COC(C)=C,4.2,10.627538,6.427537999999999,2.0481467721205964
119,119,CO,5.0,12.035503,7.035503,2.2418759344082875
139,139,CC(=O)C#N,18.9,10.360436,-8.539563999999999,-2.7211477305800833
