,Unnamed: 0,smiles,actual,predict,residual,std_residual
5,5,COC(=O)C(Cl)=C,15.9,17.674994,1.7749940000000013,2.144430019471503
13,13,CC1COC(=O)O1,20.0,17.654255,-2.345745000000001,-2.8339735210514396
21,21,BrC(Br)C(Br)Br,21.0,18.202576,-2.7974239999999995,-3.379662130007225
78,78,OC=O,14.6,16.86992,2.269920000000001,2.7423667853518108
90,90,[SiH3]C=C,15.5,17.706339,2.206339,2.6655524383354154
103,103,BrC(Br)Br,20.0,17.902636,-2.097363999999999,-2.533896071400142
104,104,CC(CCl)OC(C)CCl,19.0,16.174423,-2.825576999999999,-3.413674717282551
121,121,N,13.7,15.630639,1.930639000000001,2.332469984891466
128,128,Fc1c(F)c(F)c(F)c(F)c1F,16.0,18.088228,2.088228000000001,2.522858562170315
137,137,Oc1cccc(O)c1O,20.7,18.947874,-1.7521260000000005,-2.1168024186541055
161,161,BrC#C,15.7,17.910387,2.2103870000000008,2.6704429634407525
170,170,BrC=C,15.9,17.75097,1.8509699999999984,2.2362191833556406
175,175,C#N,12.3,15.372493,3.0724929999999997,3.711982251103976
176,176,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,18.3,16.208965,-2.0910350000000015,-2.5262497933883687
1,1,CC\C(C)=N\O,14.7,16.55811,1.85811,2.2448452577756273
9,9,Oc1ccccc1O,20.0,18.224924,-1.7750759999999985,-2.1445290864326254
15,15,O=C1OC=CO1,17.3,18.977184,1.6771840000000005,2.0262624649870884
33,33,[SiH3]C(Cl)(Cl)Cl,16.5,19.288527,2.7885269999999984,3.368913364725066
43,43,C1CS1,19.3,17.24452,-2.0554799999999993,-2.483294600670921
61,61,FCC=C,14.9,16.800388,1.9003880000000013,2.295922733171724
65,65,Cl[SiH](Cl)Cl,14.2,17.736053,3.536052999999999,4.272024696219964
99,99,FC(F)=C(F)C(F)=C(F)F,13.8,16.444427,2.6444270000000003,3.1948213025514254
129,129,CC(=O)Nc1ccccc1,20.6,18.13527,-2.464730000000003,-2.977723306046105
142,142,NNc1ccccc1,20.4,18.53477,-1.8652299999999968,-2.253447169522163
