,Unnamed: 0,smiles,actual,predict,residual,std_residual
25,25,CN(C)C(=O)N(C)C ,0.94,-1.1740623,-2.1140622999999996,-2.6766003347074943
30,30,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,-3.0899649,-1.9599649000000001,-2.48149863291869
82,82,CC1CO1,-0.59,0.99103105,1.58103105,2.001732984696308
133,133,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8,-3.611922,-1.8119219999999998,-2.2940624936473597
139,139,C,-0.9,0.743211,1.643211,2.080458609282724
153,153,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445,-6.765841,-2.3208409999999997,-2.9384014829661718
174,174,CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35,-5.183403,-1.8334030000000001,-2.3212594460691744
177,177,C/C1CCCCC1\C,-4.3,-2.6114552,1.6885447999999998,2.1378554344631184
16,16,C1CCCCCCC1,-4.15,-0.9583055,3.1916945000000005,4.040983355591778
65,65,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9,-4.7684264,-1.8684264000000002,-2.365602341811932
67,67,Cc1cccc(C)n1,0.45,-2.5832586,-3.0332586000000004,-3.8403887075676
75,75,NNc1ccccc1,0.07,-1.8991615,-1.9691615,-2.4931423875224077
92,92,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,-6.2775307,1.7794693000000006,2.2529743442195214
130,130,CCCCCOC(=O)C,-1.89,-0.28290132,1.60709868,2.034737039109951
161,161,CCCCCc1ccccc1,-4.64,-2.2058897,2.4341102999999995,3.081810996627185
174,174,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364,-2.1017592,-1.7377592000000002,-2.2001654617089708
184,184,Cc1cc(=O)n(c2ccccc2)n1C,0.715,-1.8594922,-2.5744922,-3.25954759432673
21,21,CCCCc1ccccc1,-4.06,-2.4425726,1.6174273999999995,2.0478141633787574
25,25,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,-4.0815697,1.9234302999999997,2.435242416823069
28,28,CCCCSP(=O)(SCCCC)SCCCC,-5.14,-2.301463,2.8385369999999996,3.593852974096178
51,51,CNN,1.34,-0.76378936,-2.10378936,-2.66359383312879
53,53,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,-5.658763,-2.8187630000000006,-3.5688172431158263
54,54,C/C=C/C=O,0.32,-1.5151631,-1.8351631000000002,-2.3234878970704145
74,74,CNC(=O)C=C(C)OP(=O)(OC)OC,0.651,-1.3695333,-2.0205333000000003,-2.558183884679103
122,122,c1cnc2c(c1)ccc3ncccc23,-2.68,-4.5447574,-1.8647573999999998,-2.360957045110864
123,123,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.876,-2.4648626,-1.5888626000000001,-2.011648458498229
133,133,Oc2ncc1nccnc1n2,-1.947,-0.050523892,1.896476108,2.4011158921085567
139,139,CCCCCCCCCCCCCCCCCCO,-8.4,-5.3100543,3.0899457000000004,3.912159870997172
154,154,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4,-2.4947019,1.9052981000000004,2.412285357994206
169,169,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,-8.91197,2.6880299999999995,3.403297054066848
5,5,O=C1CCCN1,1.07,-0.8171831,-1.8871831000000001,-2.389350075971899
38,38,c1ccc2c(c1)cnc3ccccc23 ,-2.78,-5.0214243,-2.2414243,-2.837852522889941
72,72,c2c(C)cc1nc(C)ccc1c2 ,-1.94,-4.6682277,-2.7282277,-3.4541910969124507
99,99,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,-6.513294,2.0867059999999995,2.641964703706289
107,107,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,-3.908279,-2.307279,-2.921230724214501
