,Unnamed: 0,smiles,actual,predict,residual,std_residual
6,6,OCCC#N,17.6,6.049999,-11.550001000000002,-3.60738756064744
24,24,NCCO,21.0,6.4989166,-14.501083399999999,-4.529092930214558
70,70,CC=NO,20.2,8.30281,-11.89719,-3.715824372020324
134,134,S=C=S,0.6,9.518504,8.918504,2.7854976280248316
173,173,CCCCO,15.8,7.040967,-8.759033,-2.7356903854380987
185,185,O=C=S,0.0,11.336613,11.336613,3.5407405346609107
190,190,OC[CH]=[C]=[CH2],16.8,10.300035,-6.499965000000001,-2.030120420391629
5,5,COO,30.0,13.013327,-16.986673,-5.305411910958772
29,29,COCCO,15.0,5.5499806,-9.4500194,-2.9515047168772526
81,81,CN[C@@H](C)[C@H](O)c1ccccc1,24.1,11.785397,-12.314603000000002,-3.8461940978629916
88,88,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,1.7,9.093894,7.393894,2.30931938796765
95,95,CO,22.3,10.867623,-11.432377,-3.570650303704034
102,102,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,10.6,18.944906,8.344906,2.606346969075776
104,104,COCO,18.5,7.8835526,-10.6164474,-3.3158127249536906
126,126,O=C1CCC(=O)O1,16.0,9.450681,-6.549319000000001,-2.045535051582414
129,129,CC(=O)Nc1ccccc1,13.5,6.46789,-7.03211,-2.196324150890071
142,142,NNc1ccccc1,14.0,6.633933,-7.366067,-2.3006282394863518
144,144,CNN,14.8,6.366395,-8.433605,-2.634050141503369
147,147,S=C=S,0.6,9.866473,9.266473,2.89417805515994
188,188,Oc1ccc(O)cc1,27.2,18.167723,-9.032277,-2.821032110224231
189,189,O=C1OC(=O)c2ccccc12,4.1,11.417941,7.317941000000001,2.2855971469571204
195,195,CC(N)=S,20.2,12.411517,-7.788482999999999,-2.4325605418141567
5,5,CCNCC,6.1,14.93109,8.83109,2.758195796949108
6,6,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,32.8,17.09092,-15.709079999999997,-4.906383971846883
10,10,OC(F)(C(F)F)C(F)(F)F,14.7,5.002471,-9.697529,-3.0288088705462277
11,11,COCCOC,6.0,15.977948,9.977948,3.116391548016922
15,15,OC(=O)C(O)=O,26.0,18.482801,-7.5171990000000015,-2.3478309797125885
46,46,OCC(F)(F)F,16.4,7.942727,-8.457272999999999,-2.6414423182473707
64,64,OCCSCCO,19.8,12.414512,-7.3854880000000005,-2.3066939596378337
66,66,[Cl],0.0,10.594074,10.594074,3.3088248879094007
112,112,O,42.3,20.536709,-21.763291,-6.7972829813738
114,114,CC(O)C(O)=O,28.4,18.295181,-10.104818999999999,-3.1560169010542856
124,124,CI,5.3,12.501618,7.201618000000001,2.2492662286119884
142,142,OCC(O)C(O)C(O)CO,36.0,20.362865,-15.637135,-4.883913541060707
156,156,CN=C=S,10.1,-0.19382858,-10.29382858,-3.21504986630989
164,164,O[N+]([O-])=O,18.6,5.0977983,-13.5022017,-4.217114306218044
180,180,COCCOC,6.0,15.977948,9.977948,3.116391548016922
181,181,CC(CO)[N+]([O-])=O,15.4,7.583914,-7.816086,-2.44118172884579
190,190,CCCCCCCCCCCCCCCCO,8.1,1.5108314,-6.5891686,-2.0579811934777066
0,0,N=C=O,13.6,7.1270437,-6.4729563,-2.0216848498311366
14,14,CCO[Si](OCC)(OCC)OCC,0.6,7.0115976,6.4115976,2.002520815895772
15,15,CO[N+]([O-])=O,4.8,14.039926,9.239926,2.8858866863910104
38,38,[Ca++].NC#N,16.8,6.8194976,-9.9805024,-3.1171893584054167
51,51,[O-][O+]=O,0.0,8.687257,8.687257,2.71327273806707
72,72,Cl[S](Cl)(=O)=O,0.0,8.508693,8.508693,2.657502218880149
118,118,OCCCCO.OC(=O)C=C.OC(=O)C=C,4.2,10.705779,6.5057789999999995,2.0319362948039
119,119,CO,10.0,21.821926,11.821926000000001,3.692317324933093
157,157,N#CC#N,0.0,9.140453,9.140453,2.8548184931657214
163,163,Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,6.0,13.547112,7.547112,2.3571736441938853
176,176,Cl[P](Cl)(Cl)=O,0.0,7.1315713,7.1315713,2.2273886898789264
1,1,O[P](O)(O)=O,28.4,21.493649,-6.906350999999997,-2.157046106477826
11,11,CCCC(F)(F)C(F)(F)C(O)(F)F,9.9,2.4859755,-7.4140245,-2.3156067047643853
21,21,OO,42.7,21.82237,-20.877630000000003,-6.520666340877358
48,48,OCCCO,23.2,7.5587444,-15.6412556,-4.885200519406631
65,65,CCCO,17.4,5.4539084,-11.946091599999999,-3.731097706069018
74,74,N#CSC#N,0.0,9.000145,9.000145,2.8109963901321957
83,83,OCCOc1ccccc1,14.3,5.999533,-8.300467000000001,-2.5924674295149046
95,95,CCO,19.4,9.451082,-9.948917999999999,-3.1073246690715783
96,96,OCCc1ccccc1,11.2,3.8419063,-7.3580936999999995,-2.2981379554389902
113,113,CCCCCCCO,11.7,4.793528,-6.906471999999999,-2.1570838981537612
119,119,CF,9.5,2.7760077,-6.7239923,-2.1000903966076856
147,147,OCCOC(=O)C=C,13.4,6.381241,-7.018759,-2.1921542610933336
182,182,OCCO.O[S](O)=O,5.1,15.750282,10.650282,3.326380214528755
185,185,CN=C=O,2.5,9.67039,7.170389999999999,2.239512852941813
2,2,[Br],0.0,13.107594,13.107594,4.0938673118398015
53,53,C[SiH3],0.0,8.125373,8.125373,2.537780688141981
64,64,C,0.0,10.817693,10.817693,3.37866734064377
65,65,OC(=O)CS,20.0,12.929264,-7.070736,-2.208388128366572
75,75,OCCN1CCCC1=O,15.7,8.913386,-6.786614,-2.119648900681114
79,79,BrC#N,0.0,6.453456,6.453456,2.015594362077162
107,107,C1CCCCCCCCCCC1,0.0,7.269525,7.269525,2.270475479336805
172,172,CCN=C=S,9.0,1.4825401,-7.5174599,-2.347912466061773
175,175,OCCOCCOCCOC=C,6.6,15.318723,8.718723,2.7231004477775134
