,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
62,62,361,361,361,C=CCN=C=S,361,17.0,19.12078,2.12078,2.234021262867582
72,72,415,415,415,FC(F)(F)Br,415,14.3,17.88144,3.5814400000000006,3.7726747289603235
96,96,557,557,557,CCOC(=O)CCCC(=O)OCC,557,16.3,12.389435,-3.910565,-4.119373702046307
121,121,721,722,721,CF,721,13.4,15.394183,1.9941829999999996,2.1006644838451245
122,122,723,724,723,C=O,723,12.8,15.971532,3.171531999999999,3.340879263226241
134,134,803,805,803,CCCCCCCCCCCCOC(=O)C(C)=C,803,14.4,16.672253,2.272253000000001,2.393582321888482
136,136,809,811,809,CN(C)CCOC(=O)COc1ccc(Cl)cc1,809,16.0,19.62697,3.62697,3.820635850858097
147,147,861,863,861,C[P](F)(F)=O,861,14.0,16.214167,2.2141669999999998,2.3323947592582566
176,176,1043,1045,1043,C#CC#N,1043,15.5,13.476004,-2.0239960000000004,-2.1320693801143618
1,1,3,3,3,BrC(Br)C(Br)Br,3,21.0,18.23203,-2.7679699999999983,-2.9157686487893972
3,3,12,12,12,CC(Br)Br,12,18.5,15.310307,-3.189693,-3.360009988787091
64,64,367,367,367,N,367,13.7,16.582228,2.8822280000000013,3.036127574021025
120,120,708,709,708,C1CO1,708,15.6,17.543549,1.943548999999999,2.0473268285371535
131,131,760,762,760,NN,760,14.2,16.532194,2.332194000000001,2.456723934180915
134,134,767,769,767,IC(=C)C=C,767,19.9,16.946806,-2.953194,-3.110882877702056
135,135,768,770,768,IC(I)I,768,20.2,17.987347,-2.2126529999999995,-2.33079991764716
165,165,936,938,936,CCCCCCCCCC(C)(O)Oc1ccccc1,936,16.7,18.81298,2.1129800000000003,2.225804773721906
167,167,964,966,964,[O-][O+]=O,964,19.8,16.88974,-2.910260000000001,-3.0656563719353316
0,0,0,0,0,ClCC(Cl)(Cl)Cl,0,18.0,15.49792,-2.5020799999999994,-2.635681174565829
3,3,9,9,9,FC(F)(Cl)C(F)(Cl)Cl,9,14.7,12.033137,-2.6668629999999993,-2.809262934936593
32,32,196,196,196,OC(=O)C(Cl)=C,196,19.1,16.077759,-3.022241000000001,-3.183616714374045
38,38,235,235,235,CC(C)S,235,16.3,13.730936,-2.569064000000001,-2.7062418551983916
45,45,258,258,258,OCCCCl,258,17.5,15.38078,-2.1192200000000003,-2.2323779650384474
53,53,307,307,307,C=CCCC=O,307,15.5,17.99248,2.4924800000000005,2.6255685725403826
