,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
41,41,247,247,247,CC1CCCO1,247,0.11,-2.319324,-2.429324,-2.0814290063541474
50,50,296,296,296,CCCCC(C)CC,296,-5.16,-2.6922815,2.4677185,2.1143251642912793
53,53,306,306,306,Clc1ccc(cc1)c2ccc(Cl)cc2 ,306,-6.56,-3.6580868,2.9019131999999996,2.486340359870476
70,70,404,404,404,CCN(CC)C(=O)CSc1ccc(Cl)nn1,404,-1.716,-4.2300086,-2.5140085999999995,-2.15398622096673
74,74,427,427,427,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,427,-9.018,-5.4642835,3.553716500000001,3.0448011889148345
76,76,433,433,433,c2ccc1[nH]nnc1c2,433,-0.78,-3.9076233,-3.1276232999999998,-2.679727305855077
89,89,519,519,519,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,519,-9.332,-3.4680028,5.863997200000001,5.0242346699162015
103,103,566,566,566,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,566,-6.96,-3.6936514,3.2663486,2.798586240824304
122,122,700,700,700,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,700,-8.003,-5.6015215,2.4014785000000005,2.0575711630214206
138,138,773,773,773,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,773,-4.594,-1.8205442,2.7734558000000002,2.376278894853526
163,163,939,939,939,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,939,-8.804,-5.126271,3.6777290000000002,3.1510542925150506
31,31,208,208,208,CCc1ccccn1,208,0.51,-2.3231487,-2.8331486999999997,-2.427423383416351
61,61,354,354,354,Cc1c2ccccc2c(C)c3ccccc13,354,-6.57,-3.9270992,2.6429008000000005,2.264420219796364
63,63,359,359,359,C1=Cc2cccc3cccc1c23,359,-3.96,-6.8365746,-2.8765745999999996,-2.4646304121564593
67,67,382,382,382,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,382,-0.77,-5.521741,-4.751740999999999,-4.071260790278391
70,70,398,398,398,O=C1c2ccccc2C(=O)c3ccccc13,398,-5.19,-2.6119006,2.5780994000000006,2.20889880165191
74,74,423,423,423,C1c2ccccc2c3cc4ccccc4cc13,423,-8.04,-4.560593,3.4794069999999993,2.981133292517451
96,96,536,536,536,O=C1CCCCC1,536,-0.6,-3.4474452,-2.8474452,-2.43967253165238
98,98,554,554,554,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,554,-7.2,-3.93883,3.2611700000000003,2.7941492500185054
99,99,557,557,557,C1CCC2CCCCC2C1,557,-5.19,-2.6429892,2.5470108000000002,2.1822622913276626
104,104,584,584,584,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,584,-7.278,-4.099516,3.178483999999999,2.723304422889888
106,106,599,599,599,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,599,0.523,-2.142639,-2.665639,-2.2839021616996593
154,154,849,849,849,COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,849,-0.742,-4.825498,-4.083498,-3.49871453317431
162,162,911,911,911,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 ,911,-7.2,-3.93883,3.2611700000000003,2.7941492500185054
183,183,1067,1067,1067,CCN(CC)C(=S)SCC(Cl)=C,1067,-3.39,-6.6070013,-3.2170013,-2.756305795068505
185,185,1085,1085,1085,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,1085,-7.321,-4.710654,2.610346,2.2365274788461824
187,187,1107,1107,1107,C/C1CCC(\C)CC1,1107,-4.47,-1.6092554,2.8607446,2.45106737109212
21,21,131,131,131,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,131,-8.71,-4.3456597,4.364340300000001,3.739338389618003
63,63,357,357,357,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,357,-6.237,-3.629672,2.6073280000000003,2.2339416760709345
91,91,535,535,535,OC1CCCCC1,535,-0.44,-3.1868186,-2.7468186,-2.3534563151037453
96,96,558,558,558,CCCCSP(=O)(SCCCC)SCCCC,558,-5.14,-2.4125211,2.7274788999999995,2.33688618590147
123,123,723,723,723,Cc1c(C)c(C)c(C)c(C)c1C,723,-5.23,-2.2000926,3.0299074000000004,2.5960049581394165
168,168,986,986,986,CC(C)N(C(=O)CCl)c1ccccc1 ,986,-2.48,-5.1096716,-2.6296716000000004,-2.253085527260144
22,22,116,116,116,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,116,-11.6,-5.88611,5.713889999999999,4.895623797038558
