,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
116,116,679,680,679,OCCC#N,679,17.6,10.314026,-7.285974000000001,-2.0476142168556475
121,121,721,722,721,CF,721,9.5,2.0333648,-7.4666352,-2.098386349936852
122,122,723,724,723,C=O,723,15.4,7.2271395,-8.1728605,-2.2968604269213633
144,144,845,847,845,COO,845,30.0,11.101633,-18.898367,-5.311103902450874
158,158,937,939,937,CN[C@@H](C)[C@H](O)c1ccccc1,937,24.1,15.549652,-8.550348000000001,-2.4029476531021454
171,171,1010,1012,1010,Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1010,6.0,15.91794,9.91794,2.787288967256992
177,177,1045,1047,1045,[nH]1cnc2ncncc12,1045,14.2,6.1311193,-8.0688807,-2.267638456496296
178,178,1048,1050,1048,c1ccncc1,1048,5.9,13.35543,7.45543,2.0952372957647247
180,180,1079,1081,1079,CC(C)(c1ccc(O)cc1)c2c(Br)cc(OBr)c(Br)c2Br,1079,13.8,27.792934,13.992933999999998,3.9325051933925037
15,15,72,72,72,Oc1ccc(O)cc1,72,27.2,15.838763,-11.361237,-3.192906041425127
39,39,239,239,239,Cc1ccc(O)c(c1)C(C)(C)C,239,10.5,23.53302,13.03302,3.662735694714802
53,53,319,319,319,CC=NO,319,20.2,8.468398,-11.731601999999999,-3.2969915953161704
64,64,367,367,367,N,367,18.8,6.481672,-12.318328000000001,-3.461882178098768
132,132,762,764,762,OO,762,42.7,13.070056,-29.629944000000002,-8.327053401375942
139,139,818,820,818,CO,818,22.3,9.89417,-12.40583,-3.4864733088389133
167,167,964,966,964,[O-][O+]=O,964,0.0,7.8661947,7.8661947,2.2106765821940266
175,175,993,995,993,FC(F)=C(F)F,993,0.0,12.559332,12.559332,3.529612754233005
55,55,312,312,312,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,312,10.6,19.184088,8.584088,2.4124297763812987
85,85,475,475,475,BrC#N,475,0.0,13.201501,13.201501,3.7100847644301287
107,107,589,589,589,COC(=O)CCC(C)C(=O)OC,589,5.0,12.653948,7.653948,2.1510278158930904
122,122,692,693,692,COC(C)(C)C.OCCO,692,8.2,15.354841,7.154841000000001,2.0107612449538905
133,133,752,754,752,C1N2CN3CN1CN(C2)C3,752,16.0,5.4150724,-10.5849276,-2.9747358744551824
177,177,1092,1094,1092,CC(N)=S,1092,20.2,10.909444,-9.290555999999999,-2.610972060577423
192,192,1160,1164,1160,OCCOCCOCCOC=C,1160,6.6,15.012246,8.412246,2.3641361477939737
194,194,1176,1180,1176,O,1176,42.3,6.304684,-35.995315999999995,-10.115946170245945
13,13,68,68,68,OCCCCO.OC(=O)C=C.OC(=O)C=C,68,4.2,15.027242,10.827241999999998,3.042834718945822
75,75,434,434,434,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,434,13.0,5.3679614,-7.6320386,-2.1448705061191635
120,120,696,697,696,CCCCCCOCCO,696,11.4,3.5734298,-7.826570200000001,-2.1995407080424316
122,122,706,707,706,OCCO.O[S](O)=O,706,5.1,20.521446,15.421446000000001,4.333967164043085
136,136,802,804,802,CC(O)C(O)=O,802,28.4,12.849844,-15.550156,-4.370139187968985
165,165,961,963,961,OC(=O)C(O)=O,961,26.0,14.271563,-11.728437,-3.2961021193179927
181,181,1061,1063,1061,NCCc1c[nH]c2ccc(O)cc12,1061,14.4,27.294186,12.894186,3.623718471735014
185,185,1096,1098,1096,OC(=O)CS,1096,20.0,12.41362,-7.58638,-2.1320388382485778
10,10,45,45,45,Oc1ccccc1O,45,21.8,14.483943,-7.316057000000001,-2.05606859488193
29,29,162,162,162,Cn1cnc2nc(Cl)nc(Cl)c12,162,14.2,3.760534,-10.439466,-2.9338560634420534
54,54,320,320,320,CC(N)=O,320,19.3,11.88049,-7.419510000000001,-2.08514251603185
117,117,782,784,782,N=C=O,782,13.6,5.9518194,-7.6481806,-2.1494069742274062
160,160,1006,1008,1006,O[P](O)(O)=O,1006,28.4,10.271888,-18.128111999999998,-5.09463523421185
170,170,1069,1071,1069,O=C1CCC(=O)O1,1069,16.0,7.6464453,-8.3535547,-2.3476418341598952
175,175,1093,1095,1093,CC(O)=S,1093,8.9,26.298698,17.398698000000003,4.889644319287705
48,48,337,337,337,c1ccc2nc3ccccc3cc2c1,337,2.0,11.497346,9.497346,2.669087302809084
50,50,345,345,345,OCC(O)C(O)C(O)CO,345,36.0,22.675058,-13.324942,-3.744776014569489
70,70,474,474,474,N#CC#N,474,0.0,15.843992,15.843992,4.452717408948637
93,93,632,633,632,O=C1CCCCCN1,632,3.9,11.801585,7.901584999999999,2.22062249765005
104,104,683,684,683,OCCO,683,26.0,12.611287,-13.388713,-3.7626979020512588
131,131,819,821,819,CO,819,10.0,17.19267,7.19267,2.0213925206363768
139,139,863,865,863,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,863,32.8,8.991406,-23.808594,-6.691049893637289
160,160,995,997,995,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,995,0.0,19.134981,19.134981,5.377600734625553
170,170,1044,1046,1044,C[C@@H]1CCC(=C(C)C)C(=O)C1,1044,5.5,14.581805,9.081805,2.5523057085724843
