,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
3,3,44,44,44,CCc1ccccc1CC,44,0.1,9.837201,9.737201,3.1932956910901544
39,39,243,243,243,ClC(Cl)(Cl)C=C,243,15.5,2.881384,-12.618616,-4.138250006374653
44,44,274,274,274,Cc1ccon1,274,14.8,4.111037,-10.688963000000001,-3.505424145000405
118,118,707,708,707,C[S](O)(=O)=O.C=C,707,9.3,15.501159,6.201158999999999,2.0336577538519465
123,123,732,733,732,OCC(O)CO.OC(O)=O,732,25.5,13.8586445,-11.6413555,-3.8177593701309713
142,142,843,845,843,CC(=O)C=O,843,16.1,9.260157,-6.839843000000002,-2.2431129006819477
144,144,845,847,845,COO,845,15.0,6.2784457,-8.721554300000001,-2.8602163769443405
158,158,937,939,937,CN[C@@H](C)[C@H](O)c1ccccc1,937,10.7,4.419162,-6.280837999999999,-2.059788323342129
0,0,2,2,2,CC(F)(F)F,2,10.0,2.8617742,-7.1382258,-2.3409669461653886
46,46,290,290,290,Clc1ccc(cc1)C#N,290,8.0,14.569872,6.569872,2.1545764484695193
51,51,316,316,316,O=C1C(=O)c2ccccc2c3ccccc13,316,17.1,9.584571,-7.515429000000001,-2.464669984977612
61,61,359,359,359,C=CC[N+]#[C-],359,13.0,6.7178774,-6.2821226,-2.0602096053557974
64,64,367,367,367,N,367,16.7,6.013224,-10.686775999999998,-3.5047069227024963
76,76,439,439,439,S=C=S,439,0.0,6.2635465,6.2635465,2.054117610326912
127,127,724,725,724,NC=O,724,26.2,11.886704,-14.313296,-4.694016939991065
132,132,762,764,762,OO,762,12.2,6.0611186,-6.138881399999999,-2.0132339388632823
161,161,914,916,914,CNC=O,914,18.8,11.061675,-7.7383250000000015,-2.5377682846184673
167,167,964,966,964,[O-][O+]=O,964,4.2,15.63387,11.433869999999999,3.7497149132984906
170,170,977,979,977,CCc1ccc(CC)cc1,977,0.0,7.4072785,7.4072785,2.429202243720217
175,175,993,995,993,FC(F)=C(F)F,993,0.0,8.819856,8.819856,2.8924542238406747
183,183,1053,1055,1053,CC(=O)C#N,1053,18.9,12.295024,-6.604975999999999,-2.1660887354131724
190,190,1097,1099,1097,Cl[S](Cl)=O,1097,6.4,13.053005,6.653005,2.181839750386302
2,2,7,7,7,CC(Cl)=C(Cl)Cl,7,15.7,6.53454,-9.16546,-3.0057943678947536
12,12,80,80,80,NC1(CC1)C(O)=O,80,6.3,13.498565,7.198564999999999,2.3607550667314348
143,143,811,813,811,CC(C)=CC(C)=O,811,7.2,14.674345,7.4743450000000005,2.451196568934054
146,146,816,818,816,CC(=C)C#N,816,9.5,17.231285,7.731285,2.5354595306279437
172,172,1075,1077,1075,Cl[S](Cl)(=O)=O,1075,7.2,15.079798,7.879798,2.5841640734396685
