,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
24,24,139,139,139,CCCC(C)(C)C,139,-4.36,-2.1684256,2.1915744000000004,2.38377095690224
41,41,247,247,247,CC1CCCO1,247,0.11,-1.9476994,-2.0576994,-2.2381553953884312
50,50,296,296,296,CCCCC(C)CC,296,-5.16,-2.3447702,2.8152298,3.062119649803219
69,69,390,390,390,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,390,-2.596,-5.062378,-2.4663779999999997,-2.682674266108707
89,89,519,519,519,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,519,-9.332,-7.2142487,2.117751300000001,2.3034737232201485
103,103,566,566,566,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,566,-6.96,-4.1792607,2.7807392999999996,3.024604404056126
115,115,630,630,630,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,630,-5.41,-3.5340197,1.8759803000000002,2.040499904936264
135,135,761,761,761,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,761,-6.49,-4.344507,2.145493,2.3336483131200367
155,155,904,904,904,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,904,-5.696,-3.5403745,2.1556254999999998,2.3446694124816694
165,165,948,948,948,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,948,-2.9,-5.6753244,-2.7753244,-3.0187146284890596
41,41,256,256,256,OCCOc1ccccc1,256,-0.7,-2.7912304,-2.0912303999999997,-2.274626994963553
43,43,261,261,261,CC(O)C(C)(C)C,261,-0.62,-2.5718434,-1.9518434,-2.1230160424128517
74,74,423,423,423,C1c2ccccc2c3cc4ccccc4cc13,423,-8.04,-5.398188,2.641811999999999,2.873493466247742
99,99,557,557,557,C1CCC2CCCCC2C1,557,-5.19,-2.1766293,3.0133707000000003,3.277637098261492
106,106,599,599,599,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,599,0.523,-3.0805438,-3.6035438,-3.9195671624769535
120,120,689,689,689,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,689,-5.613,-3.582033,2.0309670000000004,2.209078619017849
140,140,798,798,798,Sc2nc1ccccc1s2 ,798,-3.18,-1.0512987,2.1287013000000004,2.3153840156464875
147,147,827,827,827,COC(C)(C)C,827,-0.24,-2.8317482,-2.5917481999999996,-2.8190391741953436
168,168,936,936,936,CCCCCC1CCCC1,936,-6.08,-3.6102908,2.4697092,2.686297605481367
188,188,1108,1108,1108,CCCC/C=C/C,1108,-3.82,-1.6456786,2.1743213999999997,2.3650049043696697
3,3,9,9,9,C1CCc2ccccc2C1,9,-4.37,-1.4421064,2.9278936,3.184663832804372
24,24,135,135,135,CC(C)CCC(C)(C)C,135,-5.05,-3.1873858,1.8626141999999999,2.0259616255207664
88,88,525,525,525,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,525,-2.84,-4.908897,-2.0688969999999998,-2.2503350018243378
94,94,543,543,543,C1CCCC1,543,-2.64,-0.008886257,2.6311137430000002,2.8618569941635306
104,104,602,602,602,CCCCc1c(C)nc(nc1O)N(C)C ,602,-2.24,-4.258971,-2.0189709999999996,-2.19603059454786
122,122,718,718,718,CCCCCCC,718,-4.53,-2.592911,1.9370890000000003,2.106967711949365
183,183,1088,1088,1088,CN(C)C(=O)N(C)C ,1088,0.94,-1.027139,-1.967139,-2.1396530350006433
22,22,116,116,116,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,116,-11.6,-8.045213,3.5547869999999993,3.8665344916301443
67,67,399,399,399,Cc1cc(=O)n(c2ccccc2)n1C,399,0.715,-2.966438,-3.681438,-4.004292523236384
85,85,489,489,489,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,489,-6.86,-4.9889126,1.8710874000000004,2.035177907693083
95,95,576,576,576,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,576,-3.896,-5.7869678,-1.8909678000000003,-2.056801777789211
99,99,601,601,601,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,601,-0.85,-2.8791816,-2.0291816,-2.207136643118489
134,134,799,799,799,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,799,-1.601,-3.9009128,-2.2999128,-2.5016104112402977
135,135,801,801,801,CO,801,1.57,-0.48175249,-2.05175249,-2.231686953641114
140,140,843,843,843,ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,843,-6.8,-4.5217476,2.2782523999999995,2.4780504388136775
160,160,990,990,990,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,990,-3.408,-0.42399707,2.98400293,3.2456938353747815
175,175,1057,1057,1057,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,1057,-1.981,-3.941121,-1.9601209999999998,-2.132019570868401
188,188,1129,1129,1129,CCOP(=O)(OCC)OCC,1129,0.43,-1.8268604,-2.2568604,-2.454782404513746
41,41,225,225,225,CC=C(C)C,225,-2.56,0.31023768,2.8702376800000002,3.1219516074792915
56,56,325,325,325,OCCCC=C,325,-0.15,-2.3044548,-2.1544548,-2.3433960445050928
74,74,476,476,476,c1ccc2c(c1)[nH]c3ccccc32,476,-5.27,-2.7692034,2.5007965999999997,2.720111306374023
80,80,517,517,517,CC1(C)CON(Cc2ccccc2Cl)C1=O,517,-2.338,-4.7698193,-2.4318193,-2.6450848393622106
83,83,569,569,569,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,569,-4.286,-2.4471858,1.8388141999999994,2.000074414584978
103,103,685,685,685,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,685,-1.8,-3.9328766,-2.1328766000000003,-2.3199254808490166
