,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
18,18,113,113,113,CC1(O)CCCCC1,113,12.0,4.775449,-7.224551,-2.1788107850377143
29,29,198,198,198,OC1CCC=C1,198,15.6,5.370367,-10.229633,-3.085096182084909
54,54,321,321,321,CC(=O)Nc1ccccc1,321,13.5,4.760143,-8.739857,-2.635803206495098
86,86,497,497,497,C1CC1,497,0.0,6.6660213,6.6660213,2.0103670251246237
122,122,723,724,723,C=O,723,15.4,8.536138,-6.863862000000001,-2.07003266398293
123,123,732,733,732,OCC(O)CO.OC(O)=O,732,17.4,31.408684,14.008684000000002,4.224798438461473
124,124,733,734,733,CC(O)=O.OCC(O)CO.OC(O)=O,733,9.2,21.183853,11.983853,3.6141413027199296
144,144,845,847,845,COO,845,30.0,10.129034,-19.870966,-5.992770350699681
158,158,937,939,937,CN[C@@H](C)[C@H](O)c1ccccc1,937,24.1,10.598709,-13.501291000000002,-4.071776701795397
180,180,1079,1081,1079,CC(C)(c1ccc(O)cc1)c2c(Br)cc(OBr)c(Br)c2Br,1079,13.8,5.956008,-7.843992000000001,-2.3656244335944967
24,24,129,129,129,OCC(F)(F)F,129,16.4,9.754977,-6.645022999999998,-2.0040342685965764
38,38,237,237,237,OCC#C,237,18.8,8.063548,-10.736452,-3.2379448093922707
53,53,319,319,319,CC=NO,319,20.2,11.808874,-8.391126,-2.5306314298854526
64,64,367,367,367,N,367,18.8,9.298538,-9.501462,-2.8654912781743826
123,123,715,716,715,COc1cc(CC=C)ccc1O,715,13.0,5.8733377,-7.1266623,-2.1492890949986627
126,126,720,721,720,FC=C,720,1.0,7.766827,6.766827,2.040768436416935
131,131,760,762,760,NN,760,8.9,16.484634,7.584633999999999,2.2874061460378283
132,132,762,764,762,OO,762,42.7,14.982931,-27.717069000000002,-8.359031428643041
139,139,818,820,818,CO,818,22.3,10.000651,-12.299349000000001,-3.7092899268262944
154,154,888,890,888,OCCN1CCCC1=O,888,15.7,8.306343,-7.393656999999999,-2.2298104909868575
161,161,914,916,914,CNC=O,914,15.9,8.339766,-7.560234000000001,-2.280047490371211
176,176,1008,1010,1008,ClP(Cl)Cl,1008,0.0,6.7134056,6.7134056,2.0246573836370714
177,177,1009,1011,1009,O=C1OC(=O)c2ccccc12,1009,4.1,10.999239,6.899239,2.0807018099467793
21,21,131,131,131,CC(C)CC(C)(C)C,131,0.0,6.8510795,6.8510795,2.0661776633247926
30,30,181,181,181,OCC(Cl)=C,181,16.4,5.1839867,-11.216013299999998,-3.382572943725699
52,52,305,305,305,CC1CCC(O)CC1,305,12.5,5.666908,-6.833092,-2.0607529166525262
133,133,752,754,752,C1N2CN3CN1CN(C2)C3,752,16.0,8.1894865,-7.810513500000001,-2.355527845326674
164,164,1007,1009,1007,Cl[P](Cl)(Cl)=O,1007,0.0,7.8111324,7.8111324,2.355714495818152
177,177,1092,1094,1092,CC(N)=S,1092,20.2,10.734788,-9.465212,-2.8545588491614766
194,194,1176,1180,1176,O,1176,42.3,16.685217,-25.614782999999996,-7.7250150849237125
45,45,236,236,236,CC(C)O,236,16.4,8.505529,-7.894470999999999,-2.380848104881185
81,81,473,473,473,[Ca++].NC#N,473,16.8,9.842247,-6.957753,-2.0983487106712255
85,85,495,495,495,C1CC=CC1,495,1.7,11.005128,9.305128,2.8062800363034905
109,109,633,634,633,CC,633,0.0,9.800884,9.800884,2.9557922370682377
122,122,706,707,706,OCCO.O[S](O)=O,706,5.1,26.292728,21.192728000000002,6.391392950339856
136,136,802,804,802,CC(O)C(O)=O,802,28.4,16.797256,-11.602743999999998,-3.499204831308081
158,158,927,929,927,O[N+]([O-])=O,927,18.6,6.308826,-12.291174000000002,-3.706824475593729
165,165,961,963,961,OC(=O)C(O)=O,961,26.0,14.023182,-11.976818,-3.612019657530804
185,185,1096,1098,1096,OC(=O)CS,1096,20.0,12.105778,-7.894221999999999,-2.3807730104032756
30,30,171,171,171,OCC(Br)=C,171,16.2,7.9322042,-8.267795799999998,-2.4934369841848323
54,54,320,320,320,CC(N)=O,320,19.3,11.626051,-7.673949,-2.314342143204385
